Chr	start	end	Gene	Chain	Chr_TE	start_TE	end_TE	Overlap_bp
1	7238508	7259024	Zm00001d027515	+	1	7239912	7251296	11384
1	7401558	7403097	Zm00001d027524	+	1	7401971	7405542	1126
1	7404965	7406223	Zm00001d027525	+	1	7401971	7405542	577
1	7486177	7489708	Zm00001d027528	-	1	7484028	7490271	3531
1	7686285	7701265	Zm00001d027536	-	1	7690292	7695490	5198
1	7844326	7845737	Zm00001d027539	-	1	7837819	7846337	1411
1	7996632	7997815	Zm00001d027545	-	1	7994235	7998213	1183
1	8221827	8223297	Zm00001d027565	-	1	8215048	8224091	1470
1	8246625	8247566	Zm00001d027569	+	1	8245558	8249449	941
1	8280558	8285255	Zm00001d027570	+	1	8268744	8285904	4697
1	8280558	8285255	Zm00001d027570	+	1	8281226	8303484	4029
1	8286848	8291232	Zm00001d027571	-	1	8281226	8303484	4384
1	8302347	8308349	Zm00001d027572	+	1	8281226	8303484	1137
1	8339277	8357146	Zm00001d027577	-	1	8345941	8354144	8203
1	8363014	8365720	Zm00001d027578	+	1	8364188	8371373	1532
1	8369095	8371979	Zm00001d027580	+	1	8364188	8371373	2278
1	8414357	8418081	Zm00001d027583	-	1	8413682	8419801	3724
1	8485866	8489268	Zm00001d027585	+	1	8483089	8494085	3402
1	8582498	8582883	Zm00001d027591	-	1	8578445	8592925	385
1	8589933	8592006	Zm00001d027592	-	1	8586703	8590320	387
1	8589933	8592006	Zm00001d027592	-	1	8578445	8592925	2073
1	8596506	8599611	Zm00001d027593	-	1	8593491	8602686	3105
1	8666871	8671854	Zm00001d027596	-	1	8666765	8667055	184
1	8666871	8671854	Zm00001d027596	-	1	8667599	8681011	4255
1	8675905	8676846	Zm00001d027597	+	1	8667599	8681011	941
1	8677635	8679500	Zm00001d027598	-	1	8667599	8681011	1865
1	9101744	9102472	Zm00001d027615	-	1	9097779	9103137	728
1	9119707	9122688	Zm00001d027619	+	1	9116133	9132727	2981
1	9155900	9158857	Zm00001d027620	+	1	9155347	9169512	2957
1	9160553	9163106	Zm00001d027621	+	1	9155347	9169512	2553
1	9256393	9258054	Zm00001d027623	-	1	9252569	9263775	1661
1	9497951	9498772	Zm00001d027631	-	1	9497824	9501245	821
1	9547625	9612900	Zm00001d027633	+	1	9558496	9563619	5123
1	9547625	9612900	Zm00001d027633	+	1	9594589	9605692	11103
1	9547625	9612900	Zm00001d027633	+	1	9566515	9572010	5495
1	10150836	10152891	Zm00001d027652	-	1	10135886	10153293	2055
1	10349113	10358254	Zm00001d027659	+	1	10351758	10357610	5852
1	10492323	10572503	Zm00001d027665	+	1	10507158	10509141	1983
1	10492323	10572503	Zm00001d027665	+	1	10515587	10515683	96
1	10492323	10572503	Zm00001d027665	+	1	10523053	10523579	526
1	10492323	10572503	Zm00001d027665	+	1	10502096	10503872	1776
1	10492323	10572503	Zm00001d027665	+	1	10517643	10522213	4570
1	10681229	10686519	Zm00001d027671	-	1	10685272	10696324	1247
1	10681229	10686519	Zm00001d027671	-	1	10672522	10683228	1999
1	10687116	10690173	Zm00001d027672	+	1	10685272	10696324	3057
1	10758933	10761622	Zm00001d027675	-	1	10759579	10770857	2043
1	10854296	10857324	Zm00001d027676	+	1	10850779	10867464	3028
1	10875911	10878329	Zm00001d027677	-	1	10876865	10892990	1464
1	10992938	10994177	Zm00001d027679	-	1	10993421	11009289	756
1	11126731	11130713	Zm00001d027683	+	1	11111394	11130199	3468
1	11155767	11156159	Zm00001d027686	+	1	11147722	11160751	392
1	11155935	11156159	Zm00001d027687	+	1	11147722	11160751	224
1	11158115	11165247	Zm00001d027688	-	1	11147722	11160751	2636
1	11207688	11225217	Zm00001d027691	+	1	11209228	11219821	10593
1	11207688	11225217	Zm00001d027691	+	1	11216901	11225332	8316
1	11314620	11318076	Zm00001d027697	+	1	11315538	11323201	2538
1	11321124	11322611	Zm00001d027698	+	1	11315538	11323201	1487
1	11783331	11784682	Zm00001d027713	+	1	11769091	11784969	1351
1	11881252	11887552	Zm00001d027714	+	1	11886698	11906432	854
1	11952380	11984542	Zm00001d027715	+	1	11952092	11963525	11145
1	12073317	12074572	Zm00001d027718	+	1	12057797	12077600	1255
1	12170863	12175121	Zm00001d027722	+	1	12169232	12187733	4258
1	12176198	12182441	Zm00001d027723	-	1	12169232	12187733	6243
1	12285452	12287041	Zm00001d027725	+	1	12286015	12286178	163
1	12285452	12287041	Zm00001d027725	+	1	12279069	12288494	1589
1	12335763	12340666	Zm00001d027728	+	1	12334010	12349858	4903
1	12340668	12342288	Zm00001d027729	-	1	12334010	12349858	1620
1	12364471	12371991	Zm00001d027732	-	1	12367441	12372325	4550
1	12442621	12443983	Zm00001d027740	-	1	12443280	12447177	703
1	12444329	12446126	Zm00001d027741	+	1	12443280	12447177	1797
1	12528993	12531966	Zm00001d027745	+	1	12528058	12532124	2973
1	12546659	12552109	Zm00001d027749	-	1	12545726	12555201	5450
1	12658925	12661298	Zm00001d027753	+	1	12659165	12674870	2133
1	12672174	12674629	Zm00001d027754	+	1	12659165	12674870	2455
1	13027209	13027778	Zm00001d027761	+	1	13025097	13032862	569
1	13028955	13030569	Zm00001d027762	+	1	13025097	13032862	1614
1	13250766	13250972	Zm00001d027772	-	1	13243724	13254729	206
1	13253409	13258417	Zm00001d027773	+	1	13243724	13254729	1320
1	13337249	13337599	Zm00001d027775	+	1	13324416	13418558	350
1	13475153	13483253	Zm00001d027788	+	1	13480168	13483546	3085
1	13528222	13533144	Zm00001d027789	+	1	13528094	13534050	4922
1	13592625	13600205	Zm00001d027791	-	1	13591665	13595398	2773
1	13619804	13620061	Zm00001d027792	+	1	13616045	13631970	257
1	13666924	13673869	Zm00001d027794	-	1	13666843	13674755	6945
1	13666924	13673869	Zm00001d027794	-	1	13650587	13693824	6945
1	13675280	13675507	Zm00001d027795	+	1	13650587	13693824	227
1	13692457	13692684	Zm00001d027797	+	1	13687849	13692634	177
1	13692457	13692684	Zm00001d027797	+	1	13650587	13693824	227
1	13815367	13827552	Zm00001d027801	+	1	13816327	13816493	166
1	13863300	13867102	Zm00001d027802	-	1	13865485	13871011	1617
1	13905218	13911405	Zm00001d027803	-	1	13896345	13907143	1925
1	14361469	14365136	Zm00001d027816	+	1	14354749	14368486	3667
1	14585540	14587374	Zm00001d027824	+	1	14586716	14588903	658
1	14754184	14757028	Zm00001d027839	+	1	14752755	14770924	2844
1	14759168	14762218	Zm00001d027840	+	1	14752755	14770924	3050
1	14831571	14846630	Zm00001d027841	+	1	14829930	14837338	5767
1	15065545	15072521	Zm00001d027847	-	1	15066079	15075032	6442
1	15126907	15130433	Zm00001d027849	-	1	15126019	15131590	3526
1	15156918	15162289	Zm00001d027850	-	1	15161802	15181216	487
1	15175214	15177892	Zm00001d027851	-	1	15161802	15181216	2678
1	15440041	15440280	Zm00001d027858	+	1	15432368	15454890	239
1	16018915	16019115	Zm00001d027873	-	1	16018915	16031300	200
1	16038734	16042002	Zm00001d027874	-	1	16033995	16040138	1404
1	16140364	16141359	Zm00001d027875	+	1	16136980	16141105	741
1	16284218	16285168	Zm00001d027877	-	1	16280630	16284660	442
1	16414023	16415818	Zm00001d027879	-	1	16406354	16425646	1795
1	16436908	16447108	Zm00001d027880	-	1	16439273	16444070	4797
1	16629251	16630156	Zm00001d027882	-	1	16622236	16631938	905
1	16629251	16630156	Zm00001d027882	-	1	16623733	16638553	905
1	16721226	16722692	Zm00001d027885	+	1	16718390	16733090	1466
1	16722714	16730676	Zm00001d027886	-	1	16718390	16733090	7962
1	17314485	17317861	Zm00001d027907	+	1	17316312	17328938	1549
1	17368177	17370245	Zm00001d027911	-	1	17365837	17368378	201
1	17378164	17381754	Zm00001d027914	-	1	17378043	17388196	3590
1	17533781	17553169	Zm00001d027916	+	1	17549196	17550799	1603
1	17533781	17553169	Zm00001d027916	+	1	17525300	17534824	1043
1	17533781	17553169	Zm00001d027916	+	1	17543011	17548077	5066
1	17609594	17615130	Zm00001d027918	+	1	17605396	17611603	2009
1	17615562	17626036	Zm00001d027919	-	1	17617672	17622449	4777
1	17617359	17621852	Zm00001d027920	+	1	17617672	17622449	4180
1	17827591	17829479	Zm00001d027927	+	1	17827238	17832336	1888
1	17945836	17961550	Zm00001d027934	+	1	17949460	17950113	653
1	18010015	18013425	Zm00001d027940	-	1	18007753	18015639	3410
1	18147157	18148937	Zm00001d027948	+	1	18145915	18154491	1780
1	18185512	18190288	Zm00001d027950	+	1	18179098	18192075	4776
1	18274522	18280277	Zm00001d027954	+	1	18271283	18291875	5755
1	18280824	18282397	Zm00001d027955	-	1	18271283	18291875	1573
1	18299864	18321135	Zm00001d027957	-	1	18302927	18305146	2219
1	18299864	18321135	Zm00001d027957	-	1	18312729	18318137	5408
1	18514177	18522465	Zm00001d027966	-	1	18517048	18518253	1205
1	18526350	18531383	Zm00001d027968	+	1	18528914	18540225	2469
1	18597035	18617718	Zm00001d027969	+	1	18606485	18612059	5574
1	18914972	18919323	Zm00001d027974	-	1	18911623	18945502	4351
1	18954240	18956944	Zm00001d027975	-	1	18948591	18962095	2704
1	19271131	19289779	Zm00001d027980	-	1	19274289	19282609	8320
1	19499828	19500135	Zm00001d027990	-	1	19499435	19517781	307
1	19594960	19595493	Zm00001d027992	+	1	19591815	19606421	533
1	19603547	19621192	Zm00001d027993	-	1	19591815	19606421	2874
1	19603547	19621192	Zm00001d027993	-	1	19608672	19620465	11793
1	19603547	19621192	Zm00001d027993	-	1	19609801	19611951	2150
1	19655485	19665448	Zm00001d027995	-	1	19646984	19660019	4534
1	19919247	19942038	Zm00001d028000	-	1	19929366	19930034	668
1	19919247	19942038	Zm00001d028000	-	1	19920788	19927893	7105
1	19943200	19946803	Zm00001d028001	-	1	19943026	19959129	3603
1	20105976	20131237	Zm00001d028007	-	1	20110807	20115959	5152
1	20105976	20131237	Zm00001d028007	-	1	20117339	20117761	422
1	20105976	20131237	Zm00001d028007	-	1	20117077	20126400	9323
1	20219977	20230817	Zm00001d028009	-	1	20223801	20229149	5348
1	20219977	20230817	Zm00001d028009	-	1	20229217	20229589	372
1	20219977	20230817	Zm00001d028009	-	1	20137055	20222916	2939
1	20320621	20320902	Zm00001d028014	-	1	20312981	20349071	281
1	20354036	20360460	Zm00001d028016	+	1	20353796	20360548	6424
1	20429324	20431994	Zm00001d028019	+	1	20427025	20442312	2670
1	20540461	20546803	Zm00001d028021	-	1	20540041	20547384	6342
1	20836619	20851026	Zm00001d028026	-	1	20837233	20847505	10272
1	20836619	20851026	Zm00001d028026	-	1	20839617	20843766	4149
1	20906621	20907336	Zm00001d028028	+	1	20902868	20911781	715
1	20910150	20910587	Zm00001d028030	+	1	20902868	20911781	437
1	21373352	21379087	Zm00001d028042	+	1	21376072	21379230	3015
1	21501810	21527021	Zm00001d028045	+	1	21505495	21511188	5693
1	21501810	21527021	Zm00001d028045	+	1	21518006	21532672	9015
1	21513845	21553331	Zm00001d028046	-	1	21533283	21542066	8783
1	21513845	21553331	Zm00001d028046	-	1	21518006	21532672	14666
1	21780142	21783466	Zm00001d028057	-	1	21780040	21783378	3236
1	21796091	21796914	Zm00001d028060	-	1	21795662	21811484	823
1	21798184	21802261	Zm00001d028061	+	1	21795662	21811484	4077
1	21842237	21860574	Zm00001d028062	-	1	21857793	21858112	319
1	21842237	21860574	Zm00001d028062	-	1	21830978	21847578	5341
1	21903337	21911942	Zm00001d028066	-	1	21905685	21908389	2704
1	21903337	21911942	Zm00001d028066	-	1	21908409	21912515	3533
1	21903337	21911942	Zm00001d028066	-	1	21905283	21942010	6659
1	21936312	21937568	Zm00001d028068	-	1	21905283	21942010	1256
1	21938116	21942087	Zm00001d028069	-	1	21939145	21941681	2536
1	21938116	21942087	Zm00001d028069	-	1	21905283	21942010	3894
1	21975168	21977063	Zm00001d028070	-	1	21942142	21977155	1895
1	21975168	21977063	Zm00001d028070	-	1	21970158	21982106	1895
1	21979236	21982123	Zm00001d028071	+	1	21970158	21982106	2870
1	22092101	22095372	Zm00001d028076	-	1	22090563	22093089	988
1	22092101	22095372	Zm00001d028076	-	1	22086831	22117710	3271
1	22092101	22095372	Zm00001d028076	-	1	22095370	22105371	2
1	22092101	22095372	Zm00001d028076	-	1	22074301	22162820	3271
1	22183541	22185661	Zm00001d028077	+	1	22170556	22232151	2120
1	22183541	22185661	Zm00001d028077	+	1	22173969	22226045	2120
1	22190790	22194251	Zm00001d028079	-	1	22185794	22193384	2594
1	22190790	22194251	Zm00001d028079	-	1	22170556	22232151	3461
1	22190790	22194251	Zm00001d028079	-	1	22173969	22226045	3461
1	22194567	22198060	Zm00001d028080	+	1	22170556	22232151	3493
1	22194567	22198060	Zm00001d028080	+	1	22173969	22226045	3493
1	22199826	22202673	Zm00001d028081	-	1	22170556	22232151	2847
1	22199826	22202673	Zm00001d028081	-	1	22173969	22226045	2847
1	22210327	22211899	Zm00001d028082	-	1	22170556	22232151	1572
1	22210327	22211899	Zm00001d028082	-	1	22173969	22226045	1572
1	22219133	22221566	Zm00001d028083	+	1	22170556	22232151	2433
1	22219133	22221566	Zm00001d028083	+	1	22173969	22226045	2433
1	22422888	22424315	Zm00001d028085	+	1	22413030	22428504	1427
1	22960075	22971879	Zm00001d028098	+	1	22962990	22963119	129
1	22960075	22971879	Zm00001d028098	+	1	22959972	22974546	11804
1	22995810	23004923	Zm00001d028100	-	1	22999553	23001548	1995
1	22995810	23004923	Zm00001d028100	-	1	22995754	23014126	9113
1	23004511	23008536	Zm00001d028102	+	1	22995754	23014126	4025
1	23090451	23091093	Zm00001d028108	+	1	23077364	23164832	642
1	23110479	23114096	Zm00001d028109	+	1	23077364	23164832	3617
1	23114397	23116894	Zm00001d028110	-	1	23077364	23164832	2497
1	23118720	23122921	Zm00001d028111	-	1	23077364	23164832	4201
1	23147728	23150781	Zm00001d028112	+	1	23077364	23164832	3053
1	23321794	23325398	Zm00001d028117	-	1	23322881	23333059	2517
1	23362248	23363688	Zm00001d028118	-	1	23363267	23364743	421
1	23365556	23371277	Zm00001d028119	+	1	23365530	23371763	5721
1	23432928	23434498	Zm00001d028120	-	1	23420533	23436911	1570
1	23889397	23890397	Zm00001d028137	-	1	23889242	23903984	1000
1	23975834	23981932	Zm00001d028140	+	1	23975903	23982374	6029
1	23991806	23994379	Zm00001d028141	-	1	23991567	23998644	2573
1	23996320	23997820	Zm00001d028142	-	1	23991567	23998644	1500
1	24012254	24014074	Zm00001d028144	-	1	24012025	24021684	1820
1	24163487	24166037	Zm00001d028150	-	1	24142558	24168362	2550
1	24163487	24166037	Zm00001d028150	-	1	24149890	24166877	2550
1	24296413	24298623	Zm00001d028151	-	1	24267262	24296791	378
1	24296413	24298623	Zm00001d028151	-	1	24225007	24296818	405
1	24771608	24778825	Zm00001d028162	-	1	24771096	24785918	7217
1	25047706	25050015	Zm00001d028167	-	1	25045990	25054274	2309
1	25094816	25099163	Zm00001d028168	+	1	25093209	25100719	4347
1	25305829	25316655	Zm00001d028173	+	1	25297867	25317403	10826
1	25566760	25575059	Zm00001d028178	+	1	25568108	25578872	6951
1	25577402	25578107	Zm00001d028179	+	1	25568108	25578872	705
1	25734022	25737544	Zm00001d028184	+	1	25733211	25737671	3522
1	25791635	25805381	Zm00001d028191	+	1	25792031	25794985	2954
1	25791635	25805381	Zm00001d028191	+	1	25785545	25795434	3799
1	25791635	25805381	Zm00001d028191	+	1	25803670	25812132	1711
1	25961222	25988127	Zm00001d028198	-	1	25958352	25965026	3804
1	25961222	25988127	Zm00001d028198	-	1	25975479	25983801	8322
1	25961222	25988127	Zm00001d028198	-	1	25969844	25998012	18283
1	26010781	26012220	Zm00001d028200	+	1	26009172	26013032	1439
1	26188806	26189613	Zm00001d028206	-	1	26187543	26190053	807
1	26334264	26346936	Zm00001d028207	+	1	26326114	26336994	2730
1	26525210	26529825	Zm00001d028211	-	1	26524825	26534395	4615
1	26533012	26534408	Zm00001d028212	+	1	26524825	26534395	1383
1	26619550	26619828	Zm00001d028215	-	1	26615439	26620297	278
1	26903676	26908356	Zm00001d028219	+	1	26907973	26919708	383
1	27042552	27048152	Zm00001d028220	+	1	27043298	27044898	1600
1	27042552	27048152	Zm00001d028220	+	1	27041688	27061649	5600
1	27049419	27051494	Zm00001d028221	-	1	27041688	27061649	2075
1	27413617	27420137	Zm00001d028232	-	1	27419841	27425218	296
1	27420468	27422652	Zm00001d028233	+	1	27419841	27425218	2184
1	27571849	27577275	Zm00001d028237	+	1	27557075	27572637	788
1	27695825	27697683	Zm00001d028240	+	1	27692639	27710991	1858
1	27700703	27702800	Zm00001d028241	-	1	27692639	27710991	2097
1	28066027	28076562	Zm00001d028255	+	1	28067631	28073255	5624
1	28103034	28104556	Zm00001d028257	+	1	28104509	28106376	47
1	28226067	28235042	Zm00001d028261	-	1	28212026	28226122	55
1	28482921	28485437	Zm00001d028263	-	1	28469400	28484289	1368
1	28638545	28642886	Zm00001d028267	-	1	28627761	28647601	4341
1	28714876	28733871	Zm00001d028269	+	1	28722496	28738407	11375
1	28733920	28741221	Zm00001d028270	+	1	28722496	28738407	4487
1	28857645	28858802	Zm00001d028276	+	1	28857285	28860823	1157
1	28936381	28939268	Zm00001d028277	+	1	28933619	28948212	2887
1	28959783	28961321	Zm00001d028278	+	1	28950495	28969072	1538
1	28996699	29002980	Zm00001d028279	+	1	29000021	29001886	1865
1	29407035	29412655	Zm00001d028293	+	1	29400669	29417343	5620
1	29407035	29412655	Zm00001d028293	+	1	29407800	29409725	1925
1	29407035	29412655	Zm00001d028293	+	1	29338613	29424856	5620
1	29497242	29504081	Zm00001d028295	+	1	29497117	29504725	6839
1	29611603	29617384	Zm00001d028298	+	1	29586887	29625589	5781
1	29671337	29676427	Zm00001d028299	+	1	29660130	29731529	5090
1	29770419	29781683	Zm00001d028302	+	1	29770971	29780337	9366
1	29833586	29835464	Zm00001d028305	-	1	29832525	29836921	1878
1	30342336	30344337	Zm00001d028313	+	1	30335987	30369633	2001
1	30348798	30349622	Zm00001d028314	+	1	30335987	30369633	824
1	30363759	30364166	Zm00001d028315	+	1	30335987	30369633	407
1	30551788	30553135	Zm00001d028318	+	1	30548325	30553494	1347
1	30599349	30609154	Zm00001d028320	-	1	30595524	30600937	1588
1	31041489	31049951	Zm00001d028330	-	1	31041421	31043643	2154
1	31084458	31090595	Zm00001d028335	-	1	31069376	31085808	1350
1	31097278	31101111	Zm00001d028336	+	1	31097122	31103106	3833
1	31208608	31218917	Zm00001d028339	-	1	31212070	31214753	2683
1	31208608	31218917	Zm00001d028339	-	1	31212561	31213783	1222
1	31306395	31307591	Zm00001d028340	-	1	31285930	31339786	1196
1	31306395	31307591	Zm00001d028340	-	1	31306530	31335455	1061
1	31323288	31328862	Zm00001d028341	-	1	31328759	31334293	103
1	31323288	31328862	Zm00001d028341	-	1	31285930	31339786	5574
1	31323288	31328862	Zm00001d028341	-	1	31306530	31335455	5574
1	31323288	31328862	Zm00001d028341	-	1	31325083	31340350	3779
1	31343115	31344669	Zm00001d028343	+	1	31342937	31343169	54
1	31351458	31356305	Zm00001d028344	-	1	31356071	31367293	234
1	31656065	31659891	Zm00001d028351	-	1	31655127	31660689	3826
1	31794590	31806747	Zm00001d028355	-	1	31799387	31804282	4895
1	31794590	31806747	Zm00001d028355	-	1	31799442	31809968	7305
1	32137771	32138313	Zm00001d028362	+	1	32126502	32140984	542
1	32145180	32150879	Zm00001d028363	-	1	32148161	32166665	2718
1	32270365	32274160	Zm00001d028366	-	1	32273258	32282441	902
1	32354777	32360308	Zm00001d028369	+	1	32344001	32359319	4542
1	32428519	32429178	Zm00001d028371	-	1	32424949	32441507	659
1	32433751	32442505	Zm00001d028372	-	1	32424949	32441507	7756
1	32602769	32606650	Zm00001d028375	-	1	32596444	32614503	3881
1	32606648	32607667	Zm00001d028377	+	1	32596444	32614503	1019
1	32646827	32647222	Zm00001d028378	-	1	32645075	32654773	395
1	32669956	32671491	Zm00001d028379	-	1	32668593	32679053	1535
1	32678385	32692019	Zm00001d028380	+	1	32668593	32679053	668
1	32771811	32783919	Zm00001d028382	-	1	32773855	32782099	8244
1	32771811	32783919	Zm00001d028382	-	1	32771561	32784575	12108
1	32771811	32783919	Zm00001d028382	-	1	32750549	32840140	12108
1	32801911	32809405	Zm00001d028384	+	1	32750549	32840140	7494
1	32816668	32820422	Zm00001d028385	+	1	32815582	32823104	3754
1	32816668	32820422	Zm00001d028385	+	1	32750549	32840140	3754
1	32857622	32861798	Zm00001d028386	-	1	32857164	32861434	3812
1	33086231	33088568	Zm00001d028390	-	1	33083328	33094473	2337
1	33086231	33088568	Zm00001d028390	-	1	33045060	33135350	2337
1	33086231	33088568	Zm00001d028390	-	1	33076614	33112821	2337
1	33115669	33118053	Zm00001d028391	-	1	33045060	33135350	2384
1	33164527	33166953	Zm00001d028393	-	1	33162134	33170654	2426
1	33167117	33168214	Zm00001d028394	+	1	33162134	33170654	1097
1	33168640	33169312	Zm00001d028395	-	1	33162134	33170654	672
1	33738878	33739350	Zm00001d028404	-	1	33726150	33741892	472
1	33744708	33745907	Zm00001d028405	-	1	33744941	33748433	966
