chr	start	end	length	abs_summit	pileup	#NAME?	fold_enrichment	#NAME?	name
chr1	26561749	26562177	429	26561947	37	32.60501	11.85838	28.61271	o2_peak_48
chr1	27506273	27506726	454	27506492	52	46.09031	13.46527	41.93024	o2_peak_49
chr1	27778795	27779128	334	27778988	24	12.70221	5.3985	9.0911	o2_peak_50
chr1	27889629	27890026	398	27889836	40	28.21814	8.9034	24.28694	o2_peak_51
chr1	28226148	28226477	330	28226237	9	5.24987	3.9122	2.0617	o2_peak_52
chr1	28702424	28702841	418	28702640	39	30.444	10.16247	26.48192	o2_peak_53
chr1	29362779	29363285	507	29363070	49	58.56653	21.29133	54.26638	o2_peak_54
chr1	29882275	29882661	387	29882452	33	23.80336	8.6381	19.94341	o2_peak_55
chr1	30114044	30114534	491	30114288	83	70.69239	14.25318	66.26545	o2_peak_56
chr1	30350436	30350753	318	30350626	21	11.97614	5.58936	8.38328	o2_peak_57
chr1	30426239	30426523	285	30426366	29	16.28438	6.10409	12.57485	o2_peak_58
chr1	31505674	31505992	319	31505822	22	10.40379	4.6798	6.86459	o2_peak_59
chr1	32841211	32841595	385	32841422	18	13.01975	6.8112	9.39264	o2_peak_60
chr1	33427829	33428217	389	33428002	21	14.21109	6.75602	10.55319	o2_peak_61
chr1	33538576	33538861	286	33538725	20	14.22653	7.007	10.56843	o2_peak_62
chr1	33885421	33885918	498	33885755	14	6.95863	4.17419	3.59366	o2_peak_63
chr1	36892822	36893258	437	36893058	97	69.75314	11.09919	65.33648	o2_peak_64
chr1	38003050	38003462	413	38003250	42	19.74638	5.47716	15.96409	o2_peak_65
chr1	38192118	38192418	301	38192261	18	13.01975	6.8112	9.39264	o2_peak_66
chr1	38315062	38315353	292	38315177	21	9.68099	4.49873	6.16835	o2_peak_67
chr1	38916758	38917247	490	38916989	70	45.52399	9.04368	41.3721	o2_peak_68
chr1	39146657	39146957	301	39146857	14	6.28833	3.81093	2.9761	o2_peak_69
chr1	40132026	40132337	312	40132167	29	16.28438	6.10409	12.57485	o2_peak_70
chr1	40516434	40516709	276	40516588	23	13.25325	5.83627	9.62206	o2_peak_71
chr1	40593805	40594313	509	40594091	91	73.88766	13.38746	69.42774	o2_peak_72
chr1	41227068	41227415	348	41227246	22	13.53635	6.1775	9.89903	o2_peak_73
chr1	41284501	41284782	282	41284628	28	12.99615	4.92074	9.37005	o2_peak_74
chr1	42025010	42025289	280	42025152	25	12.82791	5.29021	9.21355	o2_peak_75
chr1	42857947	42858421	475	42858180	49	48.75091	15.85985	44.56046	o2_peak_76
chr1	43378885	43379166	282	43379014	21	16.76031	8.19128	13.0394	o2_peak_77
chr1	44281435	44281856	422	44281632	46	34.63468	10.14918	30.61356	o2_peak_78
chr1	44331327	44331740	414	44331530	59	50.58053	13.25329	46.36972	o2_peak_79
chr1	44371636	44372166	531	44371917	63	66.54088	19.19523	62.15825	o2_peak_80
chr1	44890409	44890686	278	44890570	20	11.09864	5.3353	7.5347	o2_peak_81
chr1	45896114	45896450	337	45896242	25	23.79394	11.07149	19.93593	o2_peak_82
chr1	46069921	46070439	519	46070054	17	9.22018	4.90287	5.73219	o2_peak_83
chr1	47325806	47326218	413	47325986	44	19.1795	5.09657	15.4063	o2_peak_84
chr1	48447220	48447704	485	48447442	85	89.31612	20.9133	84.70029	o2_peak_85
chr1	49416775	49417110	336	49416930	28	18.61193	7.36779	14.85295	o2_peak_86
chr1	49802539	49802935	397	49802745	28	27.74769	12.34897	23.82569	o2_peak_87
chr1	52149506	52149771	266	52149632	22	9.42022	4.25219	5.92253	o2_peak_88
chr1	52227626	52227917	292	52227762	20	8.87749	4.27286	5.40294	o2_peak_89
chr1	53005310	53005587	278	53005463	12	8.64868	5.53575	5.18136	o2_peak_90
chr1	53158961	53159252	292	53159116	22	12.8727	5.84342	9.25509	o2_peak_91
chr1	53414535	53414870	336	53414691	33	23.80336	8.6381	19.94341	o2_peak_92
chr1	53852997	53853382	386	53853207	34	33.94949	13.69269	29.93812	o2_peak_93
chr1	54273797	54274301	505	54274040	55	43.32982	11.39431	39.20288	o2_peak_94
chr1	55128094	55128385	292	55128262	22	10.40379	4.6798	6.86459	o2_peak_95
chr1	55455679	55456170	492	55455958	28	18.93913	7.52687	15.1715	o2_peak_96
chr1	56572442	56572748	307	56572583	21	12.29295	5.74874	8.69072	o2_peak_97
chr1	57299596	57299990	395	57299770	32	22.73848	8.38404	18.89767	o2_peak_98
chr1	57682005	57682449	445	57682255	64	43.45456	9.45853	39.32656	o2_peak_99
chr1	58364837	58365163	327	58365009	23	16.58337	7.55061	12.86644	o2_peak_100
chr1	59808584	59808976	393	59808809	29	19.62279	7.62185	15.84264	o2_peak_101
chr1	60089598	60089929	332	60089745	16	10.39305	5.74835	6.85633	o2_peak_102
chr1	62476585	62476971	387	62476773	80	79.45487	18.52883	74.93844	o2_peak_103
chr1	63103287	63103553	267	63103477	16	7.43902	4.13403	4.04393	o2_peak_104
chr1	64009780	64010234	455	64009985	46	38.3746	11.80152	34.30764	o2_peak_105
chr1	64754982	64755416	435	64755206	42	47.77139	18.31055	43.59236	o2_peak_106
chr1	65926473	65926764	292	65926626	23	6.57334	3.05702	3.24359	o2_peak_107
chr1	66615876	66616140	265	66616007	16	9.7706	5.39235	6.25571	o2_peak_108
chr1	66776004	66776348	345	66776167	10	6.70759	4.68409	3.36181	o2_peak_109
chr1	68461216	68461480	265	68461384	13	9.66801	5.96157	6.15621	o2_peak_110
chr1	70964392	70964685	294	70964536	19	15.18783	7.8244	11.50345	o2_peak_111
chr1	72611099	72611475	377	72611288	83	59.25698	10.69956	54.94948	o2_peak_112
chr1	72642907	72643401	495	72643149	130	161.91626	33.28208	156.50487	o2_peak_113
chr1	73269469	73269970	502	73269705	126	139.8924	25.84066	134.72845	o2_peak_114
chr1	77323998	77324527	530	77324285	81	108.18478	32.40886	103.37	o2_peak_115
chr1	78716597	78717023	427	78716794	19	13.84322	7.0388	10.19713	o2_peak_116
chr1	85286996	85287261	266	85287094	14	6.28833	3.81093	2.9761	o2_peak_117
chr1	86423198	86423469	272	86423332	13	5.71525	3.63366	2.4686	o2_peak_118
chr1	88141327	88141746	420	88141511	13	9.66801	5.96157	6.15621	o2_peak_119
chr1	88349822	88350302	481	88350059	37	17.98405	5.5296	14.23635	o2_peak_120
chr1	90114512	90115026	515	90114802	24	21.56322	10.08755	17.74513	o2_peak_121
chr1	91493684	91493976	293	91493812	26	9.72857	3.92893	6.21467	o2_peak_122
chr1	91514129	91514393	265	91514271	20	8.87749	4.27286	5.40294	o2_peak_123
chr1	91516915	91517291	377	91517089	32	24.91376	9.45621	21.03516	o2_peak_124
chr1	92457366	92457928	563	92457656	165	144.90533	16.92469	139.68439	o2_peak_125
chr1	92703003	92703516	514	92703278	67	75.72775	22.11519	71.24767	o2_peak_126
chr1	94575593	94575899	307	94575749	25	10.71477	4.4117	7.16532	o2_peak_127
chr1	94900978	94901256	279	94901124	21	12.60732	5.90891	8.99768	o2_peak_128
chr1	97548408	97548796	389	97548598	56	44.49354	11.59778	40.35373	o2_peak_129
chr1	100719401	100719853	453	100719635	62	52.13594	13.02084	47.90901	o2_peak_130
chr1	101167424	101167835	412	101167605	18	11.05078	5.69858	7.49033	o2_peak_131
chr1	101840289	101840700	412	101840511	27	18.87091	7.73599	15.10471	o2_peak_132
chr1	102312730	102313012	283	102312873	15	11.79353	6.81323	8.20825	o2_peak_133
chr1	102714685	102715087	403	102714909	45	44.28134	15.08753	40.14455	o2_peak_134
chr1	102732835	102733324	490	102733109	116	156.4057	38.05113	151.05595	o2_peak_135
chr1	102981625	102982143	519	102981884	95	106.35282	24.38992	101.5573	o2_peak_136
chr1	103331741	103332043	303	103331890	21	15.44557	7.43905	11.75384	o2_peak_137
chr1	104208107	104208582	476	104208341	79	100.91426	29.50159	96.17615	o2_peak_138
chr1	105914010	105914382	373	105914192	24	18.71502	8.45346	14.95377	o2_peak_139
chr1	107019278	107019680	403	107019520	69	34.91954	6.48939	30.89591	o2_peak_140
chr1	107231134	107231406	273	107231268	17	11.31045	6.05842	7.74013	o2_peak_141
chr1	107807861	107808194	334	107808022	23	21.23883	10.21984	17.42576	o2_peak_142
chr1	108093419	108093737	319	108093583	30	18.07931	6.69414	14.32948	o2_peak_143
chr1	108947531	108947912	382	108947712	24	18.71502	8.45346	14.95377	o2_peak_144
chr1	111113747	111114011	265	111113982	10	6.70759	4.68409	3.36181	o2_peak_145
chr1	111735123	111735477	355	111735271	20	11.11316	5.3426	7.5483	o2_peak_146
chr1	112222275	112222550	276	112222421	18	9.40434	4.82717	5.90829	o2_peak_147
chr1	113459839	113460149	311	113460020	29	19.62279	7.62185	15.84264	o2_peak_148
chr1	113591899	113592163	265	113591995	10	4.9344	3.57746	1.78797	o2_peak_149
chr1	113826731	113827231	501	113826982	144	176.82419	33.16889	171.27055	o2_peak_150
chr1	115008342	115008674	333	115008512	22	13.97	6.40042	10.31969	o2_peak_151
chr1	116061805	116062070	266	116061919	14	5.97954	3.64767	2.69815	o2_peak_152
chr1	117004095	117004451	357	117004273	29	22.49424	9.0683	18.65907	o2_peak_153
chr1	117370190	117370714	525	117370446	108	126.43665	27.69272	121.42845	o2_peak_154
chr1	118001049	118001706	658	118001401	270	241.11986	18.4334	234.83464	o2_peak_155
chr1	118403512	118403968	457	118403745	47	39.88956	12.19496	35.80238	o2_peak_156
chr1	119294037	119294587	551	119294287	84	107.73517	30.47115	102.92693	o2_peak_157
chr1	122362084	122362445	362	122362271	49	28.54063	7.27579	24.60603	o2_peak_158
chr1	122423005	122423534	530	122423264	136	123.15679	17.45048	118.1864	o2_peak_159
chr1	122467517	122467937	421	122467744	42	33.91248	10.92465	29.90151	o2_peak_160
chr1	122586568	122586882	315	122586728	22	12.8727	5.84342	9.25509	o2_peak_161
chr1	124092671	124093205	535	124092925	97	122.26898	31.0853	117.30635	o2_peak_162
chr1	127262909	127263379	471	127263153	70	69.97548	18.03838	65.55478	o2_peak_163
chr1	127871721	127872223	503	127871989	93	109.86714	26.93586	105.03516	o2_peak_164
chr1	128616181	128616621	441	128616408	52	37.35891	9.79854	33.30538	o2_peak_165
chr1	128653431	128653834	404	128653652	45	40.3789	13.08414	36.28663	o2_peak_166
chr1	128743137	128743457	321	128743290	25	15.6691	6.6056	11.97188	o2_peak_167
chr1	129082319	129082769	451	129082555	60	59.56612	16.97503	55.25556	o2_peak_168
chr1	130627269	130627776	508	130627535	92	90.6236	18.92269	85.9949	o2_peak_169
chr1	131861844	131862108	265	131861949	15	7.03017	4.06499	3.65747	o2_peak_170
chr1	132579666	132580093	428	132579857	57	44.29721	11.26297	40.15968	o2_peak_171
chr1	135792282	135792678	397	135792470	46	29.07948	7.975	25.13812	o2_peak_172
chr1	136031263	136031670	408	136031447	32	19.02674	6.7145	15.25531	o2_peak_173
chr1	138292845	138293195	351	138293008	43	26.15698	7.46595	22.25756	o2_peak_174
chr1	139005443	139005757	315	139005601	48	27.60933	7.13028	23.68944	o2_peak_175
chr1	139471515	139471973	459	139471751	60	59.31359	16.8534	55.0058	o2_peak_176
chr1	139723234	139723786	553	139723504	85	91.41683	21.84931	86.77892	o2_peak_177
chr1	139890000	139890467	468	139890267	54	53.85172	16.4959	49.60378	o2_peak_178
chr1	140161448	140161826	379	140161647	41	27.91297	8.54573	23.98866	o2_peak_179
chr1	141047866	141048295	430	141048083	42	33.48811	10.72727	29.48236	o2_peak_180
chr1	141560033	141560562	530	141560269	121	132.37094	24.82331	127.29343	o2_peak_181
chr1	141797333	141797677	345	141797525	42	28.95471	8.7492	25.01541	o2_peak_182
chr1	141972647	141973114	468	141972892	88	98.66511	23.90425	93.95236	o2_peak_183
chr1	144443768	144444193	426	144443994	21	7.90185	3.73298	4.47505	o2_peak_184
chr1	145163000	145163313	314	145163141	34	15.57978	5.09305	11.88598	o2_peak_185
chr1	145328322	145328617	296	145328477	24	14.73757	6.36024	11.06613	o2_peak_186
chr1	146584088	146584352	265	146584225	19	11.57006	5.77394	7.9911	o2_peak_187
chr1	147279671	147280174	504	147279948	63	54.81432	13.82016	50.55732	o2_peak_188
chr1	148246531	148246932	402	148246732	44	27.12172	7.63563	23.207	o2_peak_189
chr1	149896032	149896485	454	149896252	84	71.9325	14.42287	67.49182	o2_peak_190
chr1	150434763	150435338	576	150435055	119	133.18709	25.91279	128.10133	o2_peak_191
chr1	150588065	150588419	355	150588296	15	5.83457	3.45504	2.57064	o2_peak_192
chr1	151459169	151459653	485	151459418	73	86.77438	25.02225	82.18291	o2_peak_193
chr1	153297266	153297586	321	153297402	29	11.81958	4.36548	8.23331	o2_peak_194
chr1	154106234	154106605	372	154106440	35	31.03537	11.70804	27.06545	o2_peak_195
chr1	156200424	156201094	671	156200767	127	141.40701	26.04413	136.22652	o2_peak_196
chr1	156231024	156231372	349	156231165	21	12.68803	5.95036	9.07773	o2_peak_197
chr1	156396210	156396536	327	156396366	17	10.8654	5.80506	7.31142	o2_peak_198
chr1	156408881	156409310	430	156409084	33	28.56749	11.05759	24.63235	o2_peak_199
chr1	157219529	157219793	265	157219650	20	7.24387	3.5633	3.85988	o2_peak_200
chr1	159982911	159983290	380	159983099	52	23.30032	5.40367	19.45085	o2_peak_201
chr1	162423413	162423831	419	162423622	29	19.62279	7.62185	15.84264	o2_peak_202
chr1	162774515	162774779	265	162774657	18	9.80377	5.03303	6.28863	o2_peak_203
chr1	162804792	162805236	445	162805021	39	33.99372	11.90442	29.98202	o2_peak_204
chr1	163668762	163669116	355	163668935	34	21.94452	7.5579	18.11868	o2_peak_205
chr1	164645729	164646063	335	164645863	24	13.32671	5.68505	9.69433	o2_peak_206
chr1	164959031	164959411	381	164959225	29	18.00315	6.86253	14.25485	o2_peak_207
chr1	165668618	165669066	449	165668855	58	59.4188	17.6956	55.10965	o2_peak_208
chr1	166075290	166075712	423	166075505	33	26.93752	10.19747	23.02692	o2_peak_209
chr1	166290794	166291158	365	166290972	35	25.97033	9.14622	22.07437	o2_peak_210
chr1	166626261	166626734	474	166626494	58	46.84346	12.00471	42.67414	o2_peak_211
chr1	166818983	166819247	265	166819111	11	6.99685	4.69464	3.62961	o2_peak_212
chr1	166824245	166824676	432	166824477	22	15.64849	7.29553	11.95359	o2_peak_213
chr1	168588580	168588970	391	168588785	43	18.41806	4.98331	14.6626	o2_peak_214
chr1	171789785	171790150	366	171789983	25	13.55972	5.61444	9.92167	o2_peak_215
chr1	174033145	174033409	265	174033307	14	6.44212	3.89321	3.12138	o2_peak_216
chr1	174243168	174243566	399	174243373	26	20.90444	9.08764	17.10167	o2_peak_217
chr1	174298794	174299132	339	174298966	23	17.60735	8.11532	13.86781	o2_peak_218
chr1	174316617	174317407	791	174317078	42	44.88595	16.65348	40.73991	o2_peak_219
chr1	175639824	175640357	534	175640107	98	117.82056	28.36862	112.90878	o2_peak_220
chr1	175895395	175895855	461	175895614	39	31.97355	10.89527	27.9888	o2_peak_221
chr1	178059373	178059788	416	178059590	50	29.17204	7.32224	25.22808	o2_peak_222
chr1	178504919	178505183	265	178505045	14	10.71692	6.3874	7.16532	o2_peak_223
chr1	178758357	178758804	448	178758589	42	34.57353	11.23617	30.55443	o2_peak_224
chr1	179912158	179912499	342	179912311	16	10.0107	5.5288	6.48759	o2_peak_225
chr1	180333154	180333459	306	180333307	32	23.11544	8.56506	19.2677	o2_peak_226
chr1	180838232	180838526	295	180838383	29	19.96242	7.78642	16.17491	o2_peak_227
chr1	183584428	183584901	474	183584657	111	124.62941	25.62011	119.64227	o2_peak_228
chr1	183696712	183697194	483	183696945	146	136.33818	18.72424	131.21584	o2_peak_229
chr1	184732493	184732976	484	184732766	33	29.37842	11.49671	25.42948	o2_peak_230
chr1	185373545	185373963	419	185373752	31	23.26664	8.90494	19.41739	o2_peak_231
chr1	187032448	187032863	416	187032662	31	31.83374	13.62645	27.8509	o2_peak_232
chr1	187909739	187910014	276	187909898	25	15.6691	6.6056	11.97188	o2_peak_233
chr1	189223296	189223727	432	189223508	26	21.80375	9.58991	17.98137	o2_peak_234
chr1	189625159	189625601	443	189625323	16	10.89085	6.03809	7.33501	o2_peak_235
chr1	191129416	191129742	327	191129547	20	11.92967	5.76071	8.33954	o2_peak_236
chr1	192633069	192633572	504	192633305	99	110.00108	24.31779	105.16687	o2_peak_237
chr1	193488557	193488895	339	193488725	27	22.13711	9.46788	18.30763	o2_peak_238
chr1	193902651	193902988	338	193902806	17	11.69066	6.27762	8.10987	o2_peak_239
chr1	194721368	194721842	475	194721620	84	82.40657	18.35489	77.85924	o2_peak_240
chr1	197308756	197309085	330	197308939	28	13.49531	5.11615	9.85839	o2_peak_241
chr1	198457053	198457558	506	198457299	109	121.94804	25.31278	116.99088	o2_peak_242
chr1	199025915	199026523	609	199026211	172	233.91196	43.95267	227.71645	o2_peak_243
chr1	201477018	201477347	330	201477172	21	13.0199	6.12214	9.39264	o2_peak_244
chr1	201662034	201662380	347	201662192	26	15.76768	6.44388	12.06959	o2_peak_245
chr1	201993275	201993721	447	201993496	44	45.1944	15.98319	41.04549	o2_peak_246
chr1	202205327	202205603	277	202205453	18	9.40434	4.82717	5.90829	o2_peak_247
chr1	204102033	204102316	284	204102177	24	14.16045	6.07945	10.503	o2_peak_248
chr1	204333157	204333781	625	204333394	71	71.3653	18.29244	66.93119	o2_peak_249
chr1	205414048	205414335	288	205414161	24	13.39914	5.71877	9.7633	o2_peak_250
chr1	205460538	205460837	300	205460669	13	5.80608	3.68325	2.54433	o2_peak_251
chr1	207573524	207574267	744	207573943	150	177.12662	30.72393	171.56754	o2_peak_252
chr1	207681348	207681820	473	207681616	37	29.33686	10.20631	25.3893	o2_peak_253
chr1	208039256	208039803	548	208039503	15	4.50521	2.8227	1.45861	o2_peak_254
chr1	208872003	208872275	273	208872184	25	9.06185	3.78341	5.57951	o2_peak_255
chr1	209008852	209009214	363	209009037	24	21.56322	10.08755	17.74513	o2_peak_256
chr1	209220642	209221043	402	209220842	51	17.26811	4.08029	13.53606	o2_peak_257
chr1	211052950	211053273	324	211053110	16	10.0107	5.5288	6.48759	o2_peak_258
chr1	211641023	211641452	430	211641223	26	21.80375	9.58991	17.98137	o2_peak_259
chr1	215638885	215639228	344	215639053	23	21.23883	10.21984	17.42576	o2_peak_260
chr1	215665941	215666447	507	215666188	117	160.08588	39.37265	154.69577	o2_peak_261
chr1	217341617	217341885	269	217341748	13	5.57374	3.55686	2.34164	o2_peak_262
chr1	217948909	217949281	373	217949087	25	23.79394	11.07149	19.93593	o2_peak_263
chr1	217995581	217995851	271	217995713	20	10.01648	4.80377	6.49249	o2_peak_264
chr1	219331479	219331858	380	219331661	23	17.54034	8.0779	13.80275	o2_peak_265
chr1	225144361	225144783	423	225144578	67	69.07701	18.7874	64.66863	o2_peak_266
chr1	225567008	225567306	299	225567212	14	6.28833	3.81093	2.9761	o2_peak_267
chr1	225747119	225747383	265	225747236	10	6.62602	4.63243	3.29322	o2_peak_268
chr1	226351510	226351939	430	226351696	36	38.90568	15.75559	34.83051	o2_peak_269
chr1	226967096	226967367	272	226967224	14	10.71692	6.3874	7.16532	o2_peak_270
chr1	226992562	226993000	439	226992857	23	14.05259	6.22913	10.39788	o2_peak_271
chr1	228511359	228511781	423	228511546	38	26.00461	8.42166	22.10807	o2_peak_272
chr1	231453930	231454194	265	231454091	13	6.72771	4.19896	3.37964	o2_peak_273
chr1	232655189	232655711	523	232655440	141	201.31442	46.18171	195.50876	o2_peak_274
chr1	235133870	235134484	615	235134190	68	59.01201	14.03941	54.70705	o2_peak_275
chr1	235548320	235548771	452	235548535	48	31.07365	8.31436	27.10105	o2_peak_276
chr1	235589944	235590413	470	235590150	87	75.68304	14.93191	71.20355	o2_peak_277
chr1	236299204	236299641	438	236299429	39	31.20494	10.52356	27.23166	o2_peak_278
chr1	238048630	238049045	416	238048830	23	21.23883	10.21984	17.42576	o2_peak_279
chr1	238161839	238162353	515	238162072	61	68.25058	20.96459	63.84834	o2_peak_280
chr1	238268563	238268969	407	238268753	33	19.9671	6.91797	16.17824	o2_peak_281
chr1	238286682	238286991	310	238286843	25	10.71477	4.4117	7.16532	o2_peak_282
chr1	238878064	238878555	492	238878313	149	149.97084	21.82738	144.6897	o2_peak_283
chr1	238907225	238907565	341	238907404	30	22.17422	8.62666	18.34379	o2_peak_284
chr1	241037783	241038047	265	241037968	17	8.20582	4.3772	4.76376	o2_peak_285
chr1	242214644	242215051	408	242214857	31	20.84624	7.73292	17.04387	o2_peak_286
chr1	243839947	243840265	319	243840108	22	11.67132	5.26127	8.09077	o2_peak_287
chr1	244177506	244177823	318	244177671	26	15.93828	6.52465	12.23736	o2_peak_288
chr1	244565301	244565588	288	244565446	25	9.06185	3.78341	5.57951	o2_peak_289
chr1	244821903	244822354	452	244822131	41	27.91297	8.54573	23.98866	o2_peak_290
chr1	245537989	245538522	534	245538279	107	143.1424	36.35055	137.94238	o2_peak_291
chr1	246427838	246428105	268	246427985	12	5.45251	3.61763	2.23913	o2_peak_292
chr1	248463088	248463632	545	248463341	140	178.58968	35.8227	173.01903	o2_peak_293
chr1	248676720	248677046	327	248676896	30	26.64957	11.01064	22.74369	o2_peak_294
chr1	249367388	249367652	265	249367515	12	7.1562	4.61736	3.77873	o2_peak_295
chr1	249370833	249371158	326	249371015	26	11.45986	4.58138	7.88402	o2_peak_296
chr1	250587306	250587749	444	250587539	59	48.18233	12.26926	43.99795	o2_peak_297
chr1	251099454	251099814	361	251099596	22	14.91496	6.89829	11.24059	o2_peak_298
chr1	251200320	251200640	321	251200486	31	21.4877	8.03507	17.6701	o2_peak_299
chr1	251817148	251817547	400	251817342	30	19.9372	7.53852	16.15111	o2_peak_300
chr1	251985062	251985400	339	251985230	29	14.30579	5.29257	10.64659	o2_peak_301
chr1	253560199	253560488	290	253560339	19	10.95307	5.44764	7.39521	o2_peak_302
chr1	253858730	253859173	444	253858941	43	35.08885	11.17871	31.06276	o2_peak_303
chr1	254155637	254156015	379	254155815	34	21.94452	7.5579	18.11868	o2_peak_304
chr1	255040868	255041132	265	255040976	15	7.03017	4.06499	3.65747	o2_peak_305
chr1	255751959	255752305	347	255752134	22	13.97	6.40042	10.31969	o2_peak_306
chr1	256579404	256579792	389	256579630	22	19.9874	9.79401	16.19626	o2_peak_307
chr1	256995678	256996159	482	256996018	21	11.49214	5.34991	7.91446	o2_peak_308
chr1	257321128	257321638	511	257321303	20	17.37592	8.84374	13.64301	o2_peak_309
chr1	258483120	258483650	531	258483382	90	87.87633	18.51575	83.27471	o2_peak_310
chr1	258859478	258859810	333	258859687	16	9.84953	5.43708	6.33271	o2_peak_311
chr1	259432347	259432703	357	259432539	22	12.36357	5.59309	8.75806	o2_peak_312
chr1	261833285	261833648	364	261833470	42	25.20194	7.29627	21.31654	o2_peak_313
chr1	262795559	262795845	287	262795695	24	11.46764	4.85473	7.89133	o2_peak_314
chr1	263220326	263220622	297	263220472	24	14.16045	6.07945	10.503	o2_peak_315
chr1	263287940	263288467	528	263288230	122	146.21332	30.10073	140.97571	o2_peak_316
chr1	263726014	263726316	303	263726143	17	11.88965	6.39327	8.30177	o2_peak_317
chr1	263846361	263846641	281	263846519	21	13.0199	6.12214	9.39264	o2_peak_318
chr1	263887138	263887402	265	263887264	17	6.73903	3.66246	3.38768	o2_peak_319
chr1	264978179	264978733	555	264978461	136	182.11147	39.55152	176.50345	o2_peak_320
chr1	265272252	265272556	305	265272346	22	7.16032	3.34686	3.78202	o2_peak_321
chr1	265912029	265912319	291	265912155	28	14.76215	5.63148	11.09005	o2_peak_322
chr1	266400480	266400745	266	266400627	16	7.7977	4.31905	4.37436	o2_peak_323
