Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	POP A	POP B	Compare
CG	2	17681642	17681803	6.80E-05	0.405797	9	3.00E-07	9.80E-11	0.49623	0.090433	Landrace/Maize
CG	2	37321751	37321963	3.10E-11	0.41258	12	4.50E-14	4.40E-17	0.54335	0.13077	Landrace/Maize
CG	2	44201490	44201676	6.50E-09	0.454821	12	4.20E-14	9.30E-15	0.86294	0.40812	Landrace/Maize
CG	2	48108367	48108553	1.70E-32	0.423724	20	3.90E-14	2.50E-38	0.76487	0.34115	Landrace/Maize
CG	2	53861787	53861979	3.60E-19	0.611742	10	4.30E-14	5.20E-25	0.85133	0.23958	Landrace/Maize
CG	2	94636550	94636925	3.10E-28	0.560669	20	5.00E-14	4.40E-34	0.8482	0.28753	Landrace/Maize
CG	2	103115702	103115962	1.00E-37	0.461622	17	5.00E-14	1.50E-43	0.46938	0.007758	Landrace/Maize
CG	2	104049639	104049908	1.40E-33	0.547278	21	4.80E-14	2.00E-39	0.86003	0.31276	Landrace/Maize
CG	2	107986028	107986169	5.80E-09	0.559447	8	4.50E-14	8.30E-15	0.84416	0.28472	Landrace/Maize
CG	2	117110240	117110672	1.00E-25	0.583984	17	4.00E-14	1.50E-31	0.91535	0.33137	Landrace/Maize
CG	2	135104845	135105241	2.40E-46	0.511345	21	5.20E-14	3.40E-52	0.51561	0.004266	Landrace/Maize
CG	2	139515378	139515709	3.40E-58	0.767158	20	5.20E-14	4.90E-64	0.87797	0.11082	Landrace/Maize
CG	2	143410010	143410223	1.40E-23	0.607924	12	5.10E-14	2.00E-29	0.77953	0.1716	Landrace/Maize
CG	2	144887054	144887587	1.20E-44	0.511224	34	4.00E-14	1.70E-50	0.78178	0.27055	Landrace/Maize
CG	2	173440759	173441215	1.20E-09	0.538792	8	4.50E-14	1.80E-15	0.77646	0.23767	Landrace/Maize
CG	2	203859434	203860003	6.10E-103	0.554523	34	2.70E-14	8.70E-109	0.55968	0.0051564	Landrace/Maize
CG	2	225124144	225124447	2.90E-05	0.434421	8	2.50E-12	4.20E-11	0.84715	0.41273	Landrace/Maize
CG	2	225335682	225336188	5.70E-33	0.555726	15	4.00E-14	8.20E-39	0.72134	0.16562	Landrace/Maize
CG	2	226994561	226994848	6.80E-20	0.45842	16	4.50E-14	9.80E-26	0.60028	0.14186	Landrace/Maize
CG	2	229625794	229626238	1.10E-47	0.511314	24	4.50E-14	1.50E-53	0.68475	0.17344	Landrace/Maize
CG	3	12025873	12026135	2.40E-10	0.476701	10	4.70E-14	3.40E-16	0.74368	0.26698	Landrace/Maize
CG	3	15662380	15662486	2.00E-06	0.421394	10	1.10E-12	2.90E-12	0.83015	0.40876	Landrace/Maize
CG	3	50814266	50815179	7.80E-09	0.474903	10	4.40E-14	1.10E-14	0.9243	0.44939	Landrace/Maize
CG	3	71475141	71475871	9.90E-16	0.402064	20	4.00E-14	1.40E-21	0.72454	0.32247	Landrace/Maize
CG	3	74796329	74796529	2.00E-15	0.472141	14	4.20E-14	2.90E-21	0.65804	0.1859	Landrace/Maize
CG	3	103149920	103150203	2.50E-14	0.515195	10	4.00E-14	3.60E-20	0.60297	0.087775	Landrace/Maize
CG	3	107079691	107079783	0.00026	0.411773	10	4.60E-14	3.70E-10	0.89221	0.48043	Landrace/Maize
CG	3	125451436	125452111	3.80E-44	0.445508	41	4.10E-14	5.40E-50	0.46789	0.022378	Landrace/Maize
CG	3	189131053	189131316	7.50E-17	0.554246	13	3.70E-14	1.10E-22	0.88893	0.33469	Landrace/Maize
CG	3	206423282	206423446	5.00E-05	0.419103	10	4.30E-14	7.20E-11	0.88671	0.46761	Landrace/Maize
CG	3	218374580	218374757	3.10E-47	0.834056	13	5.60E-14	4.40E-53	0.91383	0.079774	Landrace/Maize
CG	4	8382388	8382606	3.20E-18	0.437232	17	4.10E-14	4.50E-24	0.52273	0.085497	Landrace/Maize
CG	4	15081584	15081762	9.00E-18	0.44437	10	3.90E-14	1.30E-23	0.50479	0.060419	Landrace/Maize
CG	4	40262759	40263137	6.60E-37	0.652308	17	4.70E-14	9.50E-43	0.65935	0.0070455	Landrace/Maize
CG	4	42909776	42909984	2.20E-23	0.740021	9	3.90E-14	3.10E-29	0.88463	0.14461	Landrace/Maize
CG	4	111365490	111365848	1.50E-38	0.572582	21	3.90E-14	2.20E-44	0.77151	0.19892	Landrace/Maize
CG	4	113426410	113426561	4.70E-20	0.422171	9	4.50E-14	6.70E-26	0.79733	0.37516	Landrace/Maize
CG	4	114444230	114444484	5.20E-09	0.450379	11	4.40E-14	7.50E-15	0.72735	0.27697	Landrace/Maize
CG	4	118888895	118889046	2.80E-06	0.462888	8	4.60E-14	4.00E-12	0.75418	0.29129	Landrace/Maize
CG	4	118997629	118997757	3.60E-51	0.762581	17	5.30E-14	5.10E-57	0.91892	0.15634	Landrace/Maize
CG	4	119744221	119744760	4.40E-45	0.522275	24	4.00E-14	6.30E-51	0.55821	0.035934	Landrace/Maize
CG	4	149924500	149924718	8.00E-14	0.495476	12	4.70E-14	1.10E-19	0.79578	0.3003	Landrace/Maize
CG	4	156140908	156141364	1.30E-86	0.569244	42	5.20E-14	1.80E-92	0.58331	0.014064	Landrace/Maize
CG	4	166646237	166646462	7.20E-24	0.410302	18	4.50E-14	1.00E-29	0.88926	0.47896	Landrace/Maize
CG	4	177772690	177773071	1.30E-13	0.556706	11	4.10E-14	1.90E-19	0.72227	0.16557	Landrace/Maize
CG	4	184389433	184389624	1.30E-18	0.614629	8	4.20E-14	1.90E-24	0.6388	0.024171	Landrace/Maize
CG	4	209506998	209507207	1.90E-14	0.599221	10	4.40E-14	2.70E-20	0.73844	0.13921	Landrace/Maize
CG	4	217656752	217656889	4.00E-13	0.580607	9	4.70E-14	5.70E-19	0.85034	0.26974	Landrace/Maize
CG	4	225039414	225039600	6.80E-21	0.468652	12	4.50E-14	9.70E-27	0.66132	0.19267	Landrace/Maize
CG	4	226181699	226181959	1.80E-18	0.622305	11	4.70E-14	2.50E-24	0.78145	0.15914	Landrace/Maize
CG	5	12226	12746	3.60E-32	0.460132	27	4.30E-14	5.10E-38	0.7669	0.30677	Landrace/Maize
CG	5	1653063	1653576	1.20E-29	0.505105	16	4.90E-14	1.70E-35	0.6608	0.15569	Landrace/Maize
CG	5	23539381	23539601	6.20E-09	0.401977	12	4.50E-14	8.80E-15	0.81623	0.41425	Landrace/Maize
CG	5	45878985	45879426	1.30E-11	0.434301	13	4.20E-14	1.90E-17	0.88549	0.45119	Landrace/Maize
CG	5	54241897	54241996	1.80E-07	0.449514	9	1.10E-11	2.60E-13	0.8703	0.42079	Landrace/Maize
CG	5	85650347	85650836	3.80E-20	0.433281	20	4.00E-14	5.50E-26	0.64444	0.21116	Landrace/Maize
CG	5	86309728	86309958	1.80E-06	0.435685	9	4.80E-14	2.60E-12	0.81285	0.37717	Landrace/Maize
CG	5	120621682	120621841	1.70E-10	0.419637	12	4.40E-14	2.50E-16	0.76614	0.34651	Landrace/Maize
CG	5	121338937	121339039	0.026	0.403406	9	2.20E-12	3.70E-08	0.88577	0.48236	Landrace/Maize
CG	5	127466162	127466356	2.20E-14	0.451941	13	4.20E-14	3.20E-20	0.56744	0.11549	Landrace/Maize
CG	5	166583675	166584329	1.50E-40	0.575711	22	3.70E-14	2.10E-46	0.65349	0.077779	Landrace/Maize
CG	5	191540990	191541114	1.70E-14	0.483212	9	4.20E-14	2.50E-20	0.56569	0.082481	Landrace/Maize
CG	5	209492947	209493183	0.0011	0.403421	8	4.60E-14	1.60E-09	0.91389	0.51047	Landrace/Maize
CG	6	6265712	6265936	7.30E-07	0.421976	8	5.90E-14	1.00E-12	0.6374	0.21543	Landrace/Maize
CG	6	27642342	27642626	7.30E-12	0.556362	10	4.20E-14	1.00E-17	0.86984	0.31348	Landrace/Maize
CG	6	50123068	50123257	1.10E-23	0.524958	12	4.20E-14	1.50E-29	0.52985	0.0048968	Landrace/Maize
CG	6	50974024	50974347	4.60E-14	0.425623	17	8.10E-13	6.60E-20	0.50318	0.07756	Landrace/Maize
CG	6	55607323	55607466	1.10E-17	0.498014	11	4.30E-14	1.60E-23	0.6104	0.11239	Landrace/Maize
CG	6	56764787	56764967	1.80E-04	0.405508	10	1.80E-12	2.60E-10	0.78389	0.37838	Landrace/Maize
CG	6	61207853	61208769	1.10E-82	0.45261	54	5.00E-14	1.60E-88	0.70916	0.25655	Landrace/Maize
CG	6	85045330	85045550	4.90E-24	0.481599	15	4.50E-14	7.00E-30	0.64126	0.15966	Landrace/Maize
CG	6	89251232	89251385	6.00E-15	0.639293	8	4.00E-14	8.50E-21	0.68279	0.043494	Landrace/Maize
CG	6	92255925	92256105	5.70E-32	0.783967	10	4.70E-14	8.20E-38	0.8826	0.098635	Landrace/Maize
CG	6	96572051	96572406	1.00E-65	0.656106	26	4.80E-14	1.40E-71	0.79162	0.13552	Landrace/Maize
CG	6	123788663	123788851	3.20E-14	0.637183	9	4.30E-14	4.60E-20	0.89801	0.26082	Landrace/Maize
CG	6	128376569	128376655	1.00E-05	0.451956	8	4.20E-14	1.50E-11	0.86843	0.41647	Landrace/Maize
CG	6	146683473	146683685	3.00E-34	0.496424	18	4.50E-14	4.30E-40	0.63144	0.13502	Landrace/Maize
CG	6	169165520	169165693	1.60E-10	0.572566	8	4.40E-14	2.20E-16	0.8203	0.24773	Landrace/Maize
CG	7	18719965	18720192	7.80E-35	0.481195	22	5.00E-14	1.10E-40	0.63494	0.15374	Landrace/Maize
CG	7	81250761	81250904	8.50E-07	0.40662	9	6.20E-14	1.20E-12	0.75104	0.34441	Landrace/Maize
CG	7	113839160	113839393	2.40E-24	0.52223	14	4.20E-14	3.40E-30	0.73842	0.21619	Landrace/Maize
CG	7	126962341	126962617	3.60E-13	0.435298	13	4.00E-14	5.20E-19	0.8304	0.3951	Landrace/Maize
CG	7	131541874	131542092	1.50E-28	0.527474	16	4.90E-14	2.10E-34	0.88682	0.35934	Landrace/Maize
CG	8	15270200	15270291	6.30E-22	0.672355	11	4.10E-14	9.00E-28	0.68074	0.0083854	Landrace/Maize
CG	8	30510960	30511062	3.90E-17	0.641038	9	4.20E-14	5.50E-23	0.9096	0.26856	Landrace/Maize
CG	8	74549617	74549903	2.10E-28	0.487346	19	5.00E-14	3.00E-34	0.77358	0.28624	Landrace/Maize
CG	8	75153429	75153558	1.40E-13	0.568857	10	4.40E-14	2.00E-19	0.57753	0.0086737	Landrace/Maize
CG	8	99276375	99276517	9.70E-27	0.627488	11	4.10E-14	1.40E-32	0.8134	0.18591	Landrace/Maize
CG	8	99808092	99808270	3.00E-25	0.505089	17	4.10E-14	4.30E-31	0.7029	0.19781	Landrace/Maize
CG	8	101994724	101994946	9.40E-17	0.514139	12	4.60E-14	1.30E-22	0.65202	0.13789	Landrace/Maize
CG	9	1462127	1462524	5.90E-22	0.454895	21	4.20E-14	8.50E-28	0.48879	0.033899	Landrace/Maize
CG	9	36416231	36416359	1.30E-13	0.527625	11	4.00E-14	1.90E-19	0.82419	0.29657	Landrace/Maize
CG	9	61838989	61839105	9.00E-15	0.475475	11	4.60E-14	1.30E-20	0.88453	0.40906	Landrace/Maize
CG	9	88223752	88223846	7.20E-10	0.531471	8	4.40E-14	1.00E-15	0.7809	0.24943	Landrace/Maize
CG	9	89465935	89466145	8.00E-57	0.775429	15	4.50E-14	1.10E-62	0.78742	0.011987	Landrace/Maize
CG	9	119577929	119578151	1.50E-03	0.455762	8	3.60E-11	2.20E-09	0.56313	0.10737	Landrace/Maize
CG	9	122465197	122465424	4.90E-14	0.423889	11	4.20E-14	7.00E-20	0.57118	0.14729	Landrace/Maize
CG	9	136877114	136877656	9.90E-47	0.432405	30	3.70E-14	1.40E-52	0.57857	0.14617	Landrace/Maize
CG	9	137824680	137825296	8.40E-45	0.447397	40	3.90E-14	1.20E-50	0.69072	0.24333	Landrace/Maize
CG	9	154449582	154449861	4.00E-15	0.41939	13	3.90E-14	5.70E-21	0.48207	0.062677	Landrace/Maize
CG	9	155229792	155229911	1.90E-39	0.840387	11	3.70E-14	2.80E-45	0.92497	0.084578	Landrace/Maize
CG	10	34972078	34972453	8.50E-10	0.47863	11	4.20E-14	1.20E-15	0.88822	0.40959	Landrace/Maize
CG	10	44089426	44090131	1.70E-56	0.553751	34	5.70E-14	2.50E-62	0.8703	0.31655	Landrace/Maize
CG	10	56649945	56650045	2.70E-09	0.401503	12	4.50E-14	3.80E-15	0.68961	0.28811	Landrace/Maize
CG	10	67238772	67238939	6.40E-27	0.724068	11	3.90E-14	9.10E-33	0.8623	0.13823	Landrace/Maize
CG	10	67245365	67245581	3.10E-67	0.75067	21	4.90E-14	4.50E-73	0.84124	0.090567	Landrace/Maize
CG	10	84502507	84502706	3.00E-57	0.786892	18	5.60E-14	4.30E-63	0.90064	0.11374	Landrace/Maize
CG	10	105636445	105636987	2.70E-48	0.544805	30	4.40E-14	3.90E-54	0.89031	0.34551	Landrace/Maize
CG	10	123091266	123091592	9.90E-46	0.496128	27	4.70E-14	1.40E-51	0.50598	0.009849	Landrace/Maize
CG	10	149487789	149488364	6.80E-65	0.754157	21	4.80E-14	9.80E-71	0.8591	0.10494	Landrace/Maize
CG	10	150122008	150122643	9.90E-12	0.458362	10	4.60E-14	1.40E-17	0.62366	0.1653	Landrace/Maize
CG	10	150490223	150490509	1.80E-17	0.418844	16	4.70E-14	2.60E-23	0.7312	0.31235	Landrace/Maize
CG	10	150749964	150750133	4.30E-10	0.458194	12	4.60E-14	6.20E-16	0.8697	0.41151	Landrace/Maize
CG	1	210239	210456	9.80E-51	0.64773	15	3.50E-14	2.30E-56	0.7342	0.086474	Teosinte/Landrace
CG	1	262694	263201	5.30E-159	0.795993	41	2.20E-14	1.20E-164	0.89146	0.095464	Teosinte/Landrace
CG	1	6261427	6261551	7.50E-26	0.673395	8	4.40E-14	1.80E-31	0.81343	0.14003	Teosinte/Landrace
CG	1	32617175	32617332	2.70E-10	0.423204	9	4.90E-14	6.30E-16	0.46605	0.042841	Teosinte/Landrace
CG	1	46643487	46644117	1.90E-214	0.83417	43	9.00E-14	4.50E-220	0.84343	0.0092616	Teosinte/Landrace
CG	1	52503078	52503292	8.60E-27	0.417286	14	5.00E-14	2.00E-32	0.92529	0.508	Teosinte/Landrace
CG	1	62881023	62881269	3.10E-44	0.512869	23	4.80E-14	7.30E-50	0.85539	0.34252	Teosinte/Landrace
CG	1	65446659	65446852	3.30E-44	0.770879	10	3.70E-14	7.80E-50	0.90049	0.12961	Teosinte/Landrace
CG	1	80851514	80851734	1.90E-46	0.872798	9	3.90E-14	4.40E-52	0.8816	0.0088021	Teosinte/Landrace
CG	1	87469387	87469574	1.20E-29	0.646698	9	4.30E-14	2.90E-35	0.92462	0.27792	Teosinte/Landrace
CG	1	115413043	115413773	4.40E-32	0.508985	20	4.90E-14	1.00E-37	0.79416	0.28517	Teosinte/Landrace
CG	1	119937049	119937391	1.50E-67	0.840995	13	5.10E-14	3.40E-73	0.84274	0.0017445	Teosinte/Landrace
CG	1	120117347	120117491	5.20E-33	0.73047	8	3.80E-14	1.20E-38	0.89337	0.1629	Teosinte/Landrace
CG	1	126728320	126728447	5.50E-17	0.542543	10	4.40E-14	1.30E-22	0.75189	0.20935	Teosinte/Landrace
CG	1	128775408	128775637	6.30E-83	0.686469	21	4.30E-14	1.50E-88	0.72555	0.039078	Teosinte/Landrace
CG	1	129828546	129829765	2.30E-206	0.629996	76	0.00E+00	5.40E-212	0.64314	0.013146	Teosinte/Landrace
CG	1	130926476	130926616	2.40E-30	0.697354	8	4.90E-14	5.50E-36	0.73102	0.033667	Teosinte/Landrace
CG	1	140038619	140039059	1.40E-54	0.782427	14	4.30E-14	3.20E-60	0.87534	0.092918	Teosinte/Landrace
CG	1	146473216	146473563	1.80E-31	0.470741	14	4.80E-14	4.10E-37	0.61331	0.14257	Teosinte/Landrace
CG	1	167546695	167547010	2.30E-27	0.457669	15	4.60E-14	5.40E-33	0.71847	0.2608	Teosinte/Landrace
CG	1	170397869	170398457	1.80E-37	0.446286	29	4.60E-14	4.20E-43	0.89484	0.44856	Teosinte/Landrace
CG	1	187734838	187735021	2.90E-34	0.692115	10	4.50E-14	6.80E-40	0.83473	0.14262	Teosinte/Landrace
CG	1	203706026	203706239	4.50E-17	0.570129	9	4.30E-14	1.00E-22	0.82629	0.25617	Teosinte/Landrace
CG	1	210710902	210711227	7.90E-93	0.67604	24	5.20E-14	1.80E-98	0.89475	0.21871	Teosinte/Landrace
CG	1	223973456	223973597	1.80E-24	0.585528	12	4.00E-14	4.20E-30	0.79018	0.20465	Teosinte/Landrace
CG	1	238131262	238131571	1.80E-91	0.600538	28	3.60E-14	4.20E-97	0.60446	0.0039217	Teosinte/Landrace
CG	1	244141483	244141751	8.60E-17	0.424887	11	4.10E-14	2.00E-22	0.91974	0.49485	Teosinte/Landrace
CG	1	247461372	247461761	1.60E-23	0.540965	14	3.90E-14	3.70E-29	0.85811	0.31714	Teosinte/Landrace
CG	1	274886275	274886451	2.40E-56	0.410813	19	5.50E-14	5.50E-62	0.45145	0.040639	Teosinte/Landrace
CG	1	299653740	299653996	8.50E-42	0.735139	10	4.10E-14	2.00E-47	0.92681	0.19167	Teosinte/Landrace
CG	1	302627564	302627904	1.30E-117	0.707973	33	2.90E-14	2.90E-123	0.9155	0.20753	Teosinte/Landrace
CG	2	1250028	1250371	9.80E-47	0.433479	19	5.30E-14	2.30E-52	0.47569	0.04221	Teosinte/Landrace
CG	2	2637087	2637310	1.80E-75	0.474212	22	3.40E-14	4.30E-81	0.54516	0.070945	Teosinte/Landrace
CG	2	8230364	8230475	6.20E-14	0.462511	10	4.30E-14	1.50E-19	0.68173	0.21921	Teosinte/Landrace
CG	2	25731208	25731451	2.30E-49	0.511359	17	5.30E-14	5.30E-55	0.81727	0.30591	Teosinte/Landrace
CG	2	26844518	26844865	1.50E-58	0.553245	18	3.60E-14	3.60E-64	0.64044	0.087192	Teosinte/Landrace
CG	2	37117817	37118073	3.80E-30	0.592962	14	4.70E-14	8.90E-36	0.91305	0.32009	Teosinte/Landrace
CG	2	37352680	37352968	4.00E-54	0.709831	11	5.30E-14	9.30E-60	0.72019	0.010356	Teosinte/Landrace
CG	2	76365835	76366045	4.70E-23	0.600108	8	4.10E-14	1.10E-28	0.68881	0.088703	Teosinte/Landrace
CG	2	92181200	92181363	2.70E-17	0.552079	10	4.40E-14	6.20E-23	0.9081	0.35602	Teosinte/Landrace
CG	2	93283677	93284071	8.30E-37	0.699281	10	4.60E-14	1.90E-42	0.81056	0.11128	Teosinte/Landrace
CG	2	108498706	108499086	9.20E-29	0.485539	13	4.90E-14	2.10E-34	0.50757	0.02203	Teosinte/Landrace
CG	2	118781151	118781762	2.00E-160	0.756389	34	2.30E-14	4.70E-166	0.77513	0.018736	Teosinte/Landrace
CG	2	121939051	121939511	9.60E-105	0.781553	27	7.20E-14	2.20E-110	0.90472	0.12317	Teosinte/Landrace
CG	2	127607560	127607738	3.60E-08	0.44854	9	4.40E-14	8.30E-14	0.83924	0.3907	Teosinte/Landrace
CG	2	141041972	141042073	2.90E-10	0.401164	8	4.10E-14	6.70E-16	0.63238	0.23122	Teosinte/Landrace
CG	2	166115507	166116420	2.80E-106	0.758912	26	6.60E-14	6.50E-112	0.90292	0.14401	Teosinte/Landrace
CG	2	166212899	166213526	1.50E-14	0.421643	10	4.70E-14	3.60E-20	0.73536	0.31372	Teosinte/Landrace
CG	2	166267676	166267877	1.30E-10	0.472504	9	4.20E-14	3.00E-16	0.71362	0.24112	Teosinte/Landrace
CG	2	177712823	177713072	7.30E-24	0.489075	12	3.70E-14	1.70E-29	0.76645	0.27738	Teosinte/Landrace
CG	2	182451589	182451857	3.20E-44	0.409701	18	3.70E-14	7.30E-50	0.93201	0.52231	Teosinte/Landrace
CG	2	182856657	182856835	3.20E-33	0.525621	13	4.40E-14	7.50E-39	0.91149	0.38587	Teosinte/Landrace
CG	2	195287911	195288130	8.70E-29	0.535308	14	4.00E-14	2.00E-34	0.88836	0.35305	Teosinte/Landrace
CG	2	201333777	201334160	2.40E-57	0.88596	12	3.00E-14	5.60E-63	0.88987	0.0039148	Teosinte/Landrace
CG	2	202379633	202379730	6.60E-19	0.474237	10	4.80E-14	1.50E-24	0.65552	0.18128	Teosinte/Landrace
CG	2	205078324	205078777	7.40E-63	0.683039	17	5.60E-14	1.70E-68	0.69136	0.0083175	Teosinte/Landrace
CG	2	214268371	214268565	1.00E-58	0.441616	19	3.60E-14	2.30E-64	0.46219	0.020576	Teosinte/Landrace
CG	2	220376303	220376567	2.00E-51	0.743215	14	5.10E-14	4.60E-57	0.91049	0.16727	Teosinte/Landrace
CG	2	229393724	229394368	3.50E-51	0.709355	15	3.70E-14	8.20E-57	0.75934	0.04998	Teosinte/Landrace
CG	3	68843619	68843740	3.20E-19	0.440775	10	3.90E-14	7.50E-25	0.90157	0.46079	Teosinte/Landrace
CG	3	69442703	69442877	6.30E-27	0.56775	11	4.20E-14	1.50E-32	0.90801	0.34026	Teosinte/Landrace
CG	3	73681253	73681399	2.50E-10	0.430123	8	4.40E-14	5.80E-16	0.75897	0.32885	Teosinte/Landrace
CG	3	74617510	74617649	2.00E-11	0.519791	8	4.60E-14	4.50E-17	0.85535	0.33556	Teosinte/Landrace
CG	3	75669054	75669470	4.40E-29	0.537235	16	4.10E-14	1.00E-34	0.83253	0.2953	Teosinte/Landrace
CG	3	78211132	78212015	1.70E-80	0.633615	31	7.40E-14	4.10E-86	0.78977	0.15616	Teosinte/Landrace
CG	3	78898428	78898798	2.40E-70	0.82777	17	5.50E-14	5.50E-76	0.89509	0.067316	Teosinte/Landrace
CG	3	79160686	79160915	6.50E-26	0.595636	11	4.70E-14	1.50E-31	0.92546	0.32983	Teosinte/Landrace
CG	3	80033465	80033661	4.00E-87	0.822932	19	5.10E-14	9.30E-93	0.83134	0.0084075	Teosinte/Landrace
CG	3	81622804	81623255	7.50E-44	0.544045	26	4.80E-14	1.70E-49	0.83635	0.29231	Teosinte/Landrace
CG	3	82044797	82045387	1.70E-66	0.437344	36	4.20E-14	3.90E-72	0.53084	0.093492	Teosinte/Landrace
CG	3	83930653	83930898	2.00E-45	0.419076	20	3.30E-14	4.70E-51	0.43615	0.017078	Teosinte/Landrace
CG	3	85284500	85285617	6.70E-98	0.619386	36	4.50E-14	1.60E-103	0.73394	0.11455	Teosinte/Landrace
CG	3	87055582	87055882	3.20E-22	0.590312	11	4.40E-14	7.50E-28	0.88408	0.29376	Teosinte/Landrace
CG	3	91860641	91860787	3.10E-05	0.407477	8	4.20E-14	7.30E-11	0.7922	0.38472	Teosinte/Landrace
CG	3	91868820	91869078	3.60E-14	0.571402	8	4.50E-14	8.30E-20	0.87997	0.30857	Teosinte/Landrace
CG	3	92478280	92478715	2.40E-17	0.534489	11	4.70E-14	5.70E-23	0.87655	0.34206	Teosinte/Landrace
CG	3	92536355	92536617	1.20E-27	0.51602	14	3.70E-14	2.80E-33	0.80458	0.28856	Teosinte/Landrace
CG	3	93367048	93367501	5.40E-37	0.702502	12	4.40E-14	1.20E-42	0.85193	0.14942	Teosinte/Landrace
CG	3	95275272	95275559	7.10E-45	0.439482	21	5.00E-14	1.60E-50	0.55986	0.12038	Teosinte/Landrace
CG	3	97219268	97219541	1.20E-23	0.50361	13	4.50E-14	2.70E-29	0.70481	0.2012	Teosinte/Landrace
CG	3	109023505	109023694	1.70E-72	0.801929	15	4.00E-14	3.90E-78	0.8711	0.06917	Teosinte/Landrace
CG	3	115125995	115126239	2.60E-38	0.482942	23	4.30E-14	6.00E-44	0.84504	0.3621	Teosinte/Landrace
CG	3	132586497	132586649	1.30E-36	0.719922	11	5.10E-14	3.00E-42	0.95056	0.23064	Teosinte/Landrace
CG	3	180467356	180467523	1.00E-10	0.486307	8	4.20E-14	2.40E-16	0.86241	0.3761	Teosinte/Landrace
CG	3	189776114	189776237	8.00E-23	0.624988	9	4.10E-14	1.90E-28	0.83758	0.21259	Teosinte/Landrace
CG	3	197490116	197490247	6.00E-46	0.900935	9	3.70E-14	1.40E-51	0.91886	0.017928	Teosinte/Landrace
CG	3	220062162	220062460	3.60E-75	0.612709	22	4.50E-14	8.50E-81	0.72936	0.11665	Teosinte/Landrace
CG	3	226547603	226547880	5.00E-102	0.445779	40	7.00E-14	1.20E-107	0.91671	0.47093	Teosinte/Landrace
CG	3	233670792	233671259	1.20E-26	0.450449	10	4.40E-14	2.70E-32	0.86038	0.40993	Teosinte/Landrace
CG	4	2964405	2965110	1.60E-19	0.412542	15	4.00E-14	3.80E-25	0.45673	0.044185	Teosinte/Landrace
CG	4	31616862	31617088	2.70E-42	0.622722	16	5.30E-14	6.20E-48	0.71788	0.095163	Teosinte/Landrace
CG	4	39428497	39428805	5.40E-66	0.747209	17	4.40E-14	1.30E-71	0.81029	0.063076	Teosinte/Landrace
CG	4	41802501	41803032	8.80E-147	0.860595	31	6.30E-14	2.00E-152	0.89391	0.033313	Teosinte/Landrace
CG	4	55140974	55141228	8.30E-54	0.527803	15	4.10E-14	1.90E-59	0.53412	0.0063186	Teosinte/Landrace
CG	4	60796378	60796542	1.10E-21	0.581893	10	3.70E-14	2.40E-27	0.87291	0.29101	Teosinte/Landrace
CG	4	60824086	60824419	2.60E-84	0.792186	21	5.60E-14	6.10E-90	0.87417	0.081983	Teosinte/Landrace
CG	4	65387728	65388172	2.70E-123	0.460061	59	2.80E-14	6.20E-129	0.64499	0.18493	Teosinte/Landrace
