"marker","chr","physical","genetic"
"1_236",1,23600000,66.53442
"1_237",1,23700000,66.72882
"1_238",1,23800000,66.92311
"1_239",1,23900000,67.11728
"1_240",1,2.4e+07,67.31131
"1_241",1,24100000,67.50521
"1_242",1,24200000,67.69896
"1_243",1,24300000,67.89254
"1_244",1,24400000,68.08594
"1_245",1,24500000,68.27915
"1_246",1,24600000,68.47216
"1_247",1,24700000,68.66496
"1_248",1,24800000,68.85753
"1_249",1,24900000,69.04986
"1_250",1,2.5e+07,69.24193
"1_251",1,25100000,69.43374
"1_252",1,25200000,69.62527
"1_253",1,25300000,69.8165
"1_254",1,25400000,70.00743
"1_255",1,25500000,70.19803
"1_256",1,25600000,70.38829
"1_257",1,25700000,70.57821
"1_258",1,25800000,70.76775
"1_259",1,25900000,70.9569
"1_260",1,2.6e+07,71.14565
"1_261",1,26100000,71.33399
"1_262",1,26200000,71.52189
"1_263",1,26300000,71.70933
"1_264",1,26400000,71.89631
"1_265",1,26500000,72.0828
"1_266",1,26600000,72.26879
"1_267",1,26700000,72.45427
"1_268",1,26800000,72.63921
"1_269",1,26900000,72.8236
"1_270",1,2.7e+07,73.00742
"1_271",1,27100000,73.19067
"1_272",1,27200000,73.37332
"1_273",1,27300000,73.55536
"1_274",1,27400000,73.73678
"1_275",1,27500000,73.91756
"1_276",1,27600000,74.09769
"1_277",1,27700000,74.27716
"1_278",1,27800000,74.45596
"1_279",1,27900000,74.63409
"1_280",1,2.8e+07,74.81153
"1_281",1,28100000,74.98829
"1_282",1,28200000,75.16435
"1_283",1,28300000,75.33973
"1_284",1,28400000,75.51442
"1_285",1,28500000,75.68843
"1_286",1,28600000,75.86175
"1_287",1,28700000,76.03439
"1_288",1,28800000,76.20637
"1_289",1,28900000,76.37768
"1_290",1,2.9e+07,76.54835
"1_291",1,29100000,76.71838
"1_292",1,29200000,76.88779
"1_293",1,29300000,77.0566
"1_294",1,29400000,77.22481
"1_295",1,29500000,77.39244
"1_296",1,29600000,77.55951
"1_297",1,29700000,77.72603
"1_298",1,29800000,77.892
"1_299",1,29900000,78.05746
"1_300",1,3e+07,78.22241
"1_301",1,30100000,78.38687
"1_302",1,30200000,78.55086
"1_303",1,30300000,78.7144
"1_304",1,30400000,78.8775
"1_305",1,30500000,79.04019
"1_306",1,30600000,79.20248
"1_307",1,30700000,79.3644
"1_308",1,30800000,79.52595
"1_309",1,30900000,79.68717
"1_310",1,3.1e+07,79.84809
"1_311",1,31100000,80.00873
"1_312",1,31200000,80.16912
"1_313",1,31300000,80.32931
"1_314",1,31400000,80.48933
"1_315",1,31500000,80.64924
"1_316",1,31600000,80.80907
"1_317",1,31700000,80.96885
"1_318",1,31800000,81.12864
"1_319",1,31900000,81.28847
"1_320",1,3.2e+07,81.44839
"1_321",1,32100000,81.60843
"1_322",1,32200000,81.76864
"1_323",1,32300000,81.92905
"1_324",1,32400000,82.08971
"1_325",1,32500000,82.25066
"1_326",1,32600000,82.41194
"1_327",1,32700000,82.57359
"1_328",1,32800000,82.73566
"1_329",1,32900000,82.89817
"1_330",1,3.3e+07,83.06118
"1_331",1,33100000,83.22472
"1_332",1,33200000,83.38884
"1_333",1,33300000,83.55357
"1_334",1,33400000,83.71895
"1_335",1,33500000,83.88502
"1_336",1,33600000,84.0518
"1_337",1,33700000,84.21935
"1_338",1,33800000,84.38769
"1_339",1,33900000,84.55685
"1_340",1,3.4e+07,84.72688
"1_341",1,34100000,84.89781
"1_342",1,34200000,85.06967
"1_343",1,34300000,85.24251
"1_344",1,34400000,85.41634
"1_345",1,34500000,85.5912
"1_346",1,34600000,85.76712
"1_347",1,34700000,85.94414
"1_348",1,34800000,86.12227
"1_349",1,34900000,86.30155
"1_350",1,3.5e+07,86.48201
"1_351",1,35100000,86.66368
"1_352",1,35200000,86.84658
"1_353",1,35300000,87.03073
"1_354",1,35400000,87.21614
"1_355",1,35500000,87.40283
"1_356",1,35600000,87.59081
"1_357",1,35700000,87.7801
"1_358",1,35800000,87.97071
"1_359",1,35900000,88.16265
"1_360",1,3.6e+07,88.35593
"1_361",1,36100000,88.55056
"1_362",1,36200000,88.74651
"1_363",1,36300000,88.94378
"1_364",1,36400000,89.14234
"1_365",1,36500000,89.34218
"1_366",1,36600000,89.54328
"1_367",1,36700000,89.74562
"1_368",1,36800000,89.94919
"1_369",1,36900000,90.15397
"1_370",1,3.7e+07,90.35994
"1_371",1,37100000,90.56709
"1_372",1,37200000,90.7754
"1_373",1,37300000,90.98484
"1_374",1,37400000,91.1954
"1_375",1,37500000,91.40704
"1_376",1,37600000,91.61971
"1_377",1,37700000,91.8334
"1_378",1,37800000,92.04805
"1_379",1,37900000,92.26363
"1_380",1,3.8e+07,92.4801
"1_381",1,38100000,92.6974
"1_382",1,38200000,92.91549
"1_383",1,38300000,93.1343
"1_384",1,38400000,93.35378
"1_385",1,38500000,93.57388
"1_386",1,38600000,93.79455
"1_387",1,38700000,94.01572
"1_388",1,38800000,94.23734
"1_389",1,38900000,94.45933
"1_390",1,3.9e+07,94.68164
"1_391",1,39100000,94.90419
"1_392",1,39200000,95.12689
"1_393",1,39300000,95.34966
"1_394",1,39400000,95.57242
"1_395",1,39500000,95.79507
"1_396",1,39600000,96.01753
"1_397",1,39700000,96.2397
"1_398",1,39800000,96.4615
"1_399",1,39900000,96.68283
"1_400",1,4e+07,96.90361
"1_401",1,40100000,97.12374
"1_402",1,40200000,97.34313
"1_403",1,40300000,97.56168
"1_404",1,40400000,97.77932
"1_405",1,40500000,97.99594
"1_406",1,40600000,98.21147
"1_407",1,40700000,98.42581
"1_408",1,40800000,98.63889
"1_409",1,40900000,98.85065
"1_410",1,4.1e+07,99.061
"1_411",1,41100000,99.26988
"1_412",1,41200000,99.4772
"1_413",1,41300000,99.6829
"1_414",1,41400000,99.8869
"1_415",1,41500000,100.08912
"1_416",1,41600000,100.28949
"1_417",1,41700000,100.48795
"1_418",1,41800000,100.68443
"1_419",1,41900000,100.87889
"1_420",1,4.2e+07,101.0713
"1_421",1,42100000,101.26163
"1_422",1,42200000,101.44987
"1_423",1,42300000,101.63599
"1_424",1,42400000,101.82
"1_425",1,42500000,102.00187
"1_426",1,42600000,102.18161
"1_427",1,42700000,102.3592
"1_428",1,42800000,102.53463
"1_429",1,42900000,102.70789
"1_430",1,4.3e+07,102.87897
"1_431",1,43100000,103.04787
"1_432",1,43200000,103.21458
"1_433",1,43300000,103.37907
"1_434",1,43400000,103.54135
"1_435",1,43500000,103.70143
"1_436",1,43600000,103.85934
"1_437",1,43700000,104.01511
"1_438",1,43800000,104.16877
"1_439",1,43900000,104.32035
"1_440",1,4.4e+07,104.46992
"1_441",1,44100000,104.61752
"1_442",1,44200000,104.7632
"1_443",1,44300000,104.90703
"1_444",1,44400000,105.04907
"1_445",1,44500000,105.18938
"1_446",1,44600000,105.32805
"1_447",1,44700000,105.46514
"1_448",1,44800000,105.60075
"1_449",1,44900000,105.73498
"1_450",1,4.5e+07,105.86791
"1_451",1,45100000,105.99962
"1_452",1,45200000,106.13022
"1_453",1,45300000,106.25979
"1_454",1,45400000,106.38843
"1_455",1,45500000,106.51621
"1_456",1,45600000,106.64324
"1_457",1,45700000,106.76959
"1_458",1,45800000,106.89537
"1_459",1,45900000,107.02067
"1_460",1,4.6e+07,107.14556
"1_461",1,46100000,107.27015
"1_462",1,46200000,107.39452
"1_463",1,46300000,107.51877
"1_464",1,46400000,107.64298
"1_465",1,46500000,107.76726
"1_466",1,46600000,107.89168
"1_467",1,46700000,108.01635
"1_468",1,46800000,108.14134
"1_469",1,46900000,108.26675
"1_470",1,4.7e+07,108.39266
"1_471",1,47100000,108.51917
"1_472",1,47200000,108.64636
"1_473",1,47300000,108.77432
"1_474",1,47400000,108.90314
"1_475",1,47500000,109.03291
"1_476",1,47600000,109.16372
"1_477",1,47700000,109.29563
"1_478",1,47800000,109.42875
"1_479",1,47900000,109.56313
"1_480",1,4.8e+07,109.69887
"1_481",1,48100000,109.83603
"1_482",1,48200000,109.97471
"1_483",1,48300000,110.11498
"1_484",1,48400000,110.25691
"1_485",1,48500000,110.40059
"1_486",1,48600000,110.5461
"1_487",1,48700000,110.69352
"1_488",1,48800000,110.84292
"1_489",1,48900000,110.99438
"1_490",1,4.9e+07,111.14799
"1_491",1,49100000,111.30381
"1_492",1,49200000,111.46191
"1_493",1,49300000,111.62234
"1_494",1,49400000,111.78516
"1_495",1,49500000,111.95044
"1_496",1,49600000,112.11824
"1_497",1,49700000,112.28862
"1_498",1,49800000,112.46161
"1_499",1,49900000,112.63726
"1_500",1,5e+07,112.81559
"1_501",1,50100000,112.99661
"1_502",1,50200000,113.18034
"1_503",1,50300000,113.36681
"1_504",1,50400000,113.556
"1_505",1,50500000,113.74789
"1_506",1,50600000,113.94246
"1_507",1,50700000,114.13967
"1_508",1,50800000,114.33948
"1_509",1,50900000,114.54184
"1_510",1,5.1e+07,114.74673
"1_511",1,51100000,114.95409
"1_512",1,51200000,115.16389
"1_513",1,51300000,115.37608
"1_514",1,51400000,115.59062
"1_515",1,51500000,115.80747
"1_516",1,51600000,116.02657
"1_517",1,51700000,116.24785
"1_518",1,51800000,116.47126
"1_519",1,51900000,116.6967
"1_520",1,5.2e+07,116.92406
"1_521",1,52100000,117.15325
"1_522",1,52200000,117.38414
"1_523",1,52300000,117.6166
"1_524",1,52400000,117.85052
"1_525",1,52500000,118.08575
"1_526",1,52600000,118.32217
"1_527",1,52700000,118.55962
"1_528",1,52800000,118.79797
"1_529",1,52900000,119.03706
"1_530",1,5.3e+07,119.27675
"1_531",1,53100000,119.51689
"1_532",1,53200000,119.75732
"1_533",1,53300000,119.9979
"1_534",1,53400000,120.23846
"1_535",1,53500000,120.47886
"1_536",1,53600000,120.71894
"1_537",1,53700000,120.95853
"1_538",1,53800000,121.1975
"1_539",1,53900000,121.43567
"1_540",1,5.4e+07,121.67291
"1_541",1,54100000,121.90907
"1_542",1,54200000,122.14398
"1_543",1,54300000,122.37751
"1_544",1,54400000,122.60951
"1_545",1,54500000,122.83983
"1_546",1,54600000,123.06834
"1_547",1,54700000,123.29488
"1_548",1,54800000,123.51933
"1_549",1,54900000,123.74153
"1_550",1,5.5e+07,123.96135
"1_551",1,55100000,124.17864
"1_552",1,55200000,124.39326
"1_553",1,55300000,124.60507
"1_554",1,55400000,124.81395
"1_555",1,55500000,125.01977
"1_556",1,55600000,125.22242
"1_557",1,55700000,125.42183
"1_558",1,55800000,125.61791
"1_559",1,55900000,125.8106
"1_560",1,5.6e+07,125.99985
"1_561",1,56100000,126.18561
"1_562",1,56200000,126.36782
"1_563",1,56300000,126.54646
"1_564",1,56400000,126.72147
"1_565",1,56500000,126.89283
"1_566",1,56600000,127.0605
"1_567",1,56700000,127.22444
"1_568",1,56800000,127.38462
"1_569",1,56900000,127.54099
"1_570",1,5.7e+07,127.69352
"1_571",1,57100000,127.84218
"1_572",1,57200000,127.98692
"1_573",1,57300000,128.12771
"1_574",1,57400000,128.26453
"1_575",1,57500000,128.39734
"1_576",1,57600000,128.52615
"1_577",1,57700000,128.65097
"1_578",1,57800000,128.77181
"1_579",1,57900000,128.88874
"1_580",1,5.8e+07,129.0018
"1_581",1,58100000,129.11106
"1_582",1,58200000,129.21661
"1_583",1,58300000,129.31849
"1_584",1,58400000,129.41679
"1_585",1,58500000,129.51156
"1_586",1,58600000,129.60289
"1_587",1,58700000,129.69083
"1_588",1,58800000,129.77545
"1_589",1,58900000,129.85682
"1_590",1,5.9e+07,129.93501
"1_591",1,59100000,130.01009
"1_592",1,59200000,130.08212
"1_593",1,59300000,130.15118
"1_594",1,59400000,130.21734
"1_595",1,59500000,130.28067
"1_596",1,59600000,130.34126
"1_597",1,59700000,130.3992
"1_598",1,59800000,130.45455
"1_599",1,59900000,130.50741
"1_600",1,6e+07,130.55787
"1_601",1,60100000,130.60601
"1_602",1,60200000,130.65192
"1_603",1,60300000,130.6957
"1_604",1,60400000,130.73744
"1_605",1,60500000,130.77725
"1_606",1,60600000,130.81522
"1_607",1,60700000,130.85147
"1_608",1,60800000,130.88608
"1_609",1,60900000,130.91916
"1_610",1,6.1e+07,130.95081
"1_611",1,61100000,130.98114
"1_612",1,61200000,131.01024
"1_613",1,61300000,131.03821
"1_614",1,61400000,131.06517
"1_615",1,61500000,131.0912
"1_616",1,61600000,131.11641
"1_617",1,61700000,131.1409
"1_618",1,61800000,131.16475
"1_619",1,61900000,131.18806
"1_620",1,6.2e+07,131.2109
"1_621",1,62100000,131.23336
"1_622",1,62200000,131.25552
"1_623",1,62300000,131.27745
"1_624",1,62400000,131.29923
"1_625",1,62500000,131.32095
"1_626",1,62600000,131.34267
"1_627",1,62700000,131.36448
"1_628",1,62800000,131.38643
"1_629",1,62900000,131.40861
"1_630",1,6.3e+07,131.43108
"1_631",1,63100000,131.45391
"1_632",1,63200000,131.47716
"1_633",1,63300000,131.50089
"1_634",1,63400000,131.52516
"1_635",1,63500000,131.55004
"1_636",1,63600000,131.57557
"1_637",1,63700000,131.60182
"1_638",1,63800000,131.62885
"1_639",1,63900000,131.6567
"1_640",1,6.4e+07,131.68539
"1_641",1,64100000,131.71496
"1_642",1,64200000,131.74542
"1_643",1,64300000,131.7768
"1_644",1,64400000,131.80913
"1_645",1,64500000,131.84242
"1_646",1,64600000,131.8767
"1_647",1,64700000,131.91198
"1_648",1,64800000,131.94828
"1_649",1,64900000,131.9856
"1_650",1,6.5e+07,132.02396
"1_651",1,65100000,132.06337
"1_652",1,65200000,132.10381
"1_653",1,65300000,132.14531
"1_654",1,65400000,132.18785
"1_655",1,65500000,132.23144
"1_656",1,65600000,132.27607
"1_657",1,65700000,132.32177
"1_658",1,65800000,132.36851
"1_659",1,65900000,132.41631
"1_660",1,6.6e+07,132.46517
"1_661",1,66100000,132.51508
"1_662",1,66200000,132.56604
"1_663",1,66300000,132.61805
"1_664",1,66400000,132.67108
"1_665",1,66500000,132.72513
"1_666",1,66600000,132.78017
"1_667",1,66700000,132.8362
"1_668",1,66800000,132.89317
"1_669",1,66900000,132.95109
"1_670",1,6.7e+07,133.00992
"1_671",1,67100000,133.06966
"1_672",1,67200000,133.13027
"1_673",1,67300000,133.19175
"1_674",1,67400000,133.25407
"1_675",1,67500000,133.3172
"1_676",1,67600000,133.38115
"1_677",1,67700000,133.44587
"1_678",1,67800000,133.51137
"1_679",1,67900000,133.5776
"1_680",1,6.8e+07,133.64457
"1_681",1,68100000,133.71224
"1_682",1,68200000,133.7806
"1_683",1,68300000,133.84963
"1_684",1,68400000,133.91931
"1_685",1,68500000,133.98962
"1_686",1,68600000,134.06054
"1_687",1,68700000,134.13207
"1_688",1,68800000,134.20417
"1_689",1,68900000,134.27683
"1_690",1,6.9e+07,134.35004
"1_691",1,69100000,134.42377
"1_692",1,69200000,134.49802
"1_693",1,69300000,134.57277
"1_694",1,69400000,134.64801
"1_695",1,69500000,134.72373
"1_696",1,69600000,134.79991
"1_697",1,69700000,134.87653
"1_698",1,69800000,134.95359
"1_699",1,69900000,135.03108
"1_700",1,7e+07,135.10899
"1_701",1,70100000,135.18731
"1_702",1,70200000,135.26603
"1_703",1,70300000,135.34515
"1_704",1,70400000,135.42467
"1_705",1,70500000,135.50456
"1_706",1,70600000,135.58484
"1_707",1,70700000,135.6655
"1_708",1,70800000,135.74653
"1_709",1,70900000,135.82793
"1_710",1,7.1e+07,135.90969
"1_711",1,71100000,135.99182
"1_712",1,71200000,136.0743
"1_713",1,71300000,136.15713
"1_714",1,71400000,136.24031
"1_715",1,71500000,136.32384
"1_716",1,71600000,136.40771
"1_717",1,71700000,136.49193
"1_718",1,71800000,136.57648
"1_719",1,71900000,136.66138
"1_720",1,7.2e+07,136.74662
"1_721",1,72100000,136.83219
"1_722",1,72200000,136.91809
"1_723",1,72300000,137.00434
"1_724",1,72400000,137.09091
"1_725",1,72500000,137.17782
"1_726",1,72600000,137.26506
"1_727",1,72700000,137.35262
"1_728",1,72800000,137.44051
"1_729",1,72900000,137.52873
"1_730",1,7.3e+07,137.61727
"1_731",1,73100000,137.70613
"1_732",1,73200000,137.7953
"1_733",1,73300000,137.8848
"1_734",1,73400000,137.97461
"1_735",1,73500000,138.06473
"1_736",1,73600000,138.15516
"1_737",1,73700000,138.24589
"1_738",1,73800000,138.33694
"1_739",1,73900000,138.42829
"1_740",1,7.4e+07,138.51994
"1_741",1,74100000,138.61189
"1_742",1,74200000,138.70414
"1_743",1,74300000,138.79669
"1_744",1,74400000,138.88953
"1_745",1,74500000,138.98267
"1_746",1,74600000,139.07609
"1_747",1,74700000,139.16981
"1_748",1,74800000,139.2638
"1_749",1,74900000,139.35807
"1_750",1,7.5e+07,139.45261
"1_751",1,75100000,139.5474
"1_752",1,75200000,139.64243
"1_753",1,75300000,139.73769
"1_754",1,75400000,139.83317
"1_755",1,75500000,139.92886
"1_756",1,75600000,140.02472
"1_757",1,75700000,140.12076
"1_758",1,75800000,140.21694
"1_759",1,75900000,140.31326
"1_760",1,7.6e+07,140.40968
"1_761",1,76100000,140.50618
"1_762",1,76200000,140.60273
"1_763",1,76300000,140.6993
"1_764",1,76400000,140.79588
"1_765",1,76500000,140.89243
"1_766",1,76600000,140.98893
"1_767",1,76700000,141.08535
"1_768",1,76800000,141.18167
"1_769",1,76900000,141.27785
"1_770",1,7.7e+07,141.37388
"1_771",1,77100000,141.46972
"1_772",1,77200000,141.56535
"1_773",1,77300000,141.66073
"1_774",1,77400000,141.75583
"1_775",1,77500000,141.85062
"1_776",1,77600000,141.94507
"1_777",1,77700000,142.03914
"1_778",1,77800000,142.13282
"1_779",1,77900000,142.22605
"1_780",1,7.8e+07,142.31882
"1_781",1,78100000,142.41109
"1_782",1,78200000,142.50283
"1_783",1,78300000,142.594
"1_784",1,78400000,142.68457
"1_785",1,78500000,142.77451
"1_786",1,78600000,142.86379
"1_787",1,78700000,142.95238
"1_788",1,78800000,143.04025
"1_789",1,78900000,143.12737
"1_790",1,7.9e+07,143.21371
"1_791",1,79100000,143.29926
"1_792",1,79200000,143.38397
"1_793",1,79300000,143.46784
"1_794",1,79400000,143.55084
"1_795",1,79500000,143.63294
"1_796",1,79600000,143.71413
"1_797",1,79700000,143.79438
"1_798",1,79800000,143.87367
"1_799",1,79900000,143.95197
"1_800",1,8e+07,144.02928
"1_801",1,80100000,144.10555
"1_802",1,80200000,144.18078
"1_803",1,80300000,144.25494
"1_804",1,80400000,144.32801
"1_805",1,80500000,144.39997
"1_806",1,80600000,144.47082
"1_807",1,80700000,144.54053
"1_808",1,80800000,144.60909
"1_809",1,80900000,144.67648
"1_810",1,8.1e+07,144.74269
"1_811",1,81100000,144.80772
"1_812",1,81200000,144.87155
"1_813",1,81300000,144.93417
"1_814",1,81400000,144.99558
"1_815",1,81500000,145.05579
"1_816",1,81600000,145.11477
"1_817",1,81700000,145.17255
"1_818",1,81800000,145.22911
"1_819",1,81900000,145.28447
"1_820",1,8.2e+07,145.33861
"1_821",1,82100000,145.39157
"1_822",1,82200000,145.44336
"1_823",1,82300000,145.494
"1_824",1,82400000,145.54353
"1_825",1,82500000,145.59199
"1_826",1,82600000,145.63942
"1_827",1,82700000,145.68587
"1_828",1,82800000,145.73138
"1_829",1,82900000,145.77601
"1_830",1,8.3e+07,145.81981
"1_831",1,83100000,145.86282
"1_832",1,83200000,145.90508
"1_833",1,83300000,145.94667
"1_834",1,83400000,145.98761
"1_835",1,83500000,146.02795
"1_836",1,83600000,146.06776
"1_837",1,83700000,146.10707
"1_838",1,83800000,146.14595
"1_839",1,83900000,146.18443
"1_840",1,8.4e+07,146.22258
"1_841",1,84100000,146.26044
"1_842",1,84200000,146.29806
"1_843",1,84300000,146.33551
"1_844",1,84400000,146.37282
"1_845",1,84500000,146.41005
"1_846",1,84600000,146.44725
"1_847",1,84700000,146.48447
"1_848",1,84800000,146.52176
"1_849",1,84900000,146.55917
"1_850",1,8.5e+07,146.59675
"1_851",1,85100000,146.63455
"1_852",1,85200000,146.67262
"1_853",1,85300000,146.71101
"1_854",1,85400000,146.74975
"1_855",1,85500000,146.7889
"1_856",1,85600000,146.82848
"1_857",1,85700000,146.86852
"1_858",1,85800000,146.90907
