Context	Comparsion	Chr_D	Start_D	end_D	Chr_F	Start_F	end_F	Feature	Overlap(bp)	Gene_ID	Chr	up_5k	Start	End	down_5k	Strand
CG	Landrace/Maize	2	225335696	225336188	2	225331968	225336967	Gene_down_5k	492	Zm00001d007234	2	225331968	225336968	225339744	225344744	-
CG	Landrace/Maize	2	226994443	226994848	2	226991261	226996260	Gene_down_5k	405	Zm00001d007294	2	226979490	226984490	226991260	226996260	+
CG	Landrace/Maize	2	226994443	226994848	2	226991261	226996260	Gene_down_5k	405	Zm00001d007295	2	226988299	226993299	227000388	227005388	-
CG	Landrace/Maize	3	57177790	57178046	3	57174173	57179172	Gene_down_5k	256	Zm00001d040671	3	57170975	57175975	57178104	57183104	+
CG	Landrace/Maize	3	57177790	57178046	3	57174173	57179172	Gene_down_5k	256	Zm00001d040672	3	57174173	57179173	57201044	57206044	-
CG	Landrace/Maize	3	117396313	117396455	3	117395213	117400212	Gene_down_5k	142	Zm00001d041407	3	117379058	117384058	117395212	117400212	+
CG	Landrace/Maize	4	1397617	1397764	4	1395347	1400346	Gene_down_5k	147	Zm00001d048616	4	1387483	1392483	1395346	1400346	+
CG	Landrace/Maize	4	203233378	203233490	4	203231781	203236780	Gene_down_5k	112	Zm00001d052881	4	203231781	203236781	203238037	203243037	-
CG	Landrace/Maize	4	203233378	203233490	4	203231781	203236780	Gene_down_5k	112	Zm00001d052882	4	203232227	203237227	203240756	203245756	+
CG	Landrace/Maize	5	7727914	7728066	5	7723265	7728264	Gene_down_5k	152	Zm00001d013279	5	7722602	7727602	7727674	7732674	+
CG	Landrace/Maize	5	7727914	7728066	5	7723265	7728264	Gene_down_5k	152	Zm00001d013280	5	7723265	7728265	7728337	7733337	-
CG	Landrace/Maize	5	86309728	86309958	5	86307926	86312925	Gene_down_5k	230	Zm00001d015362	5	86303394	86308394	86309722	86314722	+
CG	Landrace/Maize	5	86309728	86309958	5	86307926	86312925	Gene_down_5k	230	Zm00001d015363	5	86307926	86312926	86314650	86319650	-
CG	Landrace/Maize	5	166583626	166584294	5	166579680	166584679	Gene_down_5k	668	Zm00001d016532	5	166578492	166583492	166584211	166589211	+
CG	Landrace/Maize	5	166583626	166584294	5	166579680	166584679	Gene_down_5k	668	Zm00001d016533	5	166579680	166584680	166589089	166594089	-
CG	Landrace/Maize	6	6265712	6265936	6	6262418	6267417	Gene_down_5k	224	Zm00001d035123	6	6257346	6262346	6262417	6267417	+
CG	Landrace/Maize	6	6265712	6265936	6	6262418	6267417	Gene_down_5k	224	ENSRNA049450111	6	6257346	6262346	6262417	6267417	+
CG	Landrace/Maize	6	6265712	6265936	6	6262418	6267417	Gene_down_5k	224	Zm00001d035124	6	6258975	6263975	6266626	6271626	+
CG	Landrace/Maize	6	6265712	6265936	6	6262418	6267417	Gene_down_5k	224	Zm00001d035125	6	6262547	6267547	6271653	6276653	-
CG	Landrace/Maize	6	7485399	7485722	6	7481918	7486917	Gene_down_5k	323	Zm00001d035166	6	7474108	7479108	7485895	7490895	+
CG	Landrace/Maize	6	7485399	7485722	6	7481918	7486917	Gene_down_5k	323	Zm00001d035167	6	7481918	7486918	7493035	7498035	-
CG	Landrace/Maize	6	50123068	50123257	6	50121440	50126439	Gene_down_5k	189	Zm00001d035791	6	50121440	50126440	50127438	50132438	-
CG	Landrace/Maize	6	123788650	123788909	6	123786605	123791604	Gene_down_5k	259	Zm00001d037381	6	123778958	123783958	123787517	123792517	+
CG	Landrace/Maize	6	123788650	123788909	6	123786605	123791604	Gene_down_5k	259	Zm00001d037382	6	123786605	123791605	123793032	123798032	-
CG	Landrace/Maize	6	146683473	146683685	6	146678916	146683915	Gene_down_5k	212	Zm00001d038062	6	146670466	146675466	146678915	146683915	+
CG	Landrace/Maize	6	146683473	146683685	6	146678916	146683915	Gene_down_5k	212	Zm00001d038063	6	146675443	146680443	146684009	146689009	+
CG	Landrace/Maize	9	89465935	89466145	9	89461684	89466683	Gene_down_5k	210	Zm00001d046429	9	89461684	89466684	89466923	89471923	-
CG	Landrace/Maize	9	154449582	154450053	9	154445335	154450334	Gene_down_5k	471	Zm00001d048314	9	154441529	154446529	154450415	154455415	+
CG	Landrace/Maize	9	154449582	154450053	9	154445335	154450334	Gene_down_5k	471	Zm00001d048315	9	154445335	154450335	154453803	154458803	-
CG	Landrace/Maize	10	149487724	149488790	10	149486791	149491790	Gene_down_5k	1066	Zm00001d026653	10	149454106	149459106	149486790	149491790	+
CG	Landrace/Maize	10	150490223	150490509	10	150488718	150493717	Gene_down_5k	286	Zm00001d026702	10	150483543	150488543	150490777	150495777	+
CG	Landrace/Maize	10	150490223	150490509	10	150488718	150493717	Gene_down_5k	286	Zm00001d026703	10	150486550	150491550	150493423	150498423	+
CG	Landrace/Maize	10	150490223	150490509	10	150488718	150493717	Gene_down_5k	286	Zm00001d026704	10	150488718	150493718	150494858	150499858	-
CG	Landrace/Maize	10	150490223	150490509	10	150488718	150493717	Gene_down_5k	286	Zm00001d026705	10	150489633	150494633	150497195	150502195	+
CG	Landrace/Maize	10	150750052	150750133	10	150747981	150752980	Gene_down_5k	81	Zm00001d026709	10	150742535	150747535	150747980	150752980	+
CG	Landrace/Maize	1	265252518	265252797	1	265249173	265254172	Gene_up_5k	279	Zm00001d033514	1	265243146	265248146	265249172	265254172	-
CG	Landrace/Maize	2	5442678	5444276	2	5443371	5448370	Gene_up_5k	905	Zm00001d002074	2	5443371	5448371	5448682	5453682	+
CG	Landrace/Maize	2	44201427	44201649	2	44200146	44205145	Gene_up_5k	222	Zm00001d003430	2	44194153	44199153	44200628	44205628	+
CG	Landrace/Maize	2	44201427	44201649	2	44200146	44205145	Gene_up_5k	222	Zm00001d003431	2	44200146	44205146	44207351	44212351	+
CG	Landrace/Maize	2	53861826	53861979	2	53860075	53865074	Gene_up_5k	153	Zm00001d003678	2	53851157	53856157	53860074	53865074	-
CG	Landrace/Maize	2	53861826	53861979	2	53860075	53865074	Gene_up_5k	153	Zm00001d003679	2	53856070	53861070	53867710	53872710	-
CG	Landrace/Maize	2	107986004	107986169	2	107983332	107988331	Gene_up_5k	165	Zm00001d004387	2	107983332	107988332	107999832	108004832	+
CG	Landrace/Maize	2	135104845	135105241	2	135102481	135107480	Gene_up_5k	396	Zm00001d004739	2	135102481	135107481	135114390	135119390	+
CG	Landrace/Maize	4	8382098	8382816	4	8382417	8387416	Gene_up_5k	399	Zm00001d026743	4	8377207	8382207	8382416	8387416	-
CG	Landrace/Maize	4	156989589	156989716	4	156986112	156991111	Gene_up_5k	127	Zm00001d051393	4	156976767	156981767	156986407	156991407	-
CG	Landrace/Maize	4	156989589	156989716	4	156986112	156991111	Gene_up_5k	127	Zm00001d026919	4	156980366	156985366	156986111	156991111	-
CG	Landrace/Maize	4	203238340	203238507	4	203238038	203243037	Gene_up_5k	167	Zm00001d052881	4	203231781	203236781	203238037	203243037	-
CG	Landrace/Maize	4	203238340	203238507	4	203238038	203243037	Gene_up_5k	167	Zm00001d052882	4	203232227	203237227	203240756	203245756	+
CG	Landrace/Maize	5	204706316	204706557	5	204702471	204707470	Gene_up_5k	241	Zm00001d017706	5	204695264	204700264	204702470	204707470	-
CG	Landrace/Maize	6	96572032	96572368	6	96568395	96573394	Gene_up_5k	336	Zm00001d036655	6	96559582	96564582	96572729	96577729	+
CG	Landrace/Maize	6	96572032	96572368	6	96568395	96573394	Gene_up_5k	336	Zm00001d036656	6	96568395	96573395	96579915	96584915	+
CG	Landrace/Maize	6	173885355	173885540	6	173882010	173887009	Gene_up_5k	185	Zm00001d039226	6	173874951	173879951	173882009	173887009	-
CG	Landrace/Maize	8	29783322	29783509	8	29779004	29784003	Gene_up_5k	187	Zm00001d009007	8	29779004	29784004	29790217	29795217	+
CG	Landrace/Maize	8	32564411	32564636	8	32563913	32568912	Gene_up_5k	225	Zm00001d008015	8	32558710	32563710	32563912	32568912	-
CG	Landrace/Maize	8	75153429	75153558	8	75152433	75157432	Gene_up_5k	129	Zm00001d009669	8	75141233	75146233	75152432	75157432	-
CG	Landrace/Maize	8	99276375	99276833	8	99273127	99278126	Gene_up_5k	458	Zm00001d010106	8	99273127	99278127	99285066	99290066	+
CG	Landrace/Maize	8	99276375	99276833	8	99273127	99278126	Gene_up_5k	458	Zm00001d008062	8	99275678	99280678	99280915	99285915	+
CG	Landrace/Maize	8	163757374	163757503	8	163752649	163757648	Gene_up_5k	129	Zm00001d011877	8	163752649	163757649	163765413	163770413	+
CG	Landrace/Maize	9	119248445	119248684	9	119244298	119249297	Gene_up_5k	239	Zm00001d047116	9	119238917	119243917	119244297	119249297	-
CG	Landrace/Maize	9	119248445	119248684	9	119244298	119249297	Gene_up_5k	239	Zm00001d027165	9	119241995	119246995	119247800	119252800	-
CG	Landrace/Maize	9	119248445	119248684	9	119244298	119249297	Gene_up_5k	239	Zm00001d027166	9	119242111	119247111	119247884	119252884	-
CG	Landrace/Maize	9	119248445	119248684	9	119244298	119249297	Gene_up_5k	239	Zm00001d047117	9	119243408	119248408	119248797	119253797	-
CG	Landrace/Maize	10	16870276	16870502	10	16869365	16874364	Gene_up_5k	226	Zm00001d023721	10	16860094	16865094	16869364	16874364	-
CG	Landrace/Maize	10	54996666	54997026	10	54993993	54998992	Gene_up_5k	360	Zm00001d024195	10	54993993	54998993	54999382	55004382	+
CG	Landrace/Maize	10	54996666	54997026	10	54993993	54998992	Gene_up_5k	360	Zm00001d024196	10	54994901	54999901	55001252	55006252	-
CG	Landrace/Maize	10	67245365	67245581	10	67245145	67250144	Gene_up_5k	216	Zm00001d024368	10	67239941	67244941	67245144	67250144	-
CG	Landrace/Maize	10	105636445	105637028	10	105632948	105637947	Gene_up_5k	583	Zm00001d025126	10	105628063	105633063	105634956	105639956	+
CG	Landrace/Maize	10	105636445	105637028	10	105632948	105637947	Gene_up_5k	583	Zm00001d025127	10	105632948	105637948	105638019	105643019	+
CG	Landrace/Maize	10	105636445	105637028	10	105632948	105637947	Gene_up_5k	583	Zm00001d025128	10	105633368	105638368	105648955	105653955	-
CG	Landrace/Maize	1	403764	404173	1	396833	415212	Intergenic	409	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	106083228	106083498	1	106077472	106085614	Intergenic	270	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	117984701	117984877	1	117983045	117987570	Intergenic	176	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	170397818	170398457	1	170393606	170399140	Intergenic	639	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	180687660	180688045	1	180686788	180701300	Intergenic	385	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	243672038	243672247	1	243667038	243674721	Intergenic	209	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	260487933	260488241	1	260487352	260490951	Intergenic	308	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	103115707	103115962	2	103114440	103139679	Intergenic	255	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	126589409	126589716	2	126588204	126594696	Intergenic	307	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	143410010	143410150	2	143409300	143413178	Intergenic	140	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	236910736	236911201	2	236907865	236913459	Intergenic	465	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	15662380	15662486	3	15659397	15664024	Intergenic	106	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	71475141	71475871	3	71472235	71482176	Intergenic	730	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	103150046	103150216	3	103138224	103151400	Intergenic	170	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	111640861	111641107	3	111637583	111718526	Intergenic	246	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	125451436	125452111	3	125449486	125453018	Intergenic	675	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	134973980	134974189	3	134972372	134993328	Intergenic	209	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	206423282	206423446	3	206421900	206424513	Intergenic	164	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	7612383	7612508	4	7609440	7617036	Intergenic	125	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	83968250	83968518	4	83966401	83979226	Intergenic	268	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	112110033	112110341	4	112090115	112134823	Intergenic	308	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	114444230	114444484	4	114443191	114447814	Intergenic	254	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	115253196	115253679	4	115247754	115254035	Intergenic	483	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	118997629	118997757	4	118995102	118999277	Intergenic	128	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	149924500	149924718	4	149923665	149924932	Intergenic	218	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	156140908	156141364	4	156139338	156159432	Intergenic	456	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	177772705	177773125	4	177767357	177782097	Intergenic	420	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	208133600	208133717	4	208124539	208135016	Intergenic	117	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	209506998	209507207	4	209506967	209510032	Intergenic	209	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	238687014	238687122	4	238684218	238689219	Intergenic	108	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	5	12226	12799	5	11228	27367	Intergenic	573	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	5	45878985	45879426	5	45878399	45885597	Intergenic	441	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	4432184	4432349	6	4425802	4443225	Intergenic	165	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	46328731	46329174	6	46328520	46329849	Intergenic	443	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	50973995	50974488	6	50965718	50983108	Intergenic	493	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	55607323	55607466	6	55605168	55607529	Intergenic	143	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	7	113839160	113839393	7	113837948	113842045	Intergenic	233	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	7	126962297	126962658	7	126957363	126964032	Intergenic	361	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	9	17847851	17848348	9	17847114	17850277	Intergenic	497	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	9	68066671	68067048	9	68065192	68076524	Intergenic	377	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	9	109521370	109521629	9	109514818	109523776	Intergenic	259	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	9	120589400	120589587	9	120587539	120590600	Intergenic	187	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	44089447	44090131	10	44089663	44093888	Intergenic	468	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	56649945	56650120	10	56648331	56661725	Intergenic	175	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	91847259	91847470	10	91834642	91848896	Intergenic	211	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	117663308	117663485	10	117662342	117667967	Intergenic	177	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	123091241	123091592	10	123071543	123093174	Intergenic	351	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	226181660	226181959	4	226168538	226181935	Intergenic	275	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	5	79872008	79872358	5	79872097	79872230	Intron	133	Zm00001d015216	5	79866178	79871178	79872762	79877762	+
CG	Landrace/Maize	6	61207955	61208769	6	61207698	61208621	Intron	666	Zm00001d035934	6	61202143	61207143	61214618	61219618	-
CG	Landrace/Maize	9	122465197	122465415	9	122464848	122465463	Intron	218	Zm00001d047215	9	122459162	122464162	122469128	122474128	-
CG	Landrace/Maize	9	137824632	137825106	9	137824215	137831507	Intron	474	Zm00001d047639	9	137819154	137824154	137836628	137841628	-
CG	Landrace/Maize	1	23699553	23699964	1	23692160	23708445	TE	411	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	55799156	55799246	1	55751939	55800443	TE	90	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	135668406	135669113	1	135658064	135712526	TE	707	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	183857613	183857742	1	183855040	183864955	TE	129	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	1	223071125	223071288	1	223070234	223078949	TE	163	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	48108294	48108578	2	48105796	48109179	TE	284	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	68502280	68502351	2	68495167	68512579	TE	71	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	78883966	78884090	2	78879542	78899898	TE	124	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	94636415	94636925	2	94629839	94656462	TE	510	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	104049459	104049946	2	104047384	104052599	TE	487	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	139515378	139515699	2	139514011	139522603	TE	321	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	166116092	166116400	2	166105667	166117507	TE	308	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	2	203859434	203860003	2	203855906	203874141	TE	569	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	12025873	12026277	3	12000018	12032523	TE	404	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	50814266	50815179	3	50812940	50864095	TE	913	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	74796329	74796529	3	74788540	74819381	TE	200	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	76711008	76711396	3	76701660	76746824	TE	388	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	107079679	107079803	3	107042453	107086663	TE	124	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	3	218374580	218374757	3	218365066	218381174	TE	177	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	111365490	111365848	4	111292931	111366978	TE	358	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	118888895	118889046	4	118844638	118901151	TE	151	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	119744221	119744760	4	119720225	119752631	TE	539	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	217656687	217656889	4	217649671	217690257	TE	202	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	4	229255283	229255509	4	229248870	229260909	TE	226	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	5	23917046	23917205	5	23916789	23921592	TE	159	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	5	54241897	54242004	5	54240714	54260798	TE	107	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	5	85650289	85650836	5	85614330	85660980	TE	547	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	15660315	15660462	6	15654417	15662029	TE	147	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	45864756	45864869	6	45803080	45886734	TE	113	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	85045330	85045550	6	85026244	85046100	TE	220	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	92255925	92256105	6	92236774	92271120	TE	180	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	117005507	117005771	6	116997398	117008692	TE	264	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	128376545	128376659	6	128374622	128388950	TE	114	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	6	156815481	156815694	6	156810689	156833005	TE	213	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	7	64772248	64772715	7	64762111	64778680	TE	467	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	7	123555825	123556245	7	123555305	123561416	TE	420	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	7	131541874	131542046	7	131541445	131546872	TE	172	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	7	155447763	155447948	7	155444467	155456360	TE	185	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	25523290	25523408	8	25510582	25523421	TE	118	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	30510992	30511062	8	30466861	30523173	TE	70	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	47410986	47411908	8	47388186	47462411	TE	922	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	63034379	63034484	8	63032423	63042862	TE	105	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	74549617	74549975	8	74536047	74551949	TE	358	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	99808092	99808270	8	99796855	99816006	TE	178	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	101994945	101995104	8	101994431	102031493	TE	159	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	102029329	102029386	8	101994431	102031493	TE	57	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	8	108068361	108068762	8	108039766	108072071	TE	401	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	9	1462127	1462510	9	1460494	1466542	TE	383	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	9	119362530	119363067	9	119353482	119366870	TE	537	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	9	136877090	136877656	9	136858672	136901972	TE	566	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	16935368	16935486	10	16913684	16941275	TE	118	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	34972058	34972453	10	34954380	34972892	TE	395	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	51537538	51538197	10	51535994	51539985	TE	659	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	67238772	67238976	10	67232767	67251049	TE	204	NA	NA	NA	NA	NA	NA	NA
CG	Landrace/Maize	10	84502507	84503113	10	84494424	84506842	TE	606	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Landrace	1	5703072	5703214	1	5703061	5703231	Exon	142	Zm00001d027457	1	5693898	5698898	5699272	5704272	-
CG	Teosinte/Landrace	1	5703072	5703214	1	5703061	5703231	Exon	142	Zm00001d027458	1	5696680	5701680	5704055	5709055	-
CG	Teosinte/Landrace	1	5703072	5703214	1	5703061	5703231	Exon	142	Zm00001d027459	1	5701025	5706025	5712786	5717786	-
CG	Teosinte/Landrace	1	32366480	32366777	1	32366180	32367026	Exon	297	Zm00001d028370	1	32358713	32363713	32367026	32372026	+
CG	Teosinte/Landrace	1	80851514	80851834	1	80851540	80851874	Exon	294	Zm00001d029635	1	80845183	80850183	80851874	80856874	-
