Context	Comparsion	Chr_D	Start_D	end_D	Chr_F	Start_F	end_F	Feature	Overlap(bp)	POPA-POPB	Gene_ID	Chr	up_5k	Start	End	down_5k	Strand
CG	Teosinte/Maize	2	34231852	34232386	2	34136508	34242760	Intergenic	534	-0.711248	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	36775667	36775995	2	36774809	36779808	Gene_down_5K	328	-0.403646	Zm00001d003224	2	36769907	36774907	36779481	36784481	+
CG	Teosinte/Maize	2	37349171	37349635	2	37328971	37353482	Intergenic	464	-0.420645	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	53327961	53328200	2	53326667	53328194	Exon	233	-0.423931	Zm00001d003670	2	53317467	53322467	53329733	53334733	-
CG	Teosinte/Maize	2	53963567	53963751	2	53963478	53968477	Gene_down_5K	184	-0.612449	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	59796618	59796772	2	59796496	59801495	Gene_up_5K	154	-0.677651	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	65460476	65460559	2	65456148	65461147	Gene_down_5K	83	-0.409326	Zm00001d003889	2	65452795	65457795	65460979	65465979	+
CG	Teosinte/Maize	2	71777281	71777740	2	71776772	71777845	Exon	459	-0.697591	Zm00001d003950	2	71771772	71776772	71780884	71785884	-
CG	Teosinte/Maize	2	75690697	75690860	2	75680409	75738191	Intergenic	163	-0.431329	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	79868686	79869000	2	79804043	79915329	Intergenic	314	-0.667557	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	79993970	79994636	2	79992691	79997690	Gene_up_5K	666	-0.447553	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	92788960	92789905	2	92427634	92819855	Intergenic	945	-0.586888	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	92908323	92908759	2	92831915	92981059	Intergenic	436	-0.412141	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	95495020	95496816	2	95495628	95495893	Exon	265	-0.585809	Zm00001d004243	2	95488594	95493594	95497031	95502031	+
CG	Teosinte/Maize	2	95722678	95723031	2	95672133	95781007	Intergenic	353	-0.411877	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	101250277	101250410	2	101109226	101430298	Intergenic	133	-0.561002	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	105800260	105800698	2	105755721	105819108	Intergenic	438	-0.404955	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	106081719	106082435	2	106082038	106082275	Exon	237	-0.420776	Zm00001d004358	2	106076084	106081084	106087544	106092544	-
CG	Teosinte/Maize	2	106737593	106737756	2	106731881	106769657	Intergenic	163	-0.545241	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	114899759	114900338	2	114841128	114963432	Intergenic	579	-0.48001	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	123897762	123898145	2	123897505	123902504	Gene_down_5K	383	-0.61583	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	126102593	126103626	2	125943517	126251186	Intergenic	1033	-0.43155	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	128183587	128183798	2	128183561	128184478	Exon	211	-0.470345	Zm00001d004667	2	128127374	128132374	128184491	128189491	-
CG	Teosinte/Maize	2	129008800	129009587	2	128657134	129051835	Intergenic	787	-0.424527	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	129078278	129078553	2	129063406	129300722	Intergenic	275	-0.551461	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	135047703	135048109	2	135044504	135049503	Gene_down_5K	406	-0.416995	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	140990096	140990210	2	140987488	141020000	Intergenic	114	-0.440705	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	158135805	158135921	2	158134866	158135992	Exon	116	-0.442397	Zm00001d005099	2	158129866	158134866	158139401	158144401	+
CG	Teosinte/Maize	2	165940268	165940610	2	165940330	165940562	Intron	232	-0.555154	Zm00001d005253	2	165934745	165939745	165942452	165947452	-
CG	Teosinte/Maize	2	173710823	173711485	2	173711144	173712149	Exon	341	-0.450373	Zm00001d005429	2	173704958	173709958	173717006	173722006	+
CG	Teosinte/Maize	2	196699372	196699640	2	196696634	196701633	Gene_down_5K	268	-0.430706	Zm00001d006057	2	196692374	196697374	196700761	196705761	-
CG	Teosinte/Maize	2	198704105	198704218	2	198703812	198706592	Intron	113	-0.409475	Zm00001d006112	2	198698510	198703510	198708598	198713598	+
CG	Teosinte/Maize	2	200728499	200728988	2	200728594	200728782	Exon	188	-0.417134	Zm00001d006176	2	200721468	200726468	200731634	200736634	-
CG	Teosinte/Maize	2	201769421	201770158	2	201768191	201773190	Gene_up_5K	737	-0.447462	Zm00001d006204	2	201762594	201767594	201770825	201775825	+
CG	Teosinte/Maize	2	203401462	203401966	2	203398246	203403245	Gene_down_5K	504	-0.40496	Zm00001d006274	2	203390420	203395420	203402757	203407757	-
CG	Teosinte/Maize	2	203401462	203401966	2	203398246	203403245	Gene_down_5K	504	-0.40496	Zm00001d006276	2	203396394	203401394	203401852	203406852	+
CG	Teosinte/Maize	2	204165142	204165652	2	204165026	204170286	Intron	510	-0.68941	Zm00001d006307	2	204146697	204151697	204175780	204180780	-
CG	Teosinte/Maize	2	204491596	204491678	2	204491072	204496071	Gene_up_5K	82	-0.639111	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	216044951	216045285	2	215984002	216045122	Intergenic	171	-0.475145	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	216116631	216117308	2	216115940	216121521	Exon	677	-0.568488	Zm00001d006759	2	216110940	216115940	216121521	216126521	-
CG	Teosinte/Maize	2	218756093	218756804	2	218752271	218757270	Gene_up_5K	711	-0.401104	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	2	222400272	222400422	2	222399684	222400824	Exon	150	-0.575189	Zm00001d007107	2	222388488	222393488	222401395	222406395	-
CG	Teosinte/Maize	2	222400272	222400422	2	222399684	222400824	Exon	150	-0.575189	Zm00001d007108	2	222394684	222399684	222401369	222406369	-
CG	Teosinte/Maize	2	222482220	222482432	2	222482093	222482410	Exon	190	-0.401125	Zm00001d007111	2	222476037	222481037	222485565	222490565	+
CG	Teosinte/Maize	2	222722360	222722426	2	222722267	222722663	Exon	66	-0.49397	Zm00001d007118	2	222714142	222719142	222722663	222727663	+
CG	Teosinte/Maize	2	224487078	224487531	2	224482620	224487619	Gene_up_5K	453	-0.697986	Zm00001d007200	2	224479114	224484114	224490009	224495009	+
CG	Teosinte/Maize	2	225519568	225520299	2	225519590	225519779	Exon	189	-0.452774	Zm00001d007240	2	225514590	225519590	225524863	225529863	+
CG	Teosinte/Maize	2	236781113	236781210	2	236781109	236781271	Exon	97	-0.574034	Zm00001d007639	2	236769748	236774748	236782311	236787311	+
CG	Teosinte/Maize	2	236783462	236783871	2	236782312	236787311	Gene_down_5K	409	-0.649898	Zm00001d007640	2	236777564	236782564	236786989	236791989	-
CG	Teosinte/Maize	2	243876208	243876585	2	243867865	243893781	Intergenic	377	-0.690376	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	212111	212465	3	197233	224992	Intergenic	354	-0.570949	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	704087	704251	3	704087	704493	Exon	164	-0.705691	Zm00001d039259	3	696136	701136	705353	710353	-
CG	Teosinte/Maize	3	1955685	1956197	3	1953025	1958024	Gene_up_5K	512	-0.450096	Zm00001d039327	3	1948626	1953626	1957132	1962132	-
CG	Teosinte/Maize	3	12828742	12829102	3	12826925	12831924	Gene_down_5K	360	-0.510887	Zm00001d039714	3	12822313	12827313	12829202	12834202	+
CG	Teosinte/Maize	3	15921018	15921343	3	15919789	15921488	Exon	325	-0.405931	Zm00001d039824	3	15913978	15918978	15922548	15927548	-
CG	Teosinte/Maize	3	18643271	18643716	3	18639645	18644644	Gene_up_5K	445	-0.448279	Zm00001d039900	3	18634696	18639696	18644424	18649424	+
CG	Teosinte/Maize	3	26935651	26935891	3	26935232	26940231	Gene_down_5K	240	-0.421832	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	53289773	53290210	3	53285136	53290135	Gene_down_5K	362	-0.479932	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	53347943	53348572	3	53290136	53433351	Intergenic	629	-0.698262	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	58481523	58481805	3	58481244	58481940	Exon	282	-0.440295	Zm00001d040691	3	58475096	58480096	58484905	58489905	+
CG	Teosinte/Maize	3	69862990	69863422	3	69855300	70085369	Intergenic	432	-0.527516	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	75328581	75328862	3	74913020	75378381	Intergenic	281	-0.507695	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	75631580	75631991	3	75480366	75744882	Intergenic	411	-0.591944	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	75632335	75632723	3	75480366	75744882	Intergenic	388	-0.603765	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	76711011	76711560	3	76697598	77266431	Intergenic	549	-0.534844	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	76734700	76735363	3	76697598	77266431	Intergenic	663	-0.537505	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	76916696	76916795	3	76697598	77266431	Intergenic	99	-0.554379	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	77271829	77271933	3	77271432	77272559	Exon	104	-0.533703	Zm00001d040898	3	77266432	77271432	77272559	77277559	+
CG	Teosinte/Maize	3	78627475	78627604	3	78593345	78712132	Intergenic	129	-0.41316	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	80349013	80349288	3	80110867	80400319	Intergenic	275	-0.403036	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	82233499	82234432	3	81735380	82332238	Intergenic	933	-0.63487	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	83499044	83499186	3	83498516	83503515	Gene_up_5K	142	-0.456477	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	84870251	84871323	3	84011526	85287410	Intergenic	1072	-0.467839	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	92022608	92023211	3	91727459	92026732	Intergenic	603	-0.401243	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	92490586	92491326	3	92484008	92625178	Intergenic	740	-0.50588	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	96546612	96546772	3	96437933	96597268	Intergenic	160	-0.570372	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	103862016	103862361	3	103862042	103862229	Exon	187	-0.426011	Zm00001d041186	3	103853898	103858898	103868467	103873467	+
CG	Teosinte/Maize	3	116500208	116500908	3	116337436	116652803	Intergenic	700	-0.432106	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	122404101	122404358	3	122402305	122407304	Gene_up_5K	257	-0.498027	Zm00001d041475	3	122398732	122403732	122410495	122415495	+
CG	Teosinte/Maize	3	125738906	125740129	3	125716227	125838355	Intergenic	1223	-0.482578	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	125837190	125837554	3	125716227	125838355	Intergenic	364	-0.476003	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	138824673	138825183	3	138824159	138825506	Exon	510	-0.472186	Zm00001d041803	3	138818691	138823691	138831392	138836392	+
CG	Teosinte/Maize	3	140026851	140027002	3	140025931	140027047	Exon	151	-0.464646	Zm00001d041839	3	140018603	140023603	140029825	140034825	+
CG	Teosinte/Maize	3	141721982	141722094	3	141718189	141723188	Gene_down_5K	112	-0.403758	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	142233220	142233439	3	142233301	142233800	Exon	138	-0.505626	Zm00001d041882	3	142225896	142230896	142233815	142238815	+
CG	Teosinte/Maize	3	149531849	149532257	3	149531855	149532094	Exon	239	-0.43933	Zm00001d042066	3	149516452	149521452	149548954	149553954	-
CG	Teosinte/Maize	3	152448104	152448634	3	152447566	152448711	Exon	530	-0.4397	Zm00001d042131	3	152436251	152441251	152450630	152455630	+
CG	Teosinte/Maize	3	155995124	155996350	3	155992813	155997812	Gene_up_5K	1226	-0.493317	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	158448337	158448484	3	158447665	158452664	Gene_up_5K	147	-0.641602	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	159223933	159224463	3	159221492	159301244	Intergenic	530	-0.461456	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	160586866	160587375	3	160586489	160591488	Gene_down_5K	509	-0.422128	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	172077173	172077375	3	171989756	172122088	Intergenic	202	-0.543318	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	183995218	183995583	3	183994758	183996320	Exon	365	-0.438847	Zm00001d042921	3	183989758	183994758	183996320	184001320	+
CG	Teosinte/Maize	3	188445361	188445861	3	188444489	188449488	Gene_down_5K	500	-0.424255	Zm00001d043076	3	188439921	188444921	188448749	188453749	-
CG	Teosinte/Maize	3	189791448	189791654	3	189791472	189791606	Exon	134	-0.698768	Zm00001d043126	3	189777876	189782876	189792492	189797492	-
CG	Teosinte/Maize	3	191370592	191370720	3	191362657	191409935	Intergenic	128	-0.687227	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	3	197034315	197034443	3	197034282	197034669	Exon	128	-0.580608	Zm00001d043341	3	197027557	197032557	197034669	197039669	-
CG	Teosinte/Maize	3	202392199	202392317	3	202391755	202396754	Gene_down_5K	118	-0.504051	Zm00001d043514	3	202386370	202391370	202392323	202397323	+
CG	Teosinte/Maize	3	209228804	209229061	3	209228590	209229342	Exon	257	-0.755003	Zm00001d043762	3	209223407	209228407	209235345	209240345	-
CG	Teosinte/Maize	3	209229448	209230122	3	209229844	209230110	Exon	266	-0.730976	Zm00001d043762	3	209223407	209228407	209235345	209240345	-
CG	Teosinte/Maize	3	209230525	209232219	3	209230507	209231155	Exon	630	-0.637604	Zm00001d043762	3	209223407	209228407	209235345	209240345	-
CG	Teosinte/Maize	3	213755030	213755414	3	213742292	213756288	Exon	384	-0.410676	Zm00001d043915	3	213737292	213742292	213756288	213761288	-
CG	Teosinte/Maize	3	216875639	216876028	3	216875107	216876178	Exon	389	-0.431904	Zm00001d044019	3	216869858	216874858	216881572	216886572	+
CG	Teosinte/Maize	3	228663889	228664037	3	228659058	228664057	Gene_down_5K	148	-0.438519	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	8234411	8234921	4	8234499	8239498	Gene_down_5K	422	-0.543502	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	9355011	9355413	4	8547902	9613916	Intergenic	402	-0.812998	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	9974976	9975737	4	9757307	10041856	Intergenic	761	-0.646496	NA	NA	NA	NA	NA	NA	NA
