Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	mean_Maize	mean_Lan	Compare	Gene
CG	6	123788663	123788851	3.30E-14	0.637183	9	4.30E-14	4.60E-20	0.89801	0.26082	landrace/maize	Zm00001d037381
CG	6	146683473	146683685	3.10E-34	0.496424	18	4.50E-14	4.30E-40	0.63144	0.13502	landrace/maize	Zm00001d038063
CG	6	169165520	169165693	1.60E-10	0.572566	8	4.40E-14	2.20E-16	0.8203	0.24773	landrace/maize	Zm00001d039043
CG	6	169165520	169165693	1.60E-10	0.572566	8	4.40E-14	2.20E-16	0.8203	0.24773	landrace/maize	Zm00001d039044
CG	7	2075479	2075573	2.50E-08	0.587873	6	1.20E-13	3.50E-14	0.86849	0.28061	landrace/maize	Zm00001d018657
CG	7	2075479	2075573	2.50E-08	0.587873	6	1.20E-13	3.50E-14	0.86849	0.28061	landrace/maize	Zm00001d018659
CG	7	18719965	18720192	8.00E-35	0.481195	22	5.00E-14	1.10E-40	0.63494	0.15374	landrace/maize	Zm00001d019138
CG	7	131541874	131542092	1.50E-28	0.527474	16	4.90E-14	2.10E-34	0.88682	0.35934	landrace/maize	Zm00001d020760
CG	7	155447763	155447948	8.20E-20	-0.523076	15	4.80E-14	1.20E-25	0.19891	0.72199	landrace/maize	Zm00001d021542
CG	7	179674589	179674653	0.47	0.414371	6	3.30E-09	6.60E-07	0.79407	0.3797	landrace/maize	Zm00001d022536
CG	8	15270200	15270291	6.40E-22	0.672355	11	4.10E-14	9.00E-28	0.68074	0.0083854	landrace/maize	Zm00001d008630
CG	8	15270200	15270291	6.40E-22	0.672355	11	4.10E-14	9.00E-28	0.68074	0.0083854	landrace/maize	Zm00001d008631
CG	8	25523290	25523361	2.40E-17	0.74983	6	4.00E-14	3.40E-23	0.86476	0.11493	landrace/maize	Zm00001d008925
CG	8	25663392	25663491	4.60E-11	0.612652	6	4.10E-14	6.50E-17	0.72947	0.11682	landrace/maize	Zm00001d008927
CG	8	29783322	29783531	1.80E-08	0.598294	6	4.30E-14	2.60E-14	0.85545	0.25716	landrace/maize	Zm00001d009007
CG	8	73468304	73468796	4.60E-29	-0.460676	25	4.20E-14	6.50E-35	0.16005	0.62072	landrace/maize	Zm00001d009618
CG	8	75153429	75153558	1.40E-13	0.568857	10	4.40E-14	2.00E-19	0.57753	0.0086737	landrace/maize	Zm00001d009669
CG	8	99276375	99276517	9.90E-27	0.627488	11	4.10E-14	1.40E-32	0.8134	0.18591	landrace/maize	Zm00001d010106
CG	8	163757374	163757503	1.60E-05	0.43478	8	2.60E-12	2.30E-11	0.6922	0.25742	landrace/maize	Zm00001d011877
CG	9	1462127	1462524	6.00E-22	0.454895	21	4.20E-14	8.50E-28	0.48879	0.033899	landrace/maize	Zm00001d044757
CG	9	20087636	20087816	0.0025	0.401512	7	6.40E-14	3.50E-09	0.52658	0.12507	landrace/maize	Zm00001d045377
CG	9	88223752	88223846	7.30E-10	0.531471	8	4.40E-14	1.00E-15	0.7809	0.24943	landrace/maize	Zm00001d046416
CG	9	89465935	89466145	8.10E-57	0.775429	15	4.50E-14	1.10E-62	0.78742	0.011987	landrace/maize	Zm00001d046429
CG	9	111695052	111695199	7.70E-11	0.591396	6	4.50E-14	1.10E-16	0.59392	0.0025216	landrace/maize	Zm00001d046933
CG	9	119577929	119578151	0.0016	0.455762	8	3.60E-11	2.20E-09	0.56313	0.10737	landrace/maize	Zm00001d047135
CG	9	122465197	122465424	5.00E-14	0.423889	11	4.20E-14	7.00E-20	0.57118	0.14729	landrace/maize	Zm00001d047215
CG	9	137824680	137825296	8.60E-45	0.447397	40	3.90E-14	1.20E-50	0.69072	0.24333	landrace/maize	Zm00001d047639
CG	9	154449582	154449861	4.00E-15	0.41939	13	3.90E-14	5.70E-21	0.48207	0.062677	landrace/maize	Zm00001d048314
CG	9	154449582	154449861	4.00E-15	0.41939	13	3.90E-14	5.70E-21	0.48207	0.062677	landrace/maize	Zm00001d048315
CG	9	155229792	155229911	2.00E-39	0.840387	11	3.70E-14	2.80E-45	0.92497	0.084578	landrace/maize	Zm00001d048372
CG	9	155596413	155596503	4.00E-07	0.458099	6	4.10E-14	5.60E-13	0.70492	0.24682	landrace/maize	Zm00001d048398
CG	10	32816274	32816515	5.30E-28	-0.610838	14	4.30E-14	7.50E-34	0.20562	0.81646	landrace/maize	Zm00001d023973
CG	10	34972078	34972139	1.60E-06	0.509525	7	4.70E-12	2.20E-12	0.90824	0.39872	landrace/maize	Zm00001d023992
CG	10	67238772	67238939	6.50E-27	0.724068	11	3.90E-14	9.10E-33	0.8623	0.13823	landrace/maize	Zm00001d024367
CG	10	67245365	67245581	3.20E-67	0.75067	21	4.90E-14	4.50E-73	0.84124	0.090567	landrace/maize	Zm00001d024368
CG	10	88853901	88854001	5.20E-08	0.470071	6	4.70E-14	7.40E-14	0.76944	0.29937	landrace/maize	Zm00001d024809
CG	10	105636445	105636698	5.50E-31	0.539755	20	4.40E-14	7.70E-37	0.88091	0.34115	landrace/maize	Zm00001d025126
CG	10	105636445	105636698	5.50E-31	0.539755	20	4.40E-14	7.70E-37	0.88091	0.34115	landrace/maize	Zm00001d025128
CG	10	105636899	105636987	1.80E-13	0.554907	10	4.60E-14	2.50E-19	0.90912	0.35421	landrace/maize	Zm00001d025126
CG	10	105636899	105636987	1.80E-13	0.554907	10	4.60E-14	2.50E-19	0.90912	0.35421	landrace/maize	Zm00001d025128
CG	10	106283381	106283491	2.10E-21	0.697816	7	4.60E-14	3.00E-27	0.90908	0.21126	landrace/maize	Zm00001d025140
CG	10	110195408	110195624	4.90E-12	-0.42102	12	4.50E-14	6.90E-18	0.28525	0.70627	landrace/maize	Zm00001d025228
CG	10	149388569	149388747	1.40E-07	0.448907	7	1.40E-13	2.00E-13	0.45569	0.0067794	landrace/maize	Zm00001d026650
CG	10	149487789	149487910	8.80E-29	0.745328	10	4.10E-14	1.20E-34	0.81916	0.073832	landrace/maize	Zm00001d026653
CG	10	149488205	149488364	1.30E-31	0.762183	11	4.10E-14	1.80E-37	0.8954	0.13322	landrace/maize	Zm00001d026653
CG	10	150490223	150490509	1.90E-17	0.418844	16	4.70E-14	2.60E-23	0.7312	0.31235	landrace/maize	Zm00001d026702
CG	10	150490223	150490509	1.90E-17	0.418844	16	4.70E-14	2.60E-23	0.7312	0.31235	landrace/maize	Zm00001d026703
CG	10	150749964	150750133	4.40E-10	0.458194	12	4.60E-14	6.20E-16	0.8697	0.41151	landrace/maize	Zm00001d026709
CHG	1	209391	209724	1.30E-19	0.4458	11	4.60E-14	1.10E-25	0.49559	0.049789	landrace/maize	Zm00001d027242
CHG	1	17971787	17971940	1.70E-10	0.438439	9	4.30E-14	1.50E-16	0.62569	0.18725	landrace/maize	Zm00001d027936
CHG	1	23271328	23271520	5.20E-08	0.610702	6	4.30E-14	4.50E-14	0.83549	0.22479	landrace/maize	Zm00001d028114
CHG	1	23271328	23271520	5.20E-08	0.610702	6	4.30E-14	4.50E-14	0.83549	0.22479	landrace/maize	Zm00001d028115
CHG	1	23271328	23271520	5.20E-08	0.610702	6	4.30E-14	4.50E-14	0.83549	0.22479	landrace/maize	Zm00001d028116
CHG	1	51120552	51120661	5.90E-06	0.439854	8	4.60E-14	5.10E-12	0.76193	0.32207	landrace/maize	Zm00001d028915
CHG	1	71436607	71436757	5.50E-08	0.440377	8	4.50E-14	4.80E-14	0.78977	0.3494	landrace/maize	Zm00001d029454
CHG	1	111880247	111880812	2.50E-12	0.41055	16	4.30E-14	2.20E-18	0.59037	0.17982	landrace/maize	Zm00001d030184
CHG	1	158665040	158665450	1.90E-46	0.651659	18	5.20E-14	1.70E-52	0.76953	0.11787	landrace/maize	Zm00001d030761
CHG	1	199912380	199912518	3.40E-09	0.584742	6	4.20E-14	2.90E-15	0.86472	0.27998	landrace/maize	Zm00001d031730
CHG	1	215404388	215404485	1.10E-06	0.458865	6	4.00E-14	9.20E-13	0.59981	0.14095	landrace/maize	Zm00001d032168
CHG	1	259329732	259330068	1.50E-32	0.490601	19	3.10E-14	1.30E-38	0.67802	0.18742	landrace/maize	Zm00001d033333
CHG	1	259329732	259330068	1.50E-32	0.490601	19	3.10E-14	1.30E-38	0.67802	0.18742	landrace/maize	Zm00001d033334
CHG	1	285427132	285427328	0.0006	0.400314	6	6.00E-09	5.20E-10	0.59234	0.19203	landrace/maize	Zm00001d034161
CHG	2	5511739	5511979	1.50E-10	0.435373	8	4.20E-14	1.30E-16	0.68125	0.24588	landrace/maize	Zm00001d002080
CHG	2	8255727	8255805	5.60E-09	-0.458567	9	4.70E-14	4.90E-15	0.20521	0.66377	landrace/maize	Zm00001d002206
CHG	2	8255727	8255805	5.60E-09	-0.458567	9	4.70E-14	4.90E-15	0.20521	0.66377	landrace/maize	Zm00001d002208
CHG	2	8255727	8255805	5.60E-09	-0.458567	9	4.70E-14	4.90E-15	0.20521	0.66377	landrace/maize	Zm00001d002207
CHG	2	11808982	11809292	1.50E-80	0.40896	41	3.10E-14	1.30E-86	0.44382	0.03486	landrace/maize	Zm00001d002391
CHG	2	34252740	34252975	4.30E-13	-0.411864	9	4.30E-14	3.70E-19	0.49544	0.9073	landrace/maize	Zm00001d003166
CHG	2	110318205	110318487	2.70E-18	0.444451	12	4.40E-14	2.40E-24	0.526	0.081551	landrace/maize	Zm00001d004413
CHG	2	117110301	117110703	8.80E-29	0.482112	24	5.10E-14	7.60E-35	0.76806	0.28595	landrace/maize	Zm00001d004541
CHG	2	144886961	144887586	2.90E-52	0.463366	38	4.20E-14	2.50E-58	0.67936	0.216	landrace/maize	Zm00001d004855
CHG	2	145976144	145976340	1.60E-10	0.420203	10	4.00E-14	1.40E-16	0.61744	0.19724	landrace/maize	Zm00001d004877
CHG	2	166468098	166468196	5.50E-22	0.729092	8	5.00E-14	4.80E-28	0.85794	0.12885	landrace/maize	Zm00001d005269
CHG	2	222144315	222144541	1.70E-11	0.488564	11	4.50E-14	1.50E-17	0.86083	0.37226	landrace/maize	Zm00001d007093
CHG	2	222182173	222182346	3.70E-22	0.568507	10	3.90E-14	3.20E-28	0.714	0.1455	landrace/maize	Zm00001d007095
CHG	2	230466454	230466507	4.90E-12	0.434198	8	4.70E-14	4.20E-18	0.88321	0.44901	landrace/maize	Zm00001d007388
CHG	2	234009886	234010230	1.30E-19	0.493606	15	4.30E-14	1.10E-25	0.82568	0.33208	landrace/maize	Zm00001d007529
CHG	2	237903597	237904133	4.50E-60	0.427331	30	4.30E-14	3.90E-66	0.53941	0.11208	landrace/maize	Zm00001d007709
CHG	3	6185036	6185342	6.60E-08	0.420941	9	4.80E-12	5.70E-14	0.48085	0.059907	landrace/maize	Zm00001d039511
CHG	3	57176792	57177109	4.60E-16	0.500103	10	4.50E-14	4.00E-22	0.64888	0.14878	landrace/maize	Zm00001d040671
CHG	3	57177738	57178098	1.30E-10	0.460761	9	4.80E-14	1.10E-16	0.55577	0.095007	landrace/maize	Zm00001d040671
CHG	3	57177738	57178098	1.30E-10	0.460761	9	4.80E-14	1.10E-16	0.55577	0.095007	landrace/maize	Zm00001d040672
CHG	3	71571294	71571510	2.80E-11	0.546939	7	4.10E-14	2.40E-17	0.60674	0.059804	landrace/maize	Zm00001d040850
CHG	3	81214562	81214822	1.50E-18	0.451535	15	4.20E-14	1.30E-24	0.75885	0.30731	landrace/maize	Zm00001d040939
CHG	3	87052121	87052252	2.80E-11	0.400504	9	4.70E-14	2.50E-17	0.62042	0.21991	landrace/maize	Zm00001d040974
CHG	3	189131048	189131251	3.50E-22	0.472992	13	4.10E-14	3.00E-28	0.62381	0.15082	landrace/maize	Zm00001d043094
CHG	3	197909174	197909825	2.10E-50	0.591137	28	4.60E-14	1.80E-56	0.68979	0.098656	landrace/maize	Zm00001d043370
CHG	3	206990188	206990327	2.10E-12	0.416484	10	4.50E-14	1.90E-18	0.46438	0.047891	landrace/maize	Zm00001d043674
CHG	3	218796866	218797093	2.40E-07	0.428713	11	1.10E-07	2.10E-13	0.45287	0.024156	landrace/maize	Zm00001d044089
CHG	3	232098845	232098903	6.20E-05	0.430447	6	6.00E-11	5.40E-11	0.63621	0.20577	landrace/maize	Zm00001d044573
CHG	4	15081717	15081798	1.40E-12	0.454643	6	4.30E-14	1.20E-18	0.49865	0.044011	landrace/maize	Zm00001d049079
CHG	4	40262727	40263132	5.90E-37	0.528804	21	3.90E-14	5.10E-43	0.5386	0.0097991	landrace/maize	Zm00001d049687
CHG	4	46655647	46655814	2.50E-16	0.540266	9	4.00E-14	2.20E-22	0.68083	0.14056	landrace/maize	Zm00001d049825
CHG	4	148723487	148723675	2.40E-09	0.450557	9	4.20E-14	2.10E-15	0.6916	0.24104	landrace/maize	Zm00001d051211
CHG	4	168774737	168774816	2.70E-12	0.54594	6	4.50E-14	2.30E-18	0.62491	0.078968	landrace/maize	Zm00001d051748
CHG	4	168774737	168774816	2.70E-12	0.54594	6	4.50E-14	2.30E-18	0.62491	0.078968	landrace/maize	Zm00001d051749
CHG	4	193372418	193372677	5.30E-17	0.487013	11	4.40E-14	4.60E-23	0.72491	0.23789	landrace/maize	Zm00001d052570
CHG	4	238221513	238221620	1.00E-08	0.450589	7	4.50E-14	8.70E-15	0.81313	0.36254	landrace/maize	Zm00001d053650
CHG	4	240125776	240125968	2.40E-11	0.541692	7	4.70E-14	2.10E-17	0.6454	0.10371	landrace/maize	Zm00001d053740
CHG	5	22396973	22397391	2.20E-09	0.400943	14	4.80E-14	1.90E-15	0.81383	0.41289	landrace/maize	Zm00001d013845
CHG	5	43358461	43358824	5.20E-19	0.459978	20	4.90E-14	4.60E-25	0.71719	0.25721	landrace/maize	Zm00001d014369
CHG	5	53684612	53684767	0.0085	0.417058	6	5.10E-10	7.40E-09	0.66183	0.24477	landrace/maize	Zm00001d014568
CHG	5	108290376	108291192	6.40E-41	0.425956	40	5.30E-14	5.50E-47	0.67212	0.24616	landrace/maize	Zm00001d015693
CHG	5	166583570	166584688	3.50E-80	0.50975	49	4.00E-14	3.00E-86	0.58812	0.078367	landrace/maize	Zm00001d016532
CHG	5	166583570	166584688	3.50E-80	0.50975	49	4.00E-14	3.00E-86	0.58812	0.078367	landrace/maize	Zm00001d016533
CHG	5	177814441	177814714	1.00E-25	0.420793	17	4.90E-14	9.00E-32	0.59498	0.17419	landrace/maize	Zm00001d016834
CHG	5	177814441	177814714	1.00E-25	0.420793	17	4.90E-14	9.00E-32	0.59498	0.17419	landrace/maize	Zm00001d016835
CHG	5	191540345	191540819	7.30E-44	0.496379	28	5.10E-14	6.30E-50	0.57899	0.082615	landrace/maize	Zm00001d017279
CHG	6	1388846	1389152	3.20E-41	0.461847	22	3.70E-14	2.80E-47	0.56092	0.099074	landrace/maize	Zm00001d034998
CHG	6	1388846	1389152	3.20E-41	0.461847	22	3.70E-14	2.80E-47	0.56092	0.099074	landrace/maize	Zm00001d035000
CHG	6	91833645	91833816	1.10E-13	0.428025	14	4.60E-14	9.20E-20	0.49659	0.068564	landrace/maize	Zm00001d036551
CHG	6	96572052	96572433	1.00E-33	0.503613	19	3.50E-14	9.00E-40	0.64426	0.14065	landrace/maize	Zm00001d036655
CHG	6	96572052	96572433	1.00E-33	0.503613	19	3.50E-14	9.00E-40	0.64426	0.14065	landrace/maize	Zm00001d036656
CHG	6	97049628	97049789	2.30E-11	0.442857	12	3.70E-14	2.00E-17	0.88001	0.43715	landrace/maize	Zm00001d036663
CHG	6	106773475	106773668	3.90E-05	0.414776	8	5.60E-14	3.40E-11	0.66739	0.25261	landrace/maize	Zm00001d036932
CHG	6	123573755	123574996	3.50E-52	0.408095	58	3.50E-14	3.10E-58	0.79755	0.38946	landrace/maize	Zm00001d037377
CHG	6	159486529	159486708	9.30E-17	0.414609	12	4.70E-14	8.00E-23	0.49069	0.076081	landrace/maize	Zm00001d038534
CHG	7	36173041	36173122	7.70E-09	0.422101	6	4.30E-14	6.70E-15	0.4926	0.070497	landrace/maize	Zm00001d019479
CHG	7	113757413	113757613	5.10E-05	0.437176	8	4.40E-14	4.40E-11	0.78753	0.35036	landrace/maize	Zm00001d020431
CHG	7	131541864	131542081	8.00E-15	0.486384	11	3.70E-14	6.90E-21	0.80544	0.31905	landrace/maize	Zm00001d020760
CHG	7	153834249	153834817	3.80E-45	0.43855	25	5.10E-14	3.30E-51	0.55593	0.11738	landrace/maize	Zm00001d021488
CHG	7	175739557	175739658	6.30E-11	0.565052	6	4.20E-14	5.40E-17	0.88615	0.32109	landrace/maize	Zm00001d022340
CHG	7	180071360	180071549	2.70E-14	0.41006	17	4.00E-14	2.30E-20	0.58968	0.17962	landrace/maize	Zm00001d022562
CHG	8	13628872	13629249	3.60E-05	0.4312	9	4.30E-14	3.10E-11	0.77359	0.34239	landrace/maize	Zm00001d008586
CHG	8	25523254	25523420	7.00E-28	0.516386	10	3.60E-14	6.10E-34	0.55192	0.035529	landrace/maize	Zm00001d008925
CHG	8	29783284	29783507	1.80E-21	0.413926	18	4.30E-14	1.60E-27	0.61525	0.20133	landrace/maize	Zm00001d009007
CHG	8	99276371	99276803	7.70E-49	0.524017	24	3.00E-14	6.60E-55	0.7025	0.17848	landrace/maize	Zm00001d010106
CHG	8	99681268	99681568	2.10E-29	0.44382	13	4.70E-14	1.90E-35	0.44779	0.0039726	landrace/maize	Zm00001d010112
CHG	8	105194407	105194475	0.002	-0.419612	6	4.20E-12	1.70E-09	0.19952	0.61914	landrace/maize	Zm00001d010232
CHG	8	107108757	107108934	1.80E-28	0.506666	18	3.70E-14	1.50E-34	0.8555	0.34883	landrace/maize	Zm00001d010278
CHG	8	155470767	155470826	5.10E-05	0.427549	7	4.50E-14	4.40E-11	0.74057	0.31302	landrace/maize	Zm00001d011598
CHG	8	180164850	180165264	1.00E-31	0.480521	18	4.80E-14	9.00E-38	0.75139	0.27087	landrace/maize	Zm00001d012761
CHG	8	180165529	180166132	1.70E-69	0.494661	34	6.30E-14	1.50E-75	0.74684	0.25218	landrace/maize	Zm00001d012761
CHG	8	180166345	180166907	6.90E-75	0.496077	38	3.70E-14	6.00E-81	0.7312	0.23512	landrace/maize	Zm00001d012761
CHG	8	180167240	180168543	5.00E-118	0.436943	78	3.10E-14	4.40E-124	0.74115	0.3042	landrace/maize	Zm00001d012761
CHG	8	180168605	180168653	3.20E-09	0.423514	6	4.10E-14	2.80E-15	0.76947	0.34595	landrace/maize	Zm00001d012761
CHG	9	1462135	1462509	3.00E-12	0.407221	11	1.00E-09	2.60E-18	0.43048	0.023263	landrace/maize	Zm00001d044757
CHG	9	89465959	89466153	7.30E-15	0.522883	7	4.30E-14	6.30E-21	0.53326	0.010377	landrace/maize	Zm00001d046429
CHG	9	108779957	108780040	8.90E-10	0.506208	7	1.30E-13	7.80E-16	0.51319	0.0069782	landrace/maize	Zm00001d046881
CHG	9	108779957	108780040	8.90E-10	0.506208	7	1.30E-13	7.80E-16	0.51319	0.0069782	landrace/maize	Zm00001d046882
CHG	9	111695076	111695455	2.10E-36	0.408847	24	3.70E-14	1.80E-42	0.41667	0.0078256	landrace/maize	Zm00001d046933
CHG	9	120515205	120515328	2.40E-10	-0.432459	9	4.60E-14	2.00E-16	0.039657	0.47212	landrace/maize	Zm00001d047165
CHG	9	121216804	121216982	5.20E-20	-0.634025	10	3.90E-14	4.50E-26	0.089755	0.72378	landrace/maize	Zm00001d047183
CHG	9	138356341	138356617	7.30E-19	0.52681	14	4.10E-14	6.40E-25	0.86365	0.33684	landrace/maize	Zm00001d047659
