Context	Comparsion	Chr_D	Start_D	end_D	meth(PopA-PopB)	Chr_F	Start_F	end_F	Feature	Overlap(bp)
CG	Landrace/Maize	2	78883966	78884090	0.523749	2	78879542	78899898	TE	124
CG	Landrace/Maize	2	94636415	94636925	0.549264	2	94629839	94656462	TE	510
CG	Landrace/Maize	2	103115707	103115962	0.474539	2	103114440	103139679	Intergenic	255
CG	Landrace/Maize	2	104049459	104049946	0.559404	2	104047384	104052599	TE	487
CG	Landrace/Maize	2	107986004	107986169	0.539897	2	107983332	107988331	Gene_up_5k	165
CG	Landrace/Maize	2	117110283	117110646	0.573628	2	117107005	117112004	Gene_down_5k	363
CG	Landrace/Maize	2	126589409	126589716	-0.413744	2	126588204	126594696	Intergenic	307
CG	Landrace/Maize	2	135104845	135105241	0.500013	2	135102481	135107480	Gene_up_5k	396
CG	Landrace/Maize	2	139515378	139515699	0.751026	2	139514011	139522603	TE	321
CG	Landrace/Maize	2	143410010	143410150	0.594154	2	143409300	143413178	Intergenic	140
CG	Landrace/Maize	2	144887054	144887587	0.526788	2	144882980	144890090	Exon	533
CG	Landrace/Maize	2	166116092	166116400	-0.419294	2	166105667	166117507	TE	308
CG	Landrace/Maize	2	203859434	203860003	0.578511	2	203855906	203874141	TE	569
CG	Landrace/Maize	2	225335696	225336188	0.570378	2	225331968	225336967	Gene_down_5k	492
CG	Landrace/Maize	2	226994443	226994848	0.48718	2	226991261	226996260	Gene_down_5k	405
CG	Landrace/Maize	2	229625794	229626238	0.515775	2	229625686	229626731	Exon	444
CG	Landrace/Maize	2	236910736	236911201	0.504599	2	236907865	236913459	Intergenic	465
CG	Landrace/Maize	3	12025873	12026277	0.473764	3	12000018	12032523	TE	404
CG	Landrace/Maize	3	15662380	15662486	0.482645	3	15659397	15664024	Intergenic	106
CG	Landrace/Maize	3	50814266	50815179	0.482624	3	50812940	50864095	TE	913
CG	Landrace/Maize	3	57177790	57178046	0.548829	3	57174173	57179172	Gene_down_5k	256
CG	Landrace/Maize	3	71475141	71475871	0.409622	3	71472235	71482176	Intergenic	730
CG	Landrace/Maize	3	74796329	74796529	0.466661	3	74788540	74819381	TE	200
CG	Landrace/Maize	3	76711008	76711396	-0.509328	3	76701660	76746824	TE	388
CG	Landrace/Maize	3	103150046	103150216	0.53781	3	103138224	103151400	Intergenic	170
CG	Landrace/Maize	3	107079679	107079803	0.420221	3	107042453	107086663	TE	124
CG	Landrace/Maize	3	111640861	111641107	0.637196	3	111637583	111718526	Intergenic	246
CG	Landrace/Maize	3	117396313	117396455	0.536679	3	117395213	117400212	Gene_down_5k	142
CG	Landrace/Maize	3	125451436	125452111	0.432914	3	125449486	125453018	Intergenic	675
CG	Landrace/Maize	3	134973980	134974189	0.428741	3	134972372	134993328	Intergenic	209
CG	Landrace/Maize	3	189131053	189131342	0.53867	3	189130901	189131184	Exon	131
CG	Landrace/Maize	3	206423282	206423446	0.411459	3	206421900	206424513	Intergenic	164
CG	Landrace/Maize	3	218374580	218374757	0.815373	3	218365066	218381174	TE	177
CG	Landrace/Maize	4	1397617	1397764	0.491934	4	1395347	1400346	Gene_down_5k	147
CG	Landrace/Maize	4	7612383	7612508	0.439298	4	7609440	7617036	Intergenic	125
CG	Landrace/Maize	4	8382098	8382816	0.501807	4	8382417	8387416	Gene_up_5k	399
CG	Landrace/Maize	4	40262759	40263137	0.650841	4	40262262	40263165	Exon	378
CG	Landrace/Maize	4	83968250	83968518	0.413088	4	83966401	83979226	Intergenic	268
CG	Landrace/Maize	4	111365490	111365848	0.578538	4	111292931	111366978	TE	358
CG	Landrace/Maize	4	112110033	112110341	-0.402905	4	112090115	112134823	Intergenic	308
CG	Landrace/Maize	4	114444230	114444484	0.489684	4	114443191	114447814	Intergenic	254
CG	Landrace/Maize	4	115253196	115253679	-0.549161	4	115247754	115254035	Intergenic	483
CG	Landrace/Maize	4	118888895	118889046	0.483859	4	118844638	118901151	TE	151
CG	Landrace/Maize	4	118997629	118997757	0.755755	4	118995102	118999277	Intergenic	128
CG	Landrace/Maize	4	119744221	119744760	0.530645	4	119720225	119752631	TE	539
CG	Landrace/Maize	4	149924500	149924718	0.47239	4	149923665	149924932	Intergenic	218
CG	Landrace/Maize	4	156140908	156141364	0.565893	4	156139338	156159432	Intergenic	456
CG	Landrace/Maize	4	156989589	156989716	-0.623839	4	156986112	156991111	Gene_up_5k	127
CG	Landrace/Maize	4	177772705	177773125	0.560057	4	177767357	177782097	Intergenic	420
CG	Landrace/Maize	4	203233378	203233490	0.472487	4	203231781	203236780	Gene_down_5k	112
CG	Landrace/Maize	4	203238340	203238507	0.519751	4	203238038	203243037	Gene_up_5k	167
CG	Landrace/Maize	4	208133600	208133717	0.450472	4	208124539	208135016	Intergenic	117
CG	Landrace/Maize	4	209506998	209507207	0.56432	4	209506967	209510032	Intergenic	209
CG	Landrace/Maize	4	217656687	217656889	0.539019	4	217649671	217690257	TE	202
CG	Landrace/Maize	4	226181660	226181959	0.616718	4	226168538	226181935	Intergenic	275
CG	Landrace/Maize	4	229255283	229255509	0.692193	4	229248870	229260909	TE	226
CG	Landrace/Maize	4	238687014	238687122	0.442678	4	238684218	238689219	Intergenic	108
CG	Landrace/Maize	5	12226	12799	0.466556	5	11228	27367	Intergenic	573
CG	Landrace/Maize	5	1653071	1653502	0.479495	5	1642983	1653530	Exon	431
CG	Landrace/Maize	5	7727914	7728066	0.451755	5	7723265	7728264	Gene_down_5k	152
CG	Landrace/Maize	5	23917046	23917205	0.428698	5	23916789	23921592	TE	159
CG	Landrace/Maize	5	45878985	45879426	0.414739	5	45878399	45885597	Intergenic	441
CG	Landrace/Maize	5	54241897	54242004	0.42004	5	54240714	54260798	TE	107
CG	Landrace/Maize	5	79872008	79872358	0.408476	5	79872097	79872230	Intron	133
CG	Landrace/Maize	5	85650289	85650836	0.462845	5	85614330	85660980	TE	547
CG	Landrace/Maize	5	86309728	86309958	0.437779	5	86307926	86312925	Gene_down_5k	230
CG	Landrace/Maize	5	128733898	128734031	-0.582314	5	128733433	128735702	Exon	133
CG	Landrace/Maize	5	166583626	166584294	0.610665	5	166579680	166584679	Gene_down_5k	668
CG	Landrace/Maize	5	191540990	191541114	0.533869	5	191539072	191541219	Exon	124
CG	Landrace/Maize	5	204706316	204706557	0.557723	5	204702471	204707470	Gene_up_5k	241
CG	Landrace/Maize	6	3930746	3930953	0.564043	6	3930591	3931089	Exon	207
CG	Landrace/Maize	6	4432184	4432349	-0.433443	6	4425802	4443225	Intergenic	165
CG	Landrace/Maize	6	6265712	6265936	0.432475	6	6262418	6267417	Gene_down_5k	224
CG	Landrace/Maize	6	7485399	7485722	0.504457	6	7481918	7486917	Gene_down_5k	323
CG	Landrace/Maize	6	15660315	15660462	0.404901	6	15654417	15662029	TE	147
CG	Landrace/Maize	6	45864756	45864869	-0.483447	6	45803080	45886734	TE	113
CG	Landrace/Maize	6	46328731	46329174	-0.404979	6	46328520	46329849	Intergenic	443
CG	Landrace/Maize	6	50123068	50123257	0.546411	6	50121440	50126439	Gene_down_5k	189
CG	Landrace/Maize	6	50973995	50974488	0.40009	6	50965718	50983108	Intergenic	493
CG	Landrace/Maize	6	55607323	55607466	0.531769	6	55605168	55607529	Intergenic	143
CG	Landrace/Maize	6	61207955	61208769	0.456846	6	61207698	61208621	Intron	666
CG	Landrace/Maize	6	85045330	85045550	0.492269	6	85026244	85046100	TE	220
CG	Landrace/Maize	6	92255925	92256105	0.829172	6	92236774	92271120	TE	180
CG	Landrace/Maize	6	96572032	96572368	0.657293	6	96568395	96573394	Gene_up_5k	336
CG	Landrace/Maize	6	117005507	117005771	0.484868	6	116997398	117008692	TE	264
CG	Landrace/Maize	6	123788650	123788909	0.635381	6	123786605	123791604	Gene_down_5k	259
CG	Landrace/Maize	6	128376545	128376659	0.438729	6	128374622	128388950	TE	114
CG	Landrace/Maize	6	143128718	143128822	0.628638	6	143128611	143128998	Exon	104
CG	Landrace/Maize	6	146683473	146683685	0.488673	6	146678916	146683915	Gene_down_5k	212
CG	Landrace/Maize	6	156815481	156815694	0.407882	6	156810689	156833005	TE	213
CG	Landrace/Maize	6	173885355	173885540	0.429271	6	173882010	173887009	Gene_up_5k	185
CG	Landrace/Maize	7	18719965	18720209	0.476292	7	18719728	18721273	Exon	244
CG	Landrace/Maize	7	64772248	64772715	-0.461633	7	64762111	64778680	TE	467
CG	Landrace/Maize	7	113839160	113839393	0.570182	7	113837948	113842045	Intergenic	233
CG	Landrace/Maize	7	123555825	123556245	0.406745	7	123555305	123561416	TE	420
CG	Landrace/Maize	7	126962297	126962658	0.407203	7	126957363	126964032	Intergenic	361
CG	Landrace/Maize	7	131541874	131542046	0.425671	7	131541445	131546872	TE	172
CG	Landrace/Maize	7	155447763	155447948	-0.519501	7	155444467	155456360	TE	185
CG	Landrace/Maize	8	25523290	25523408	0.78761	8	25510582	25523421	TE	118
CG	Landrace/Maize	8	29783322	29783509	0.613735	8	29779004	29784003	Gene_up_5k	187
CG	Landrace/Maize	8	30510992	30511062	0.642191	8	30466861	30523173	TE	70
CG	Landrace/Maize	8	32564411	32564636	0.467987	8	32563913	32568912	Gene_up_5k	225
CG	Landrace/Maize	8	47410986	47411908	-0.457549	8	47388186	47462411	TE	922
CG	Landrace/Maize	8	63034379	63034484	0.420423	8	63032423	63042862	TE	105
CG	Landrace/Maize	8	73468304	73468796	-0.457096	8	73467308	73468804	Exon	492
CG	Landrace/Maize	8	74549617	74549975	0.5024	8	74536047	74551949	TE	358
CG	Landrace/Maize	8	75153429	75153558	0.563232	8	75152433	75157432	Gene_up_5k	129
CG	Landrace/Maize	8	99276375	99276833	0.601273	8	99273127	99278126	Gene_up_5k	458
CG	Landrace/Maize	8	99808092	99808270	0.511854	8	99796855	99816006	TE	178
CG	Landrace/Maize	8	101994945	101995104	0.614926	8	101994431	102031493	TE	159
CG	Landrace/Maize	8	102029329	102029386	0.443395	8	101994431	102031493	TE	57
CG	Landrace/Maize	8	108068361	108068762	0.450087	8	108039766	108072071	TE	401
CG	Landrace/Maize	8	147353671	147353882	0.489827	8	147353740	147354088	Exon	142
CG	Landrace/Maize	8	163757374	163757503	0.478708	8	163752649	163757648	Gene_up_5k	129
CG	Landrace/Maize	9	1462127	1462510	0.452835	9	1460494	1466542	TE	383
CG	Landrace/Maize	9	17847851	17848348	0.400833	9	17847114	17850277	Intergenic	497
CG	Landrace/Maize	9	68066671	68067048	-0.430797	9	68065192	68076524	Intergenic	377
CG	Landrace/Maize	9	88223803	88223929	0.579262	9	88223499	88223951	Exon	126
CG	Landrace/Maize	9	89465935	89466145	0.788985	9	89461684	89466683	Gene_down_5k	210
CG	Landrace/Maize	9	109521370	109521629	-0.402307	9	109514818	109523776	Intergenic	259
CG	Landrace/Maize	9	119248445	119248684	0.431437	9	119244298	119249297	Gene_up_5k	239
CG	Landrace/Maize	9	119362530	119363067	-0.603409	9	119353482	119366870	TE	537
CG	Landrace/Maize	9	120589400	120589587	-0.439431	9	120587539	120590600	Intergenic	187
CG	Landrace/Maize	9	122465197	122465415	0.486863	9	122464848	122465463	Intron	218
CG	Landrace/Maize	9	136877090	136877656	0.423528	9	136858672	136901972	TE	566
CG	Landrace/Maize	9	137824632	137825106	0.44826	9	137824215	137831507	Intron	474
CG	Landrace/Maize	9	154449582	154450053	0.408866	9	154445335	154450334	Gene_down_5k	471
CG	Landrace/Maize	10	16870276	16870502	0.499152	10	16869365	16874364	Gene_up_5k	226
CG	Landrace/Maize	10	16935368	16935486	0.407273	10	16913684	16941275	TE	118
CG	Landrace/Maize	10	32816274	32816637	-0.632379	10	32816263	32817141	Exon	363
CG	Landrace/Maize	10	34972058	34972453	0.488057	10	34954380	34972892	TE	395
CG	Landrace/Maize	10	44089447	44090131	0.54841	10	44089663	44093888	Intergenic	468
CG	Landrace/Maize	10	51537538	51538197	-0.483856	10	51535994	51539985	TE	659
CG	Landrace/Maize	10	54996666	54997026	0.456366	10	54993993	54998992	Gene_up_5k	360
CG	Landrace/Maize	10	56649945	56650120	0.42055	10	56648331	56661725	Intergenic	175
CG	Landrace/Maize	10	67238772	67238976	0.735442	10	67232767	67251049	TE	204
CG	Landrace/Maize	10	67245365	67245581	0.751988	10	67245145	67250144	Gene_up_5k	216
CG	Landrace/Maize	10	84502507	84503113	0.769637	10	84494424	84506842	TE	606
CG	Landrace/Maize	10	91847259	91847470	-0.455713	10	91834642	91848896	Intergenic	211
CG	Landrace/Maize	10	105636445	105637028	0.55995	10	105632948	105637947	Gene_up_5k	583
CG	Landrace/Maize	10	117663308	117663485	0.516206	10	117662342	117667967	Intergenic	177
CG	Landrace/Maize	10	123091241	123091592	0.518873	10	123071543	123093174	Intergenic	351
CG	Landrace/Maize	10	149487724	149488790	0.794623	10	149486791	149491790	Gene_down_5k	1066
CG	Landrace/Maize	10	150490223	150490509	0.437014	10	150488718	150493717	Gene_down_5k	286
CG	Landrace/Maize	10	150750052	150750133	0.473403	10	150747981	150752980	Gene_down_5k	81
CG	Teosinte/Landrace	1	172315	172432	0.403333	1	172036	177929	TE	117
CG	Teosinte/Landrace	1	210239	210456	0.641564	1	205716	210715	Gene_up_5k	217
CG	Teosinte/Landrace	1	262694	263201	0.808495	1	262225	282121	Intergenic	507
CG	Teosinte/Landrace	1	279903	280004	0.463701	1	262225	282121	Intergenic	101
CG	Teosinte/Landrace	1	379034	379327	-0.404194	1	378600	382720	TE	293
CG	Teosinte/Landrace	1	5703072	5703214	-0.482198	1	5703061	5703231	Exon	142
CG	Teosinte/Landrace	1	32366480	32366777	-0.597792	1	32366180	32367026	Exon	297
CG	Teosinte/Landrace	1	32617175	32617332	0.409084	1	32614504	32620636	Intergenic	157
CG	Teosinte/Landrace	1	46643487	46644117	0.830002	1	46640495	46648849	TE	630
CG	Teosinte/Landrace	1	50011319	50011464	-0.461886	1	50007218	50011935	Intergenic	145
CG	Teosinte/Landrace	1	50506066	50506262	-0.437272	1	50502379	50519091	TE	196
CG	Teosinte/Landrace	1	60602543	60602648	0.509373	1	60602103	60614573	TE	105
CG	Teosinte/Landrace	1	62874439	62874671	0.441006	1	62871704	62874684	Intergenic	232
CG	Teosinte/Landrace	1	62881041	62881633	0.530565	1	62874685	62882695	TE	592
CG	Teosinte/Landrace	1	65446659	65446852	0.72998	1	65443563	65448562	Gene_down_5k	193
CG	Teosinte/Landrace	1	70217454	70217804	-0.607275	1	70213082	70218081	Gene_down_5k	350
CG	Teosinte/Landrace	1	80851514	80851834	0.871669	1	80851540	80851874	Exon	294
CG	Teosinte/Landrace	1	81803786	81803871	-0.467369	1	81803772	81803874	Exon	85
CG	Teosinte/Landrace	1	87469380	87469601	0.627516	1	87464723	87469722	Gene_down_5k	221
CG	Teosinte/Landrace	1	98784222	98784511	-0.514357	1	98734456	98785826	TE	289
CG	Teosinte/Landrace	1	115413043	115413317	0.469822	1	115411383	115420613	Intergenic	274
CG	Teosinte/Landrace	1	119935900	119936657	0.79586	1	119923886	119940003	TE	757
CG	Teosinte/Landrace	1	119937049	119937391	0.831432	1	119923886	119940003	TE	342
CG	Teosinte/Landrace	1	120206066	120206225	0.407384	1	120204474	120206829	Intergenic	159
CG	Teosinte/Landrace	1	126728282	126728441	0.533066	1	126726692	126728654	Intergenic	159
CG	Teosinte/Landrace	1	127254663	127254800	-0.514373	1	127251444	127260760	TE	137
CG	Teosinte/Landrace	1	128775359	128775637	0.681678	1	128768403	128787994	Intergenic	278
CG	Teosinte/Landrace	1	129828546	129829765	0.627665	1	129825945	129829258	Intergenic	712
CG	Teosinte/Landrace	1	130473811	130474317	-0.602558	1	130470449	130476558	TE	506
CG	Teosinte/Landrace	1	130926476	130926616	0.691102	1	130905155	130927880	Intergenic	140
CG	Teosinte/Landrace	1	140038632	140039059	0.7863	1	140025997	140040331	Intergenic	427
CG	Teosinte/Landrace	1	145680107	145680466	0.776665	1	145680160	145680374	Exon	214
CG	Teosinte/Landrace	1	146473238	146473563	0.486738	1	146469164	146475833	TE	325
CG	Teosinte/Landrace	1	159291821	159292000	0.546373	1	159291664	159292777	Exon	179
CG	Teosinte/Landrace	1	166625171	166625937	-0.513119	1	166623878	166628877	Gene_down_5k	766
CG	Teosinte/Landrace	1	167546682	167546953	0.470297	1	167523043	167581527	TE	271
CG	Teosinte/Landrace	1	170397869	170398457	0.413187	1	170393606	170399140	Intergenic	588
CG	Teosinte/Landrace	1	187734838	187735021	0.660588	1	187732036	187745253	TE	183
CG	Teosinte/Landrace	1	190266974	190267338	-0.482503	1	190262098	190273742	TE	364
CG	Teosinte/Landrace	1	193699651	193699777	-0.640258	1	193697233	193702232	Gene_down_5k	126
CG	Teosinte/Landrace	1	203705970	203706319	0.467736	1	203705402	203722860	TE	349
CG	Teosinte/Landrace	1	206171554	206171778	0.766243	1	206163591	206172785	TE	224
CG	Teosinte/Landrace	1	210710860	210711227	0.688504	1	210710799	210711377	Exon	367
CG	Teosinte/Landrace	1	215322526	215322824	-0.424057	1	215319945	215324125	TE	298
CG	Teosinte/Landrace	1	223058854	223059423	-0.519881	1	223053191	223061278	Intergenic	569
CG	Teosinte/Landrace	1	223973456	223973597	0.585073	1	223972707	223975759	Intron	141
CG	Teosinte/Landrace	1	233408436	233408570	0.794832	1	233406588	233411587	Gene_up_5k	134
CG	Teosinte/Landrace	1	235508982	235509197	0.632681	1	235507600	235509464	Intergenic	215
CG	Teosinte/Landrace	1	238131262	238131571	0.606696	1	238126763	238131762	Gene_down_5k	309
CG	Teosinte/Landrace	1	240613201	240613434	0.43746	1	240612817	240618851	Intergenic	233
CG	Teosinte/Landrace	1	246988631	246989004	-0.40693	1	246988429	246989769	Exon	373
CG	Teosinte/Landrace	1	247461344	247462021	0.534776	1	247452103	247463608	Intergenic	677
CG	Teosinte/Landrace	1	255171226	255171404	-0.457253	1	255170439	255171717	Exon	178
CG	Teosinte/Landrace	1	259922437	259922828	-0.510768	1	259922088	259923164	Exon	391
CG	Teosinte/Landrace	1	262821951	262822312	-0.478068	1	262817205	262823006	TE	361
CG	Teosinte/Landrace	1	269309417	269309789	-0.537143	1	269308777	269310072	Exon	372
CG	Teosinte/Landrace	1	299653740	299653996	0.731376	1	299652965	299657964	Gene_up_5k	256
CG	Teosinte/Landrace	1	300736935	300737138	-0.532729	1	300736005	300741004	Gene_up_5k	203
CG	Teosinte/Landrace	1	302627520	302627893	0.706906	1	302626213	302632587	Intergenic	373
CG	Teosinte/Landrace	1	302931790	302932085	0.464727	1	302931116	302936115	Gene_down_5k	295
CG	Teosinte/Landrace	2	936498	936873	-0.452109	2	935978	937526	Exon	375
CG	Teosinte/Landrace	2	1249783	1250371	0.438037	2	1246628	1251627	Gene_down_5k	588
CG	Teosinte/Landrace	2	8230364	8230475	0.463346	2	8227966	8232965	Gene_up_5k	111
CG	Teosinte/Landrace	2	8233416	8233932	-0.40654	2	8228764	8236496	TE	516
CG	Teosinte/Landrace	2	12563772	12563997	-0.525515	2	12559577	12564576	Gene_up_5k	225
CG	Teosinte/Landrace	2	19423440	19423631	-0.441496	2	19420376	19425375	Gene_up_5k	191
CG	Teosinte/Landrace	2	24290771	24290862	-0.408983	2	24288846	24293845	Gene_down_5k	91
CG	Teosinte/Landrace	2	25651012	25651390	0.467013	2	25649833	25652829	Intergenic	378
CG	Teosinte/Landrace	2	25731208	25731424	0.489939	2	25704967	25737098	TE	216
CG	Teosinte/Landrace	2	26844497	26844865	0.530806	2	26842631	26850780	TE	368
CG	Teosinte/Landrace	2	34775670	34775879	-0.484388	2	34769105	34777634	Intergenic	209
CG	Teosinte/Landrace	2	36860029	36860110	-0.495223	2	36858780	36863779	Gene_up_5k	81
CG	Teosinte/Landrace	2	37117817	37118140	0.594092	2	37112592	37122754	Intergenic	323
CG	Teosinte/Landrace	2	37352651	37352951	0.696639	2	37320255	37360695	TE	300
CG	Teosinte/Landrace	2	76079279	76079464	-0.536984	2	76076377	76081376	Gene_down_5k	185
CG	Teosinte/Landrace	2	92181200	92181343	0.536597	2	92176649	92181648	Gene_up_5k	143
CG	Teosinte/Landrace	2	93283677	93283821	0.70772	2	93274531	93287039	TE	144
CG	Teosinte/Landrace	2	95496369	95496801	-0.425191	2	95496639	95497031	Exon	162
CG	Teosinte/Landrace	2	99680391	99680525	0.41538	2	99675842	99681353	Intergenic	134
CG	Teosinte/Landrace	2	105162195	105162530	0.566825	2	105149143	105164166	TE	335
CG	Teosinte/Landrace	2	105800260	105800679	-0.626512	2	105797404	105806216	TE	419
CG	Teosinte/Landrace	2	106082203	106082337	-0.464949	2	106049686	106097882	TE	134
CG	Teosinte/Landrace	2	114899891	114900338	-0.515135	2	114897991	114903821	Intergenic	447
CG	Teosinte/Landrace	2	118781124	118781762	0.752832	2	118764577	118782671	TE	638
CG	Teosinte/Landrace	2	121939051	121939552	0.769372	2	121929306	121942764	Intergenic	501
CG	Teosinte/Landrace	2	127607560	127607738	0.449894	2	127607070	127609629	TE	178
CG	Teosinte/Landrace	2	129009041	129009340	-0.493947	2	128972858	129010718	TE	299
CG	Teosinte/Landrace	2	140990134	140990225	-0.696763	2	140986394	140991500	TE	91
CG	Teosinte/Landrace	2	158879903	158880112	0.840814	2	158867872	158883626	Intergenic	209
CG	Teosinte/Landrace	2	166115507	166116420	0.735338	2	166105667	166117507	TE	913
CG	Teosinte/Landrace	2	166267701	166267877	0.505871	2	166223475	166269157	TE	176
CG	Teosinte/Landrace	2	177712823	177713376	0.416357	2	177712767	177723430	TE	553
CG	Teosinte/Landrace	2	182856657	182856801	0.513508	2	182856428	182856913	Exon	144
CG	Teosinte/Landrace	2	195287940	195288130	0.538012	2	195283805	195295664	TE	190
CG	Teosinte/Landrace	2	198336838	198337025	0.73317	2	198330961	198343251	TE	187
CG	Teosinte/Landrace	2	201333769	201334160	0.880798	2	201329839	201334835	Exon	391
CG	Teosinte/Landrace	2	202379633	202379730	0.438078	2	202377678	202388253	TE	97
CG	Teosinte/Landrace	2	205078327	205078777	0.684524	2	205077079	205082078	Gene_down_5k	450
CG	Teosinte/Landrace	2	214268371	214268567	0.465611	2	214268425	214268741	Exon	142
CG	Teosinte/Landrace	2	216044947	216045185	-0.515855	2	216042721	216045122	Intergenic	175
CG	Teosinte/Landrace	2	218944039	218944152	-0.408774	2	218943983	218948982	Gene_up_5k	113
CG	Teosinte/Landrace	2	220376303	220376576	0.748297	2	220366657	220378549	TE	273
CG	Teosinte/Landrace	2	229393724	229393988	0.701986	2	229385527	229394120	Intergenic	264
CG	Teosinte/Landrace	2	237360669	237360768	-0.405705	2	237358251	237363250	Gene_down_5k	99
CG	Teosinte/Landrace	2	242914915	242915242	-0.57525	2	242913273	242918272	Gene_down_5k	327
CG	Teosinte/Landrace	3	35779034	35779250	0.585851	3	35771771	35781162	TE	216
CG	Teosinte/Landrace	3	59471721	59471834	0.409694	3	59469382	59474381	Gene_down_5k	113
CG	Teosinte/Landrace	3	68843639	68843782	0.453529	3	68843583	68848582	Gene_up_5k	143
CG	Teosinte/Landrace	3	69442703	69442877	0.540787	3	69441055	69443446	Exon	174
CG	Teosinte/Landrace	3	73681253	73681399	0.400731	3	73681016	73681759	Intergenic	146
CG	Teosinte/Landrace	3	74617510	74617649	0.533308	3	74611131	74620145	Intergenic	139
CG	Teosinte/Landrace	3	74796329	74796529	-0.444765	3	74788540	74819381	TE	200
CG	Teosinte/Landrace	3	75328518	75328898	-0.453539	3	75319663	75335655	TE	380
CG	Teosinte/Landrace	3	75632355	75632552	-0.512094	3	75631315	75634162	Intergenic	197
CG	Teosinte/Landrace	3	75669065	75669470	0.506445	3	75668497	75674859	TE	405
CG	Teosinte/Landrace	3	76734774	76734941	-0.559239	3	76732331	76741927	TE	167
CG	Teosinte/Landrace	3	78211132	78212066	0.637426	3	78187526	78214078	TE	934
CG	Teosinte/Landrace	3	78898364	78898798	0.84481	3	78898543	78903542	Gene_down_5k	255
CG	Teosinte/Landrace	3	79160686	79160915	0.603091	3	79152777	79165268	Intergenic	229
CG	Teosinte/Landrace	3	80033465	80033661	0.816809	3	80022505	80036459	TE	196
CG	Teosinte/Landrace	3	81622804	81623255	0.538718	3	81622969	81627968	Gene_up_5k	286
CG	Teosinte/Landrace	3	82044812	82045387	0.440975	3	82044791	82052929	Intergenic	575
CG	Teosinte/Landrace	3	83499044	83499186	-0.49308	3	83498516	83503515	Gene_up_5k	142
CG	Teosinte/Landrace	3	83930640	83930898	0.402012	3	83903298	83932037	TE	258
CG	Teosinte/Landrace	3	85284653	85285617	0.624018	3	85284567	85287410	Intergenic	964
CG	Teosinte/Landrace	3	87055312	87055882	0.559171	3	87052487	87057486	Gene_up_5k	570
CG	Teosinte/Landrace	3	91860639	91860783	0.424832	3	91856400	91860738	Intergenic	99
CG	Teosinte/Landrace	3	92478280	92478715	0.572035	3	92478450	92478644	Exon	194
CG	Teosinte/Landrace	3	92490741	92491097	-0.488022	3	92482640	92528154	TE	356
CG	Teosinte/Landrace	3	92536355	92536690	0.52941	3	92531839	92585165	TE	335
CG	Teosinte/Landrace	3	95275272	95275552	0.414354	3	95275101	95275626	Exon	280
CG	Teosinte/Landrace	3	97219268	97219506	0.490491	3	97154627	97247774	TE	238
CG	Teosinte/Landrace	3	106796626	106797292	0.902561	3	106792305	106805225	Intergenic	666
