Marker	Chr	Genetic	v2	v4
IDP1633	1	363.7	291,788,370	297307592
IDP1634	3	98.3	40,934,439	40545312
IDP1636	1	317.2	269,969,954	274726929
IDP1637	9	2.1	1,747,208	1458718
IDP1638	5	25.1	3,725,919	3819244
IDP1640	9	101.2	131,912,679	134367456
IDP1643	7	90.6	35,079,923	36379275
IDP1648	5	129.8	169,229,964	173181375
IDP165	10	39.1	8,605,541	8543168
IDP1653	9	101.2	132,007,478	134441745
IDP1654	6	27.2	92,973,009	95622396
IDP1655	5	145.5	181,889,219	186478282
IDP1657	2	163.7	202,196,007	208770113
IDP1658	5	9.8	37,052	49405
IDP1660	5	96.7	39,800,525	41032989
IDP1664	6	15.9	14,499,924	24321976
IDP1667	4	122.4	157,555,081	161035132
IDP1671	4	143.9	173,932,240	176971124
IDP1672	5	105	56,363,045	58164997
IDP1673	7	211.3	169,405,516	174974971
IDP1674	2	187	215,400,918	222246039
IDP1675	1	158.4	149,553,111	151471616
IDP1679	2	149.3	190,158,014	195893160
IDP1681	9	73.2	27,224,393	27334909
IDP1684	4	118.6	155,380,989	158957625
IDP1689	3	169.8	188,663,539	191573856
IDP1691	9	104.3	134,286,389	136739519
IDP1692	7	42.6	4,864,669	5200043
IDP1696	3	116.9	145,736,812	146854933
IDP1697	10	30.2	6,066,362	5744097
IDP1699	6	64.6	120,878,064	124872351
IDP1701	6	14.9	14,929,916	24754144
IDP1702	2	16.1	3,673,373	3664695
IDP1703	1	183.7	183,798,429	185868093
IDP1704	7	129.4	141,906,837	146834783
IDP171	2	233.4	232,523,572	239426643
IDP174	1	258.2	228,008,182	231632231
IDP176	2	191.9	216,602,587	223374366
IDP179	8	88.5	100,957,496	102988442
IDP180	1	89.5	35,770,058	35935313
IDP182	1	132.9	61,696,924	62493112
IDP183	2	129	99,381,949	102236005
IDP185	6	14.9	14,361,104	24211599
IDP190	1	267.7	235,487,579	238936360
IDP1943	4	118.6	155,382,000	158958636
IDP1944	2	240.7	233,743,054	241884502
IDP1946	6	23.6	58,445,580	61207182
IDP195	1	337.3	281,951,884	287064967
IDP1951	1	183	183,801,597	185871261
IDP1953	1	141.7	73,187,646	74595257
IDP1954	2	63.2	15,994,044	16416167
IDP1956	5	25.1	3,814,638	3928146
IDP1958	8	3.3	1,451,947	1589111
IDP1959	6	72.2	127,774,616	131765295
IDP1966	6	33.4	98,313,651	101179101
IDP1968	2	99.4	27,866,801	29274901
IDP1969	9	35.1	11,234,873	10625794
IDP197	1	131.2	60,677,549	61471412
IDP1971	2	52.6	12,920,779	13210132
IDP1972	1	215.2	199,487,137	201949098
IDP1974	3	121.8	158,226,570	159782313
IDP1976	9	61.9	20,745,242	20531182
IDP1978	10	83.7	134,828,878	136071894
IDP1980	4	156.8	179,799,504	182750000
IDP1981	7	166.8	160,288,015	165772332
IDP1982	1	258.6	228,569,186	232182500
IDP1985	3	106.5	137,882,077	138572744
IDP1986	1	148	83,432,188	85099597
IDP1987	8	11.8	3,802,184	3994798
IDP1988	6	16.9	21,851,193	20153341
IDP1989	4	118.6	155,381,126	158957762
IDP1990	10	77.7	127,571,627	128606724
IDP1992	10	39.5	7,865,292	7802732
IDP1993	6	13.7	13,188,255	22986920
IDP200	2	116.5	49,925,875	51955093
IDP2005	7	8.1	1,441,634	1545136
IDP2006	10	30.2	6,066,362	5744097
IDP201	10	68.8	115,610,074	116641298
IDP204	2	178.3	211,210,681	218018493
IDP206	6	13.7	13,006,914	22634796
IDP207	5	115.5	138,156,711	141517486
IDP209	1	55	15,786,441	16018452
IDP210	4	197.9	225,711,898	230676971
IDP211	5	151.9	185,692,300	190354076
IDP2138	6	36.8	103,146,341	106384748
IDP214	9	120.4	139,942,775	142594265
IDP2140	5	145.5	182,249,850	186848272
IDP2142	9	152.1	147,352,497	150352433
IDP2146	8	124.3	160,610,798	165506118
IDP216	4	111.3	118,834,273	122502615
IDP219	6	15.9	13,657,790	23490218
IDP22	8	24.4	5,600,421	5859762
IDP222	5	75.4	13,136,023	13512348
IDP225	2	57.2	13,824,267	14128064
IDP227	3	106.5	137,529,014	138223627
IDP229	9	200.3	154,600,921	157774234
IDP231	6	14.9	15,326,242	25148764
IDP232	2	31.6	8,905,075	9080336
IDP233	5	191.7	204,321,862	209713623
IDP2347	1	312.7	263,204,620	268078787
IDP2348	3	176.5	190,750,167	193663604
IDP2349	4	122.4	156,993,050	160498523
IDP235	8	30	8,273,722	8610988
IDP2350	8	124.3	160,392,609	165287858
IDP2353	10	30.2	5,643,058	5287341
IDP2355	7	137.8	146,488,640	151702922
IDP2357	4	182.4	199,935,069	204238065
IDP236	10	62.9	89,921,917	90197338
IDP2360	7	40.2	4,794,866	5051960
IDP2361	5	168.1	193,726,779	199139721
IDP2362	1	78.6	30,346,301	30612822
IDP2364	9	49.7	13,662,100	13416163
IDP2365	8	110.6	135,953,318	139922670
IDP2367	1	158.4	105,152,455	107683458
IDP2368	3	188	198,566,641	201652605
IDP2371	2	4.9	1,819,109	1811306
IDP2374	3	91.3	25,863,943	25355734
IDP2375	6	84.2	147,223,982	151269618
IDP2379	3	231.7	217,231,055	220843159
IDP238	4	2.6	2,420,293	2999618
IDP2380	5	90.7	19,680,565	20166618
IDP2381	2	32	7,956,492	8142807
IDP2384	10	62.5	87,159,258	87290667
IDP2385	1	78.6	30,753,913	31052065
IDP2388	2	39.6	9,968,810	10155922
IDP2390	2	59.1	14,821,902	15272822
IDP2391	6	73.5	129,983,952	134068417
IDP2392	10	77.7	132,962,163	134160898
IDP2395	1	333.7	280,776,519	285871187
IDP2396b	6	109.5	154,989,547	159117047
IDP2397	4	43	5,416,821	6184419
IDP2398	8	198.2	173,410,054	178703259
IDP2399	3	26.8	3,840,177	3097000
IDP2400	1	391.4	298,431,972	303926974
IDP2401	5	121.8	159,120,525	162869271
IDP2402	8	145.9	164,963,371	170143909
IDP2406	9	74.6	43,286,765	45050685
IDP2407	2	105.7	36,911,390	38421319
IDP2409	6	73.5	129,901,107	133985454
IDP2414	3	116.9	149,310,691	150583974
IDP2418	4	117	152,476,372	156037817
IDP2420	1	8.3	4,758,454	4900932
IDP2421	4	111.3	146,059,822	149419799
IDP2422	3	223.9	212,183,490	215855162
IDP2424	6	25.6	91,852,132	94474699
IDP2425	4	108.3	90,198,013	93701333
IDP2426	8	141.8	164,445,025	169441892
IDP2427a	6	122.5	158,757,725	162914740
IDP2427b	6	122.5	158,841,802	162999276
IDP2427c	6	122.5	158,841,802	162999276
IDP2428	6	32.7	95,630,053	98385554
IDP2429	3	2.1	1,851,764	1171068
IDP243	1	238	212,946,862	216006988
IDP2431	3	98.3	56,817,656	56771722
IDP2435	3	100	86,911,520	112360585
IDP2436	1	351.3	286,362,373	291514973
IDP2438	5	93.2	28,454,000	29105532
IDP2440	1	369.3	293,150,168	298692146
IDP2442	3	91.3	31,098,657	30685398
IDP2443	3	95.5	35,993,214	35719750
IDP2445	5	134.6	172,099,013	176189424
IDP2448a	6	151.7	164,386,950	168525967
IDP2449	2	110.3	42,790,116	44622815
IDP2450	1	338	282,468,861	287595547
IDP2452	1	172.6	174,634,741	176622333
IDP2453	6	27.2	94,761,813	97506519
IDP2454	8	108.5	125,006,873	128419662
IDP2455	2	119.8	55,687,146	57740290
IDP2456	8	99.7	121,881,826	124954286
IDP2458	10	69.2	114,186,362	115194052
IDP2459	5	193.9	204,741,777	210275074
IDP2461	8	94.1	111,347,201	114049107
IDP2463	5	102.1	49,249,902	50793227
IDP2464	7	90.6	77,999,044	80690859
IDP2465	1	196.7	193,790,817	196149944
IDP2466	4	120.1	156,956,575	160462097
IDP2467	10	117.8	144,313,468	144995286
IDP2468	2	122.7	63,944,183	65740099
IDP2469	9	101.2	128,657,230	130897758
IDP247	7	88.3	85,263,570	24211746
IDP248	9	73.2	28,612,112	28671417
IDP2483	7	134.4	144,402,606	149326156
IDP2484	4	42	5,416,381	6183979
IDP2485	2	95.3	21,905,058	23199382
IDP2492	1	258.6	226,625,068	230207740
IDP252	1	141.7	76,839,965	78349033
IDP2525	1	317.9	271,108,631	275841736
IDP253	3	257.2	225,338,585	229132112
IDP254	1	158.4	108,265,845	110785945
IDP255	6	14.9	13,594,258	23389303
IDP2553	1	132.9	67,436,279	68221880
IDP2554	9	169.7	150,812,317	153997824
IDP2556	10	63.3	99,101,255	99533926
IDP2557	5	17.4	2,594,137	2680365
IDP2558	4	90.6	29,192,464	30738212
IDP256	9	75.7	80,687,081	83879833
IDP2562	10	83.7	134,917,641	136174213
IDP2566	3	268.5	229,645,693	233640565
IDP257	8	157.1	167,092,865	172333635
IDP2570	9	53	15,055,888	14786429
IDP2571	1	159	156,048,645	157947002
IDP2573	2	129	115,434,218	118774404
IDP2576b	1	159	119,998,928	121820550
IDP2579	10	63.3	99,376,965	99818594
IDP258	10	17.2	4,591,964	4190518
IDP2581	6	23.2	38,408,216	40166858
IDP2584	8	112.7	137,302,474	141408123
IDP2587	5	115.5	141,722,919	145058768
IDP2588	5	32.4	4,874,497	4988174
IDP2589	2	149.3	191,811,959	197574212
IDP2590	7	159.4	158,996,477	164379896
IDP2591	3	234.2	217,896,882	221507228
IDP2594	7	198.3	167,097,249	172706839
IDP261	1	317.9	268,882,425	273612860
IDP263	10	100.6	139,976,064	140677529
IDP264	3	176.5	191,528,043	194441856
IDP265	5	35.7	5,544,127	5727025
IDP266	1	273.4	241,223,895	244864462
IDP267	2	116.5	48,663,920	50704770
IDP268	10	117.8	144,313,000	144995754
IDP269	5	180	200,868,256	206342342
IDP27	8	147.6	164,727,719	169903448
IDP270	4	120.1	156,516,230	160037148
IDP274	4	71.1	16,847,837	17988170
IDP275	8	180.2	170,863,584	176104839
IDP276	4	170.1	186,848,070	190320423
IDP279	8	180.2	171,401,538	176644374
IDP284	3	240.6	219,693,748	223380533
IDP290	5	164.9	191,094,146	196450317
IDP292a	1	337.3	281,860,939	286975111
IDP293	6	23.6	73,857,845	76726638
IDP294	8	96.9	117,896,373	120806503
IDP295	1	210.6	195,921,379	198303007
IDP296	2	99.4	28,567,737	29993501
IDP30	5	113	87,415,251	89677832
IDP300	9	101.2	131,570,157	134018406
IDP307	4	181.7	198,563,283	202871919
IDP31	8	93.6	114,992,821	117743867
IDP310	9	101.9	134,363,633	136816009
IDP312	9	79.4	96,225,479	99657423
IDP315	8	94.1	110,811,553	113491901
IDP316	10	35.4	6,401,377	6098477
IDP317	2	117.6	51,279,585	53322495
IDP318	3	49.3	8,874,549	8115719
IDP324	4	188.5	201,354,594	205772480
IDP329	1	93.7	38,247,167	38641858
IDP330	6	100.3	152,209,515	156334872
IDP333	5	142.7	179,844,131	184298070
IDP334	8	81	68,928,848	70006136
IDP335	5	164	190,745,524	196097074
IDP336	7	61.9	7,495,258	7905486
IDP337	5	83.9	15,193,447	15738912
IDP338	3	166.5	184,672,743	187677758
IDP34	1	167.4	167,030,987	168743233
IDP340	1	315.2	267,000,189	271815329
IDP343	1	56.4	18,132,932	18455973
IDP351	3	236.1	218,016,295	221626693
IDP352	1	290.9	251,619,811	255756723
IDP353	7	87.1	23,501,108	24621592
IDP359	5	115.5	140,082,506	143454228
IDP36	5	191.7	203,625,586	209070200
IDP360	6	13.7	7,453,352	7781736
IDP361	10	153.6	148,605,447	149359658
IDP364	2	163.7	202,311,142	208886245
IDP366	3	188	198,517,973	201603935
IDP370	3	95.5	33,857,378	33499799
IDP371	7	166.8	160,256,480	165740931
IDP372	10	77.7	131,593,283	132802674
IDP375	9	75.7	59,588,091	70581262
IDP376	1	145.6	80,167,461	81796178
IDP3770	10	84.8	136,058,510	137259035
IDP3771	3	100	97,779,868	101292609
IDP3773	1	315.2	267,893,900	272704339
IDP3774	2	117.6	57,643,181	59826501
IDP3775b	3	188	198,567,553	201653517
IDP3776	7	9.9	1,557,236	1660888
IDP3777	2	106.1	40,150,090	41785263
IDP3778	6	3.9	2,893,779	2929602
IDP3779	4	3.9	2,623,456	3197860
IDP3780	6	33.4	98,295,713	101161170
IDP3783	1	55.7	16,177,055	16414047
IDP3785	3	14	2,781,210	1963229
IDP3788	6	23.2	38,114,837	39872462
IDP3789	7	22.6	2,721,651	2766969
IDP3790	6	163.3	165,389,428	169539609
IDP3791	10	39.1	8,450,437	8364735
IDP3793	6	59	115,552,305	119523516
IDP3794	10	39.5	10,284,194	10308419
IDP3795	7	91	42,477,445	44053468
IDP3796	3	121.8	155,315,272	156800347
IDP3798	1	306.3	261,568,248	266418408
IDP3799	6	18.4	28,230,406	29664431
