Chr_1	S1	E1	Chr_2	S2	E2	Contacts
1	3163563	3165389	1	3292815	3294978	1
1	3173572	3177067	1	3228329	3234525	1
1	3173572	3177067	1	3271067	3274922	1
1	3173572	3177067	1	3543980	3546389	1
1	3173572	3177067	1	3959649	3961314	1
1	3173572	3177067	1	5106244	5110372	1
1	3224168	3226036	1	3228329	3234525	6
1	3224168	3226036	1	3292815	3294978	1
1	3224168	3226036	1	3444573	3446896	1
1	3228329	3234525	1	3271067	3274922	6
1	3228329	3234525	1	3292815	3294978	2
1	3228329	3234525	1	3371095	3373506	4
1	3228329	3234525	1	3444573	3446896	2
1	3228329	3234525	1	3482305	3484943	1
1	3228329	3234525	1	3556287	3559836	1
1	3228329	3234525	1	3572123	3576374	1
1	3228329	3234525	1	3658312	3662932	2
1	3228329	3234525	1	3852793	3858492	1
1	3228329	3234525	1	3911647	3915181	1
1	3228329	3234525	1	4219933	4222996	1
1	3228329	3234525	1	4718546	4723029	1
1	3228329	3234525	1	4922987	4925587	1
1	3228329	3234525	1	5094383	5096795	1
1	3271067	3274922	1	3371095	3373506	2
1	3271067	3274922	1	3810986	3813116	1
1	3271067	3274922	1	3959649	3961314	2
1	3271067	3274922	1	4424368	4426675	1
1	3271067	3274922	1	4922987	4925587	1
1	3292815	3294978	1	3371095	3373506	1
1	3292815	3294978	1	3377538	3380543	1
1	3292815	3294978	1	3482305	3484943	1
1	3292815	3294978	1	3487985	3491503	1
1	3292815	3294978	1	3658312	3662932	1
1	3367504	3369421	1	3377538	3380543	2
1	3367504	3369421	1	3965967	3969538	1
1	3367504	3369421	1	5106244	5110372	1
1	3371095	3373506	1	3383727	3386230	1
1	3371095	3373506	1	3440572	3443966	3
1	3371095	3373506	1	3444573	3446896	3
1	3377538	3380543	1	3383727	3386230	2
1	3377538	3380543	1	3440572	3443966	1
1	3377538	3380543	1	3547787	3549447	1
1	3377538	3380543	1	4922987	4925587	1
1	3383727	3386230	1	3440572	3443966	1
1	3383727	3386230	1	3487985	3491503	1
1	3383727	3386230	1	3658312	3662932	1
1	3440572	3443966	1	3482305	3484943	3
1	3440572	3443966	1	3487985	3491503	1
1	3440572	3443966	1	3494752	3497401	1
1	3440572	3443966	1	3805339	3808502	1
1	3440572	3443966	1	4533906	4536560	1
1	3444573	3446896	1	3450377	3452725	2
1	3444573	3446896	1	3482305	3484943	2
1	3444573	3446896	1	3487985	3491503	2
1	3444573	3446896	1	3543980	3546389	1
1	3444573	3446896	1	3547787	3549447	1
1	3444573	3446896	1	3556287	3559836	1
1	3444573	3446896	1	3572123	3576374	1
1	3444573	3446896	1	3770728	3774316	1
1	3444573	3446896	1	3852793	3858492	1
1	3450377	3452725	1	3482305	3484943	2
1	3476712	3478530	1	3482305	3484943	2
1	3476712	3478530	1	3643518	3647448	1
1	3482305	3484943	1	3487985	3491503	2
1	3482305	3484943	1	3532343	3533983	1
1	3482305	3484943	1	3543980	3546389	1
1	3482305	3484943	1	3556287	3559836	1
1	3482305	3484943	1	3572123	3576374	1
1	3482305	3484943	1	3799657	3802256	1
1	3482305	3484943	1	3810986	3813116	1
1	3487985	3491503	1	3543980	3546389	3
1	3487985	3491503	1	3556287	3559836	1
1	3487985	3491503	1	3572123	3576374	2
1	3487985	3491503	1	3770728	3774316	1
1	3494752	3497401	1	3532343	3533983	1
1	3494752	3497401	1	3543980	3546389	2
1	3494752	3497401	1	3547787	3549447	1
1	3532343	3533983	1	3543980	3546389	1
1	3532343	3533983	1	3805339	3808502	1
1	3543980	3546389	1	3556287	3559836	1
1	3543980	3546389	1	3643518	3647448	1
1	3543980	3546389	1	3740262	3744640	1
1	3547787	3549447	1	4132277	4135983	1
1	3547787	3549447	1	5158683	5162617	1
1	3547787	3549447	1	5411436	5413998	1
1	3556287	3559836	1	3572123	3576374	1
1	3556287	3559836	1	3965967	3969538	1
1	3556287	3559836	1	4114319	4116593	1
1	3572123	3576374	1	3643518	3647448	2
1	3572123	3576374	1	3658312	3662932	1
1	3572123	3576374	1	4119069	4122756	1
1	3572123	3576374	1	4494538	4500334	2
1	3643518	3647448	1	3650410	3651671	2
1	3643518	3647448	1	3740262	3744640	1
1	3643518	3647448	1	3770728	3774316	2
1	3643518	3647448	1	3799657	3802256	1
1	3650410	3651671	1	3805339	3808502	1
1	3658312	3662932	1	3770728	3774316	1
1	3740262	3744640	1	3770728	3774316	1
1	3740262	3744640	1	4219933	4222996	1
1	3740262	3744640	1	5480345	5482577	1
1	3770728	3774316	1	3795256	3797125	1
1	3770728	3774316	1	3805339	3808502	2
1	3770728	3774316	1	3841541	3844016	1
1	3770728	3774316	1	3849231	3851234	1
1	3770728	3774316	1	4119069	4122756	1
1	3795256	3797125	1	3805339	3808502	3
1	3795256	3797125	1	3841541	3844016	1
1	3795256	3797125	1	5202068	5205163	1
1	3799657	3802256	1	3805339	3808502	1
1	3805339	3808502	1	3810986	3813116	3
1	3805339	3808502	1	3841541	3844016	1
1	3805339	3808502	1	3849231	3851234	2
1	3805339	3808502	1	3852793	3858492	1
1	3805339	3808502	1	3911647	3915181	1
1	3805339	3808502	1	4132277	4135983	1
1	3805339	3808502	1	5169678	5171388	1
1	3810986	3813116	1	3849231	3851234	1
1	3810986	3813116	1	3911647	3915181	1
1	3810986	3813116	1	3959649	3961314	1
1	3810986	3813116	1	4533906	4536560	1
1	3841541	3844016	1	3849231	3851234	1
1	3849231	3851234	1	3852793	3858492	1
1	3849231	3851234	1	3911647	3915181	1
1	3849231	3851234	1	4494538	4500334	2
1	3852793	3858492	1	3911647	3915181	1
1	3852793	3858492	1	4840688	4843479	1
1	3911647	3915181	1	3959649	3961314	1
1	3911647	3915181	1	4069331	4071433	1
1	3911647	3915181	1	4718546	4723029	1
1	3959649	3961314	1	3965967	3969538	1
1	3959649	3961314	1	3982473	3985748	1
1	3959649	3961314	1	4119069	4122756	1
1	3959649	3961314	1	4132277	4135983	1
1	3959649	3961314	1	4494538	4500334	1
1	3959649	3961314	1	5327734	5334381	1
1	3965967	3969538	1	3982473	3985748	1
1	3965967	3969538	1	4119069	4122756	1
1	3982473	3985748	1	4109621	4111693	1
1	4039531	4041244	1	4119069	4122756	1
1	4039531	4041244	1	5432782	5436558	1
1	4109621	4111693	1	4119069	4122756	1
1	4109621	4111693	1	4125021	4127129	1
1	4109621	4111693	1	4132277	4135983	1
1	4109621	4111693	1	4907638	4910200	1
1	4109621	4111693	1	5327734	5334381	1
1	4114319	4116593	1	4119069	4122756	8
1	4114319	4116593	1	4125021	4127129	2
1	4114319	4116593	1	4132277	4135983	3
1	4114319	4116593	1	4148669	4151368	2
1	4114319	4116593	1	4219933	4222996	1
1	4119069	4122756	1	4125021	4127129	5
1	4119069	4122756	1	4132277	4135983	5
1	4119069	4122756	1	4148669	4151368	1
1	4119069	4122756	1	4219933	4222996	1
1	4119069	4122756	1	4660724	4663090	1
1	4119069	4122756	1	4978250	4981247	1
1	4119069	4122756	1	5327734	5334381	1
1	4125021	4127129	1	4132277	4135983	7
1	4125021	4127129	1	4148669	4151368	2
1	4125021	4127129	1	5538925	5541122	1
1	4132277	4135983	1	4840688	4843479	1
1	4132277	4135983	1	4992470	4996522	1
1	4148669	4151368	1	4219933	4222996	1
1	4148669	4151368	1	5169678	5171388	1
1	4219933	4222996	1	4238332	4240124	1
1	4219933	4222996	1	4922987	4925587	1
1	4294526	4296555	1	4316679	4320633	1
1	4316679	4320633	1	4339107	4341924	4
1	4316679	4320633	1	4718546	4723029	1
1	4339107	4341924	1	4348560	4352473	1
1	4339107	4341924	1	4401582	4403711	1
1	4339107	4341924	1	4840688	4843479	1
1	4348560	4352473	1	4401582	4403711	1
1	4401582	4403711	1	4424368	4426675	1
1	4401582	4403711	1	4541762	4545111	1
1	4401582	4403711	1	4718546	4723029	1
1	4401582	4403711	1	4840688	4843479	1
1	4401582	4403711	1	5106244	5110372	1
1	4424368	4426675	1	4494538	4500334	3
1	4424368	4426675	1	4992470	4996522	1
1	4424368	4426675	1	5327734	5334381	1
1	4494538	4500334	1	4533906	4536560	4
1	4494538	4500334	1	4541762	4545111	1
1	4494538	4500334	1	4589937	4592038	1
1	4494538	4500334	1	4734424	4738322	1
1	4494538	4500334	1	4922987	4925587	1
1	4494538	4500334	1	5142248	5146166	1
1	4494538	4500334	1	5327734	5334381	1
1	4494538	4500334	1	5798371	5801859	1
1	4494538	4500334	1	6018661	6021889	1
1	4494538	4500334	1	6306428	6314056	1
1	4533906	4536560	1	4541762	4545111	1
1	4533906	4536560	1	5202068	5205163	1
1	4541762	4545111	1	4840688	4843479	1
1	4541762	4545111	1	5106244	5110372	1
1	4541762	4545111	1	6306428	6314056	1
1	4589937	4592038	1	4831691	4834814	1
1	4589937	4592038	1	6405806	6409807	1
1	4660724	4663090	1	4718546	4723029	2
1	4660724	4663090	1	4978250	4981247	1
1	4718546	4723029	1	4734424	4738322	6
1	4718546	4723029	1	4840688	4843479	2
1	4718546	4723029	1	4913128	4915263	1
1	4718546	4723029	1	4922987	4925587	1
1	4718546	4723029	1	4992470	4996522	2
1	4718546	4723029	1	5135573	5139585	1
1	4718546	4723029	1	5142248	5146166	1
1	4718546	4723029	1	5411436	5413998	2
1	4718546	4723029	1	5490125	5493996	1
1	4718546	4723029	1	6159475	6162779	1
1	4718546	4723029	1	6269097	6271804	1
1	4734424	4738322	1	4840688	4843479	2
1	4734424	4738322	1	5106244	5110372	1
1	4734424	4738322	1	5158683	5162617	1
1	4734424	4738322	1	5523682	5528522	1
1	4831691	4834814	1	4840688	4843479	2
1	4831691	4834814	1	5480345	5482577	1
1	4831691	4834814	1	5498823	5501545	1
1	4831691	4834814	1	6306428	6314056	1
1	4840688	4843479	1	4884628	4886917	2
1	4840688	4843479	1	4978250	4981247	1
1	4840688	4843479	1	5106244	5110372	1
1	4840688	4843479	1	5490125	5493996	1
1	4840688	4843479	1	6766564	6768199	1
1	4901847	4904103	1	4907638	4910200	1
1	4901847	4904103	1	4913128	4915263	1
1	4901847	4904103	1	4992470	4996522	1
1	4907638	4910200	1	5815682	5818894	1
1	4913128	4915263	1	4922987	4925587	1
1	4913128	4915263	1	4966273	4969041	1
1	4913128	4915263	1	4978250	4981247	1
1	4913128	4915263	1	5094383	5096795	1
1	4913128	4915263	1	5106244	5110372	2
1	4913128	4915263	1	5110940	5112926	1
1	4913128	4915263	1	5882171	5885674	2
1	4922987	4925587	1	5106244	5110372	2
1	4922987	4925587	1	5158683	5162617	1
1	4922987	4925587	1	6033752	6036792	1
1	4966273	4969041	1	4978250	4981247	2
1	4978250	4981247	1	5517693	5520565	1
1	4978250	4981247	1	5538925	5541122	1
1	4992470	4996522	1	5882171	5885674	1
1	4992470	4996522	1	6560959	6564110	1
1	5094383	5096795	1	5106244	5110372	2
1	5094383	5096795	1	5110940	5112926	2
1	5094383	5096795	1	5123577	5125317	1
1	5106244	5110372	1	5135573	5139585	5
1	5106244	5110372	1	5142248	5146166	1
1	5106244	5110372	1	5158683	5162617	2
1	5106244	5110372	1	5206682	5208754	1
1	5106244	5110372	1	5432782	5436558	2
1	5106244	5110372	1	5523682	5528522	1
1	5106244	5110372	1	6763655	6765422	1
1	5106244	5110372	1	7033686	7035817	1
1	5110940	5112926	1	5135573	5139585	1
1	5110940	5112926	1	5158683	5162617	1
1	5110940	5112926	1	5432782	5436558	1
1	5110940	5112926	1	5469862	5472529	1
1	5110940	5112926	1	5904232	5907730	1
1	5110940	5112926	1	6292646	6296013	1
1	5123577	5125317	1	5135573	5139585	1
1	5123577	5125317	1	5142248	5146166	1
1	5123577	5125317	1	5158683	5162617	1
1	5123577	5125317	1	5169678	5171388	1
1	5135573	5139585	1	5142248	5146166	1
1	5135573	5139585	1	5327734	5334381	1
1	5135573	5139585	1	5411436	5413998	1
1	5142248	5146166	1	5158683	5162617	3
1	5142248	5146166	1	5202068	5205163	1
1	5142248	5146166	1	5432782	5436558	1
1	5158683	5162617	1	5169678	5171388	1
1	5158683	5162617	1	5206682	5208754	1
1	5158683	5162617	1	5327734	5334381	4
1	5158683	5162617	1	5498823	5501545	1
1	5158683	5162617	1	5815682	5818894	1
1	5158683	5162617	1	7151014	7153304	1
1	5169678	5171388	1	5327734	5334381	3
1	5202068	5205163	1	5411436	5413998	2
1	5206682	5208754	1	5411436	5413998	1
1	5306142	5309100	1	7056747	7058728	1
1	5327734	5334381	1	5411436	5413998	1
1	5327734	5334381	1	5463833	5466279	1
1	5327734	5334381	1	5480345	5482577	1
1	5327734	5334381	1	5655009	5657275	1
1	5327734	5334381	1	6317270	6319806	1
1	5327734	5334381	1	7033686	7035817	1
1	5327734	5334381	1	7144757	7147498	1
1	5411436	5413998	1	5432782	5436558	2
1	5411436	5413998	1	5490125	5493996	1
1	5411436	5413998	1	5517693	5520565	1
1	5411436	5413998	1	5523682	5528522	1
1	5432782	5436558	1	5463833	5466279	6
1	5432782	5436558	1	5469862	5472529	1
1	5432782	5436558	1	5480345	5482577	2
1	5432782	5436558	1	6018661	6021889	1
1	5432782	5436558	1	7181585	7184101	1
1	5463833	5466279	1	5480345	5482577	1
1	5463833	5466279	1	5490125	5493996	2
1	5463833	5466279	1	5523682	5528522	1
1	5463833	5466279	1	5601983	5604676	1
1	5463833	5466279	1	5655009	5657275	1
1	5463833	5466279	1	6260160	6263014	1
1	5469862	5472529	1	5480345	5482577	1
1	5469862	5472529	1	5490125	5493996	1
1	5469862	5472529	1	5655009	5657275	1
1	5480345	5482577	1	5490125	5493996	2
1	5480345	5482577	1	5498823	5501545	1
1	5490125	5493996	1	5498823	5501545	5
1	5490125	5493996	1	5517693	5520565	2
1	5490125	5493996	1	5523682	5528522	3
1	5490125	5493996	1	5588470	5591222	1
1	5490125	5493996	1	6269097	6271804	1
1	5498823	5501545	1	6275008	6278794	1
1	5517693	5520565	1	5523682	5528522	6
1	5517693	5520565	1	5533114	5535935	1
1	5517693	5520565	1	5601983	5604676	1
1	5517693	5520565	1	5613710	5615799	1
1	5523682	5528522	1	5533114	5535935	2
1	5523682	5528522	1	5588470	5591222	1
1	5523682	5528522	1	5601983	5604676	2
1	5523682	5528522	1	5613710	5615799	1
1	5523682	5528522	1	5882171	5885674	1
1	5523682	5528522	1	6235192	6237541	1
1	5533114	5535935	1	5588470	5591222	1
1	5533114	5535935	1	5601983	5604676	2
1	5538925	5541122	1	5588470	5591222	3
1	5538925	5541122	1	5655009	5657275	1
1	5588470	5591222	1	5702451	5704639	1
1	5588470	5591222	1	6298851	6302108	1
1	5601983	5604676	1	5661334	5663776	1
1	5601983	5604676	1	5815682	5818894	1
1	5601983	5604676	1	6033752	6036792	1
1	5601983	5604676	1	7344892	7346445	1
1	5613710	5615799	1	5655009	5657275	1
1	5613710	5615799	1	5661334	5663776	1
1	5613710	5615799	1	5679147	5681307	1
1	5613710	5615799	1	5702451	5704639	1
1	5655009	5657275	1	5714814	5717213	1
1	5655009	5657275	1	5882171	5885674	1
1	5655009	5657275	1	6838644	6841460	1
1	5661334	5663776	1	5679147	5681307	1
1	5661334	5663776	1	6275008	6278794	1
1	5679147	5681307	1	5702451	5704639	1
1	5679147	5681307	1	6018661	6021889	1
1	5702451	5704639	1	5714814	5717213	2
1	5702451	5704639	1	5788349	5791943	1
1	5702451	5704639	1	5882171	5885674	1
1	5788349	5791943	1	5798371	5801859	1
1	5788349	5791943	1	7151014	7153304	1
1	5815682	5818894	1	5823499	5825281	1
1	5815682	5818894	1	5882171	5885674	2
1	5823499	5825281	1	6317270	6319806	1
1	5882171	5885674	1	5942947	5945550	1
1	5882171	5885674	1	6159475	6162779	1
1	5942947	5945550	1	6018661	6021889	1
1	6018661	6021889	1	6033752	6036792	1
1	6018661	6021889	1	6235192	6237541	1
1	6018661	6021889	1	6405806	6409807	1
1	6033752	6036792	1	6235192	6237541	1
1	6033752	6036792	1	6306428	6314056	1
1	6033752	6036792	1	6419417	6421335	1
1	6033752	6036792	1	6823468	6827282	1
1	6062309	6063665	1	6275008	6278794	1
1	6077827	6080316	1	6087388	6089169	1
1	6077827	6080316	1	6235192	6237541	1
1	6139631	6140845	1	6144525	6146536	1
1	6144525	6146536	1	6159475	6162779	3
1	6144525	6146536	1	6292646	6296013	1
1	6159475	6162779	1	6235192	6237541	1
1	6159475	6162779	1	6245325	6247237	1
1	6159475	6162779	1	6269097	6271804	1
1	6235192	6237541	1	6245325	6247237	1
1	6235192	6237541	1	6275008	6278794	1
1	6235192	6237541	1	6306428	6314056	1
1	6245325	6247237	1	6260160	6263014	1
1	6245325	6247237	1	6269097	6271804	3
1	6245325	6247237	1	6275008	6278794	4
1	6245325	6247237	1	6292646	6296013	1
1	6245325	6247237	1	6317270	6319806	1
1	6245325	6247237	1	6823468	6827282	1
1	6260160	6263014	1	6269097	6271804	2
1	6260160	6263014	1	6292646	6296013	2
1	6269097	6271804	1	6275008	6278794	7
1	6269097	6271804	1	6292646	6296013	1
1	6269097	6271804	1	6298851	6302108	2
1	6269097	6271804	1	6405806	6409807	1
1	6269097	6271804	1	6506334	6507781	1
1	6269097	6271804	1	7386052	7388945	1
1	6269097	6271804	1	7393270	7397525	1
1	6275008	6278794	1	6292646	6296013	2
1	6275008	6278794	1	6425346	6427223	1
1	6275008	6278794	1	7042786	7046283	1
1	6292646	6296013	1	6298851	6302108	1
1	6292646	6296013	1	6306428	6314056	2
1	6292646	6296013	1	6405806	6409807	1
1	6292646	6296013	1	6541492	6543919	1
1	6292646	6296013	1	6630893	6634107	1
1	6292646	6296013	1	7027579	7030294	1
1	6292646	6296013	1	8114042	8119280	1
1	6298851	6302108	1	6306428	6314056	3
1	6298851	6302108	1	6838644	6841460	1
1	6306428	6314056	1	6317270	6319806	3
1	6306428	6314056	1	6405806	6409807	1
1	6306428	6314056	1	6425346	6427223	1
1	6306428	6314056	1	6770932	6772871	1
1	6317270	6319806	1	6327574	6329901	1
1	6327574	6329901	1	6419417	6421335	1
1	6327574	6329901	1	6838644	6841460	1
1	6381589	6384319	1	6560959	6564110	2
1	6405806	6409807	1	6419417	6421335	1
1	6405806	6409807	1	6425346	6427223	1
1	6405806	6409807	1	6838644	6841460	1
1	6419417	6421335	1	6425346	6427223	1
1	6419417	6421335	1	6560959	6564110	1
1	6419417	6421335	1	6838644	6841460	1
1	6419417	6421335	1	7989592	7992788	1
1	6541492	6543919	1	6796182	6800434	1
1	6560959	6564110	1	6630893	6634107	1
1	6560959	6564110	1	6823468	6827282	1
1	6560959	6564110	1	7066937	7068901	1
1	6823468	6827282	1	6838644	6841460	5
1	6823468	6827282	1	7558170	7560613	1
1	6838644	6841460	1	6907263	6910315	3
1	6838644	6841460	1	7071506	7074464	1
1	6838644	6841460	1	7296571	7299949	1
1	6838644	6841460	1	7563614	7569329	1
1	6838644	6841460	1	8162469	8167104	1
1	6907263	6910315	1	7027579	7030294	2
1	6907263	6910315	1	7071506	7074464	1
1	6907263	6910315	1	7355612	7359152	1
1	6907263	6910315	1	7393270	7397525	1
1	6907263	6910315	1	7600868	7604030	1
1	7027579	7030294	1	7033686	7035817	3
1	7027579	7030294	1	7042786	7046283	1
1	7027579	7030294	1	8301592	8304263	1
1	7033686	7035817	1	7042786	7046283	1
1	7033686	7035817	1	7063312	7065555	1
1	7033686	7035817	1	7071506	7074464	1
1	7033686	7035817	1	7144757	7147498	1
1	7033686	7035817	1	8054120	8057193	1
1	7042786	7046283	1	7071506	7074464	1
1	7042786	7046283	1	7339047	7341954	1
1	7056747	7058728	1	7063312	7065555	1
1	7056747	7058728	1	7066937	7068901	1
1	7056747	7058728	1	7071506	7074464	2
