Type	chr	start	stop	q-value	mean_methylation_difference	CpGs	p_MWU	p_2D_KS	POPA	POPB	Compare
CG	1	221422470	221422664	2.80E-05	0.451146	9	7.50E-11	4.00E-11	0.9009	0.44975	Landrace/Maize
CG	1	223071125	223071288	1.10E-13	0.451691	16	4.20E-14	1.60E-19	0.88026	0.42857	Landrace/Maize
CG	1	223572835	223572989	2.40E-12	0.567002	8	4.60E-14	3.40E-18	0.8137	0.2467	Landrace/Maize
CG	1	260488043	260488241	3.90E-29	-0.540245	14	4.50E-14	5.60E-35	0.24499	0.78524	Landrace/Maize
CG	1	265252518	265252797	1.30E-13	0.566082	8	4.20E-14	1.90E-19	0.79475	0.22867	Landrace/Maize
CG	2	17681642	17681803	6.80E-05	0.405797	9	3.00E-07	9.80E-11	0.49623	0.090433	Landrace/Maize
CG	2	18546726	18546901	1.30E-19	-0.441598	10	4.30E-14	1.80E-25	0.45381	0.89541	Landrace/Maize
CG	2	37321751	37321963	3.10E-11	0.41258	12	4.50E-14	4.40E-17	0.54335	0.13077	Landrace/Maize
CG	2	44201490	44201676	6.50E-09	0.454821	12	4.20E-14	9.30E-15	0.86294	0.40812	Landrace/Maize
CG	2	48108367	48108553	1.70E-32	0.423724	20	3.90E-14	2.50E-38	0.76487	0.34115	Landrace/Maize
CG	2	53861787	53861979	3.60E-19	0.611742	10	4.30E-14	5.20E-25	0.85133	0.23958	Landrace/Maize
CG	2	94636550	94636925	3.10E-28	0.560669	20	5.00E-14	4.40E-34	0.8482	0.28753	Landrace/Maize
CG	2	103115702	103115962	1.00E-37	0.461622	17	5.00E-14	1.50E-43	0.46938	0.007758	Landrace/Maize
CG	2	104049639	104049908	1.40E-33	0.547278	21	4.80E-14	2.00E-39	0.86003	0.31276	Landrace/Maize
CG	2	107986028	107986169	5.80E-09	0.559447	8	4.50E-14	8.30E-15	0.84416	0.28472	Landrace/Maize
CG	2	117110240	117110672	1.00E-25	0.583984	17	4.00E-14	1.50E-31	0.91535	0.33137	Landrace/Maize
CG	2	135104845	135105241	2.40E-46	0.511345	21	5.20E-14	3.40E-52	0.51561	0.004266	Landrace/Maize
CG	2	139515378	139515709	3.40E-58	0.767158	20	5.20E-14	4.90E-64	0.87797	0.11082	Landrace/Maize
CG	2	143410010	143410223	1.40E-23	0.607924	12	5.10E-14	2.00E-29	0.77953	0.1716	Landrace/Maize
CG	2	144887054	144887587	1.20E-44	0.511224	34	4.00E-14	1.70E-50	0.78178	0.27055	Landrace/Maize
CG	2	166116063	166116375	2.10E-28	-0.409898	29	4.40E-14	3.10E-34	0.091896	0.50179	Landrace/Maize
CG	2	173440759	173441215	1.20E-09	0.538792	8	4.50E-14	1.80E-15	0.77646	0.23767	Landrace/Maize
CG	2	203859434	203860003	6.10E-103	0.554523	34	2.70E-14	8.70E-109	0.55968	0.0051564	Landrace/Maize
CG	2	225124144	225124447	2.90E-05	0.434421	8	2.50E-12	4.20E-11	0.84715	0.41273	Landrace/Maize
CG	2	225335682	225336188	5.70E-33	0.555726	15	4.00E-14	8.20E-39	0.72134	0.16562	Landrace/Maize
CG	2	226994561	226994848	6.80E-20	0.45842	16	4.50E-14	9.80E-26	0.60028	0.14186	Landrace/Maize
CG	2	229625794	229626238	1.10E-47	0.511314	24	4.50E-14	1.50E-53	0.68475	0.17344	Landrace/Maize
CG	2	243876208	243876515	1.00E-16	-0.569761	8	4.20E-14	1.40E-22	0.26473	0.83449	Landrace/Maize
CG	3	12025873	12026135	2.40E-10	0.476701	10	4.70E-14	3.40E-16	0.74368	0.26698	Landrace/Maize
CG	3	15662380	15662486	2.00E-06	0.421394	10	1.10E-12	2.90E-12	0.83015	0.40876	Landrace/Maize
CG	3	50814266	50815179	7.80E-09	0.474903	10	4.40E-14	1.10E-14	0.9243	0.44939	Landrace/Maize
CG	3	71475141	71475871	9.90E-16	0.402064	20	4.00E-14	1.40E-21	0.72454	0.32247	Landrace/Maize
CG	3	74796329	74796529	2.00E-15	0.472141	14	4.20E-14	2.90E-21	0.65804	0.1859	Landrace/Maize
CG	3	76711011	76711270	8.60E-19	-0.493274	16	4.20E-14	1.20E-24	0.05111	0.54438	Landrace/Maize
CG	3	103149920	103150203	2.50E-14	0.515195	10	4.00E-14	3.60E-20	0.60297	0.087775	Landrace/Maize
CG	3	107079691	107079783	0.00026	0.411773	10	4.60E-14	3.70E-10	0.89221	0.48043	Landrace/Maize
CG	3	125451436	125452111	3.80E-44	0.445508	41	4.10E-14	5.40E-50	0.46789	0.022378	Landrace/Maize
CG	3	126130983	126131183	6.90E-07	-0.400885	12	5.00E-14	9.90E-13	0.045142	0.44603	Landrace/Maize
CG	3	189131053	189131316	7.50E-17	0.554246	13	3.70E-14	1.10E-22	0.88893	0.33469	Landrace/Maize
CG	3	206423282	206423446	5.00E-05	0.419103	10	4.30E-14	7.20E-11	0.88671	0.46761	Landrace/Maize
CG	3	215471486	215471615	2.80E-15	-0.423275	16	4.40E-14	4.00E-21	0.12822	0.5515	Landrace/Maize
CG	3	218374580	218374757	3.10E-47	0.834056	13	5.60E-14	4.40E-53	0.91383	0.079774	Landrace/Maize
CG	4	8382388	8382606	3.20E-18	0.437232	17	4.10E-14	4.50E-24	0.52273	0.085497	Landrace/Maize
CG	4	15081584	15081762	9.00E-18	0.44437	10	3.90E-14	1.30E-23	0.50479	0.060419	Landrace/Maize
CG	4	40262759	40263137	6.60E-37	0.652308	17	4.70E-14	9.50E-43	0.65935	0.0070455	Landrace/Maize
CG	4	42909776	42909984	2.20E-23	0.740021	9	3.90E-14	3.10E-29	0.88463	0.14461	Landrace/Maize
CG	4	46422096	46422396	2.40E-14	-0.419638	13	4.20E-14	3.40E-20	0.32926	0.7489	Landrace/Maize
CG	4	106058919	106059417	4.00E-17	-0.406984	17	4.10E-14	5.70E-23	0.50235	0.90933	Landrace/Maize
CG	4	111365490	111365848	1.50E-38	0.572582	21	3.90E-14	2.20E-44	0.77151	0.19892	Landrace/Maize
CG	4	112110033	112110341	9.90E-33	-0.437885	29	4.80E-14	1.40E-38	0.21584	0.65372	Landrace/Maize
CG	4	113426410	113426561	4.70E-20	0.422171	9	4.50E-14	6.70E-26	0.79733	0.37516	Landrace/Maize
CG	4	114444230	114444484	5.20E-09	0.450379	11	4.40E-14	7.50E-15	0.72735	0.27697	Landrace/Maize
CG	4	115211393	115211659	2.80E-14	-0.570571	8	4.30E-14	4.00E-20	0.31888	0.88945	Landrace/Maize
CG	4	115249927	115250253	6.60E-14	-0.422139	13	4.10E-14	9.40E-20	0.30129	0.72343	Landrace/Maize
CG	4	115252782	115253682	2.90E-40	-0.518767	22	4.90E-14	4.20E-46	0.32845	0.84721	Landrace/Maize
CG	4	118888895	118889046	2.80E-06	0.462888	8	4.60E-14	4.00E-12	0.75418	0.29129	Landrace/Maize
CG	4	118997629	118997757	3.60E-51	0.762581	17	5.30E-14	5.10E-57	0.91892	0.15634	Landrace/Maize
CG	4	119744221	119744760	4.40E-45	0.522275	24	4.00E-14	6.30E-51	0.55821	0.035934	Landrace/Maize
CG	4	149924500	149924718	8.00E-14	0.495476	12	4.70E-14	1.10E-19	0.79578	0.3003	Landrace/Maize
CG	4	156140908	156141364	1.30E-86	0.569244	42	5.20E-14	1.80E-92	0.58331	0.014064	Landrace/Maize
CG	4	166646237	166646462	7.20E-24	0.410302	18	4.50E-14	1.00E-29	0.88926	0.47896	Landrace/Maize
CG	4	177772690	177773071	1.30E-13	0.556706	11	4.10E-14	1.90E-19	0.72227	0.16557	Landrace/Maize
CG	4	184389433	184389624	1.30E-18	0.614629	8	4.20E-14	1.90E-24	0.6388	0.024171	Landrace/Maize
CG	4	209506998	209507207	1.90E-14	0.599221	10	4.40E-14	2.70E-20	0.73844	0.13921	Landrace/Maize
CG	4	217656752	217656889	4.00E-13	0.580607	9	4.70E-14	5.70E-19	0.85034	0.26974	Landrace/Maize
CG	4	225039414	225039600	6.80E-21	0.468652	12	4.50E-14	9.70E-27	0.66132	0.19267	Landrace/Maize
CG	4	226181699	226181959	1.80E-18	0.622305	11	4.70E-14	2.50E-24	0.78145	0.15914	Landrace/Maize
CG	5	12226	12746	3.60E-32	0.460132	27	4.30E-14	5.10E-38	0.7669	0.30677	Landrace/Maize
CG	5	1653063	1653576	1.20E-29	0.505105	16	4.90E-14	1.70E-35	0.6608	0.15569	Landrace/Maize
CG	5	23539381	23539601	6.20E-09	0.401977	12	4.50E-14	8.80E-15	0.81623	0.41425	Landrace/Maize
CG	5	45878985	45879426	1.30E-11	0.434301	13	4.20E-14	1.90E-17	0.88549	0.45119	Landrace/Maize
CG	5	54241897	54241996	1.80E-07	0.449514	9	1.10E-11	2.60E-13	0.8703	0.42079	Landrace/Maize
CG	5	85650347	85650836	3.80E-20	0.433281	20	4.00E-14	5.50E-26	0.64444	0.21116	Landrace/Maize
CG	5	86309728	86309958	1.80E-06	0.435685	9	4.80E-14	2.60E-12	0.81285	0.37717	Landrace/Maize
CG	5	120621682	120621841	1.70E-10	0.419637	12	4.40E-14	2.50E-16	0.76614	0.34651	Landrace/Maize
CG	5	121338937	121339039	0.026	0.403406	9	2.20E-12	3.70E-08	0.88577	0.48236	Landrace/Maize
CG	5	127466162	127466356	2.20E-14	0.451941	13	4.20E-14	3.20E-20	0.56744	0.11549	Landrace/Maize
CG	5	128733898	128734031	5.80E-25	-0.598428	15	3.70E-14	8.30E-31	0.04517	0.6436	Landrace/Maize
CG	5	166583675	166584329	1.50E-40	0.575711	22	3.70E-14	2.10E-46	0.65349	0.077779	Landrace/Maize
CG	5	191540990	191541114	1.70E-14	0.483212	9	4.20E-14	2.50E-20	0.56569	0.082481	Landrace/Maize
CG	5	209492947	209493183	0.0011	0.403421	8	4.60E-14	1.60E-09	0.91389	0.51047	Landrace/Maize
CG	6	6265712	6265936	7.30E-07	0.421976	8	5.90E-14	1.00E-12	0.6374	0.21543	Landrace/Maize
CG	6	27642342	27642626	7.30E-12	0.556362	10	4.20E-14	1.00E-17	0.86984	0.31348	Landrace/Maize
CG	6	38595247	38595674	1.30E-22	-0.626911	10	4.50E-14	1.90E-28	0.20709	0.834	Landrace/Maize
CG	6	50123068	50123257	1.10E-23	0.524958	12	4.20E-14	1.50E-29	0.52985	0.0048968	Landrace/Maize
CG	6	50974024	50974347	4.60E-14	0.425623	17	8.10E-13	6.60E-20	0.50318	0.07756	Landrace/Maize
CG	6	55607323	55607466	1.10E-17	0.498014	11	4.30E-14	1.60E-23	0.6104	0.11239	Landrace/Maize
CG	6	56764787	56764967	1.80E-04	0.405508	10	1.80E-12	2.60E-10	0.78389	0.37838	Landrace/Maize
CG	6	61207853	61208769	1.10E-82	0.45261	54	5.00E-14	1.60E-88	0.70916	0.25655	Landrace/Maize
CG	6	85045330	85045550	4.90E-24	0.481599	15	4.50E-14	7.00E-30	0.64126	0.15966	Landrace/Maize
CG	6	89251232	89251385	6.00E-15	0.639293	8	4.00E-14	8.50E-21	0.68279	0.043494	Landrace/Maize
CG	6	92255925	92256105	5.70E-32	0.783967	10	4.70E-14	8.20E-38	0.8826	0.098635	Landrace/Maize
CG	6	96572051	96572406	1.00E-65	0.656106	26	4.80E-14	1.40E-71	0.79162	0.13552	Landrace/Maize
CG	6	123788663	123788851	3.20E-14	0.637183	9	4.30E-14	4.60E-20	0.89801	0.26082	Landrace/Maize
CG	6	128376569	128376655	1.00E-05	0.451956	8	4.20E-14	1.50E-11	0.86843	0.41647	Landrace/Maize
CG	6	146683473	146683685	3.00E-34	0.496424	18	4.50E-14	4.30E-40	0.63144	0.13502	Landrace/Maize
CG	6	169165520	169165693	1.60E-10	0.572566	8	4.40E-14	2.20E-16	0.8203	0.24773	Landrace/Maize
CG	7	18719965	18720192	7.80E-35	0.481195	22	5.00E-14	1.10E-40	0.63494	0.15374	Landrace/Maize
CG	7	62761820	62762345	1.30E-08	-0.420414	10	5.70E-14	1.90E-14	0.33855	0.75896	Landrace/Maize
CG	7	64772248	64772715	3.30E-22	-0.469152	18	4.40E-14	4.70E-28	0.3182	0.78735	Landrace/Maize
CG	7	81250761	81250904	8.50E-07	0.40662	9	6.20E-14	1.20E-12	0.75104	0.34441	Landrace/Maize
CG	7	113839160	113839393	2.40E-24	0.52223	14	4.20E-14	3.40E-30	0.73842	0.21619	Landrace/Maize
CG	7	126962341	126962617	3.60E-13	0.435298	13	4.00E-14	5.20E-19	0.8304	0.3951	Landrace/Maize
CG	7	131541874	131542092	1.50E-28	0.527474	16	4.90E-14	2.10E-34	0.88682	0.35934	Landrace/Maize
CG	7	155447763	155447948	8.00E-20	-0.523076	15	4.80E-14	1.20E-25	0.19891	0.72199	Landrace/Maize
CG	8	15270200	15270291	6.30E-22	0.672355	11	4.10E-14	9.00E-28	0.68074	0.0083854	Landrace/Maize
CG	8	30510960	30511062	3.90E-17	0.641038	9	4.20E-14	5.50E-23	0.9096	0.26856	Landrace/Maize
CG	8	47411707	47411908	1.30E-21	-0.517679	17	4.20E-14	1.90E-27	0.12342	0.6411	Landrace/Maize
CG	8	73468304	73468796	4.50E-29	-0.460676	25	4.20E-14	6.50E-35	0.16005	0.62072	Landrace/Maize
CG	8	74549617	74549903	2.10E-28	0.487346	19	5.00E-14	3.00E-34	0.77358	0.28624	Landrace/Maize
CG	8	75153429	75153558	1.40E-13	0.568857	10	4.40E-14	2.00E-19	0.57753	0.0086737	Landrace/Maize
CG	8	99276375	99276517	9.70E-27	0.627488	11	4.10E-14	1.40E-32	0.8134	0.18591	Landrace/Maize
CG	8	99808092	99808270	3.00E-25	0.505089	17	4.10E-14	4.30E-31	0.7029	0.19781	Landrace/Maize
CG	8	101994724	101994946	9.40E-17	0.514139	12	4.60E-14	1.30E-22	0.65202	0.13789	Landrace/Maize
CG	8	158869261	158869425	9.40E-28	-0.481222	14	4.20E-14	1.30E-33	0.19872	0.67994	Landrace/Maize
CG	9	1462127	1462524	5.90E-22	0.454895	21	4.20E-14	8.50E-28	0.48879	0.033899	Landrace/Maize
CG	9	36416231	36416359	1.30E-13	0.527625	11	4.00E-14	1.90E-19	0.82419	0.29657	Landrace/Maize
CG	9	61838989	61839105	9.00E-15	0.475475	11	4.60E-14	1.30E-20	0.88453	0.40906	Landrace/Maize
CG	9	68066594	68067048	9.20E-21	-0.407534	20	4.60E-14	1.30E-26	0.34429	0.75183	Landrace/Maize
CG	9	88223752	88223846	7.20E-10	0.531471	8	4.40E-14	1.00E-15	0.7809	0.24943	Landrace/Maize
CG	9	89465935	89466145	8.00E-57	0.775429	15	4.50E-14	1.10E-62	0.78742	0.011987	Landrace/Maize
CG	9	109521423	109521629	1.90E-15	-0.419609	16	4.40E-14	2.70E-21	0.14134	0.56095	Landrace/Maize
CG	9	119362624	119363049	3.50E-49	-0.642434	20	4.50E-14	5.00E-55	0.2363	0.87873	Landrace/Maize
CG	9	119577929	119578151	1.50E-03	0.455762	8	3.60E-11	2.20E-09	0.56313	0.10737	Landrace/Maize
CG	9	120589400	120589587	1.30E-12	-0.555591	9	4.70E-14	1.90E-18	0.0041728	0.55976	Landrace/Maize
CG	9	122465197	122465424	4.90E-14	0.423889	11	4.20E-14	7.00E-20	0.57118	0.14729	Landrace/Maize
CG	9	136877114	136877656	9.90E-47	0.432405	30	3.70E-14	1.40E-52	0.57857	0.14617	Landrace/Maize
CG	9	137824680	137825296	8.40E-45	0.447397	40	3.90E-14	1.20E-50	0.69072	0.24333	Landrace/Maize
CG	9	154449582	154449861	4.00E-15	0.41939	13	3.90E-14	5.70E-21	0.48207	0.062677	Landrace/Maize
CG	9	155229792	155229911	1.90E-39	0.840387	11	3.70E-14	2.80E-45	0.92497	0.084578	Landrace/Maize
CG	10	32816274	32816515	5.30E-28	-0.610838	14	4.30E-14	7.50E-34	0.20562	0.81646	Landrace/Maize
CG	10	34972078	34972453	8.50E-10	0.47863	11	4.20E-14	1.20E-15	0.88822	0.40959	Landrace/Maize
CG	10	44089426	44090131	1.70E-56	0.553751	34	5.70E-14	2.50E-62	0.8703	0.31655	Landrace/Maize
CG	10	51537551	51538517	3.10E-43	-0.498094	34	4.60E-14	4.50E-49	0.13715	0.63524	Landrace/Maize
CG	10	56649945	56650045	2.70E-09	0.401503	12	4.50E-14	3.80E-15	0.68961	0.28811	Landrace/Maize
CG	10	67238772	67238939	6.40E-27	0.724068	11	3.90E-14	9.10E-33	0.8623	0.13823	Landrace/Maize
CG	10	67245365	67245581	3.10E-67	0.75067	21	4.90E-14	4.50E-73	0.84124	0.090567	Landrace/Maize
CG	10	84502507	84502706	3.00E-57	0.786892	18	5.60E-14	4.30E-63	0.90064	0.11374	Landrace/Maize
CG	10	91847259	91847474	1.10E-27	-0.476379	18	4.60E-14	1.60E-33	0.23858	0.71496	Landrace/Maize
CG	10	105636445	105636987	2.70E-48	0.544805	30	4.40E-14	3.90E-54	0.89031	0.34551	Landrace/Maize
CG	10	110195408	110195624	4.80E-12	-0.42102	12	4.50E-14	6.90E-18	0.28525	0.70627	Landrace/Maize
CG	10	123091266	123091592	9.90E-46	0.496128	27	4.70E-14	1.40E-51	0.50598	0.009849	Landrace/Maize
CG	10	149487789	149488364	6.80E-65	0.754157	21	4.80E-14	9.80E-71	0.8591	0.10494	Landrace/Maize
CG	10	150122008	150122643	9.90E-12	0.458362	10	4.60E-14	1.40E-17	0.62366	0.1653	Landrace/Maize
CG	10	150490223	150490509	1.80E-17	0.418844	16	4.70E-14	2.60E-23	0.7312	0.31235	Landrace/Maize
CG	10	150749964	150750133	4.30E-10	0.458194	12	4.60E-14	6.20E-16	0.8697	0.41151	Landrace/Maize
CHG	1	209391	209724	1.20E-19	0.4458	11	4.60E-14	1.10E-25	0.49559	0.049789	Landrace/Maize
CHG	1	17971451	17971940	3.30E-18	0.4273	13	3.70E-14	2.90E-24	0.61336	0.18606	Landrace/Maize
CHG	1	23270723	23270841	1.90E-13	0.426282	12	4.00E-14	1.70E-19	0.66842	0.24213	Landrace/Maize
CHG	1	23699357	23699992	5.90E-21	-0.44821	19	4.30E-14	5.20E-27	0.061622	0.50983	Landrace/Maize
CHG	1	34440810	34441037	8.50E-07	0.478624	8	4.00E-14	7.50E-13	0.7199	0.24128	Landrace/Maize
CHG	1	51120552	51120661	5.80E-06	0.439854	8	4.60E-14	5.10E-12	0.76193	0.32207	Landrace/Maize
CHG	1	71436607	71436757	5.40E-08	0.440377	8	4.50E-14	4.80E-14	0.78977	0.3494	Landrace/Maize
CHG	1	106083227	106083461	1.50E-25	-0.549076	11	4.10E-14	1.30E-31	0.023281	0.57236	Landrace/Maize
CHG	1	111880247	111880812	2.40E-12	0.41055	16	4.30E-14	2.20E-18	0.59037	0.17982	Landrace/Maize
CHG	1	112682613	112682703	1.90E-22	0.631079	8	4.40E-14	1.70E-28	0.72228	0.091201	Landrace/Maize
CHG	1	123675452	123675815	3.40E-18	0.425473	14	4.70E-14	3.00E-24	0.65259	0.22712	Landrace/Maize
CHG	1	135668323	135669066	1.30E-81	0.480467	46	5.10E-14	1.10E-87	0.52657	0.046105	Landrace/Maize
CHG	1	158665040	158665450	1.90E-46	0.651659	18	5.20E-14	1.70E-52	7.70E-01	0.11787	Landrace/Maize
CHG	1	169226880	169226984	8.60E-07	0.488441	8	4.30E-14	7.60E-13	0.88159	0.39315	Landrace/Maize
CHG	1	180687663	180688061	3.90E-40	0.546625	19	3.70E-14	3.50E-46	0.67856	0.13193	Landrace/Maize
CHG	1	183531139	183532021	1.60E-43	0.426163	42	5.50E-14	1.40E-49	0.77547	0.34931	Landrace/Maize
CHG	1	215415702	215416226	3.10E-42	0.492414	29	4.00E-14	2.70E-48	0.6721	0.17968	Landrace/Maize
CHG	1	259329732	259330068	1.50E-32	0.490601	19	3.10E-14	1.30E-38	0.67802	0.18742	Landrace/Maize
CHG	1	265252475	265252796	2.70E-18	0.487277	11	4.10E-14	2.40E-24	0.70412	0.21685	Landrace/Maize
CHG	2	5511739	5511979	1.50E-10	0.435373	8	4.20E-14	1.30E-16	0.68125	0.24588	Landrace/Maize
CHG	2	8255727	8255805	5.50E-09	-0.458567	9	4.70E-14	4.90E-15	0.20521	0.66377	Landrace/Maize
CHG	2	11808982	11809292	1.50E-80	0.40896	41	3.10E-14	1.30E-86	0.44382	0.03486	Landrace/Maize
CHG	2	34252740	34252975	4.20E-13	-0.411864	9	4.30E-14	3.70E-19	0.49544	0.9073	Landrace/Maize
CHG	2	48106911	48108533	7.70E-89	0.513818	49	2.40E-14	6.80E-95	0.73741	0.22359	Landrace/Maize
CHG	2	89196067	89196199	5.80E-15	0.519988	8	4.30E-14	5.10E-21	0.70968	0.18969	Landrace/Maize
CHG	2	94636700	94636912	1.30E-06	0.422204	9	4.20E-14	1.10E-12	0.70429	0.28209	Landrace/Maize
CHG	2	103115701	103115961	3.00E-19	0.439483	11	4.30E-14	2.70E-25	0.4479	0.0084164	Landrace/Maize
CHG	2	104049646	104049911	8.10E-19	0.497639	13	4.00E-14	7.20E-25	0.77548	0.27784	Landrace/Maize
CHG	2	110318205	110318487	2.70E-18	0.444451	12	4.40E-14	2.40E-24	0.526	0.081551	Landrace/Maize
CHG	2	114956826	114957332	6.50E-10	0.426728	8	4.40E-14	5.70E-16	0.54358	0.11685	Landrace/Maize
CHG	2	117110301	117110703	8.60E-29	0.482112	24	5.10E-14	7.60E-35	0.76806	0.28595	Landrace/Maize
CHG	2	125611629	125611912	1.80E-17	-0.455305	18	4.30E-14	1.60E-23	0.082959	0.53826	Landrace/Maize
CHG	2	126489862	126489921	7.80E-03	-0.400775	8	4.20E-14	6.80E-09	0.08428	0.48505	Landrace/Maize
CHG	2	128326930	128327138	3.80E-15	0.565461	9	4.10E-14	3.40E-21	0.73382	0.16836	Landrace/Maize
CHG	2	135104731	135105275	1.70E-33	0.456294	19	4.30E-14	1.50E-39	0.46509	0.0087965	Landrace/Maize
CHG	2	139515383	139515683	2.00E-57	0.622561	21	3.50E-14	1.80E-63	0.69789	0.075331	Landrace/Maize
CHG	2	139519476	139519708	5.90E-29	0.557912	14	4.20E-14	5.20E-35	0.69497	0.13706	Landrace/Maize
CHG	2	142691435	142691598	0.00023	0.4054	8	3.70E-12	2.00E-10	0.63692	0.23152	Landrace/Maize
CHG	2	143409747	143410222	2.20E-11	0.40037	15	4.50E-14	2.00E-17	0.65682	0.25645	Landrace/Maize
CHG	2	144886961	144887586	2.90E-52	0.463366	38	4.20E-14	2.50E-58	0.67936	0.216	Landrace/Maize
CHG	2	145976144	145976340	1.60E-10	0.420203	10	4.00E-14	1.40E-16	0.61744	0.19724	Landrace/Maize
CHG	2	166468098	166468196	5.40E-22	0.729092	8	5.00E-14	4.80E-28	0.85794	0.12885	Landrace/Maize
CHG	2	173440709	173440969	6.00E-28	0.519415	18	4.60E-14	5.30E-34	0.61436	0.09495	Landrace/Maize
CHG	2	177640610	177640769	1.00E-16	0.40657	13	4.50E-14	8.90E-23	0.48753	0.080964	Landrace/Maize
CHG	2	187315126	187315288	7.70E-09	0.44978	8	1.70E-13	6.80E-15	0.57921	0.12943	Landrace/Maize
CHG	2	216486709	216486819	8.60E-16	0.640224	8	4.40E-14	7.60E-22	0.74499	0.10477	Landrace/Maize
CHG	2	217688636	217689141	2.40E-09	0.440358	10	4.10E-14	2.10E-15	0.74722	0.30687	Landrace/Maize
CHG	2	222144315	222144541	1.70E-11	0.488564	11	4.50E-14	1.50E-17	0.86083	0.37226	Landrace/Maize
CHG	2	222182173	222182346	3.60E-22	0.568507	10	3.90E-14	3.20E-28	0.714	0.1455	Landrace/Maize
CHG	2	230466454	230466507	4.80E-12	0.434198	8	4.70E-14	4.20E-18	0.88321	0.44901	Landrace/Maize
CHG	2	234009886	234010230	1.30E-19	0.493606	15	4.30E-14	1.10E-25	0.82568	0.33208	Landrace/Maize
CHG	2	234010848	234011046	2.90E-11	0.403493	10	4.70E-14	2.50E-17	0.67265	0.26915	Landrace/Maize
CHG	2	236272672	236272806	8.20E-13	0.476363	8	4.30E-14	7.20E-19	0.68194	0.20558	Landrace/Maize
CHG	2	237903597	237904133	4.40E-60	0.427331	30	4.30E-14	3.90E-66	0.53941	0.11208	Landrace/Maize
CHG	2	243876203	243876500	3.80E-35	-0.485645	17	4.00E-14	3.40E-41	0.16617	0.65181	Landrace/Maize
CHG	3	6185036	6185342	6.50E-08	0.420941	9	4.80E-12	5.70E-14	0.48085	0.059907	Landrace/Maize
CHG	3	12025249	12025553	4.80E-18	0.429971	12	4.50E-14	4.30E-24	0.62868	0.19871	Landrace/Maize
CHG	3	12025858	12026291	1.80E-26	0.461887	21	3.80E-14	1.60E-32	0.68119	0.2193	Landrace/Maize
CHG	3	50814825	50815190	5.70E-21	0.495863	16	4.10E-14	5.00E-27	0.80151	0.30564	Landrace/Maize
CHG	3	57176792	57177109	4.50E-16	0.500103	10	4.50E-14	4.00E-22	0.64888	0.14878	Landrace/Maize
CHG	3	57177738	57178098	1.20E-10	0.460761	9	4.80E-14	1.10E-16	0.55577	0.095007	Landrace/Maize
CHG	3	63018810	63018995	6.00E-06	0.45094	9	4.70E-14	5.30E-12	0.72004	0.2691	Landrace/Maize
CHG	3	81214562	81214822	1.50E-18	0.451535	15	4.20E-14	1.30E-24	0.75885	0.30731	Landrace/Maize
CHG	3	87052121	87052252	2.80E-11	0.400504	9	4.70E-14	2.50E-17	0.62042	0.21991	Landrace/Maize
CHG	3	107577422	107577744	7.80E-04	0.413182	9	4.70E-14	6.90E-10	0.83475	0.42156	Landrace/Maize
