Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	mean_Maize	mean_Lan	Compare
CG	2	107986028	107986169	5.90E-09	0.559447	8	4.50E-14	8.30E-15	0.84416	0.28472	landrace/maize
CG	2	117110240	117110672	1.00E-25	0.583984	17	4.00E-14	1.50E-31	0.91535	0.33137	landrace/maize
CG	2	128326949	128327118	2.90E-10	0.649973	6	4.20E-14	4.10E-16	0.88019	0.23022	landrace/maize
CG	2	135104845	135105241	2.40E-46	0.511345	21	5.20E-14	3.40E-52	0.51561	0.004266	landrace/maize
CG	2	139515378	139515709	3.40E-58	0.767158	20	5.20E-14	4.90E-64	0.87797	0.11082	landrace/maize
CG	2	143410010	143410223	1.50E-23	0.607924	12	5.10E-14	2.00E-29	0.77953	0.1716	landrace/maize
CG	2	144887054	144887587	1.20E-44	0.511224	34	4.00E-14	1.70E-50	0.78178	0.27055	landrace/maize
CG	2	203859434	203860003	6.20E-103	0.554523	34	2.70E-14	8.70E-109	0.55968	0.0051564	landrace/maize
CG	2	216663974	216664094	0.00013	0.492185	6	4.10E-13	1.80E-10	0.89334	0.40115	landrace/maize
CG	2	225124144	225124447	3.00E-05	0.434421	8	2.50E-12	4.20E-11	0.84715	0.41273	landrace/maize
CG	2	225335682	225336188	5.80E-33	0.555726	15	4.00E-14	8.20E-39	0.72134	0.16562	landrace/maize
CG	2	226994561	226994848	7.00E-20	0.45842	16	4.50E-14	9.80E-26	0.60028	0.14186	landrace/maize
CG	2	229625794	229626238	1.10E-47	0.511314	24	4.50E-14	1.50E-53	0.68475	0.17344	landrace/maize
CG	2	243876208	243876515	1.00E-16	-0.569761	8	4.20E-14	1.40E-22	0.26473	0.83449	landrace/maize
CG	3	6185045	6185343	4.60E-06	0.464301	6	3.60E-13	6.40E-12	0.5304	0.066096	landrace/maize
CG	3	12025873	12026135	2.40E-10	0.476701	10	4.70E-14	3.40E-16	0.74368	0.26698	landrace/maize
CG	3	15662380	15662486	2.00E-06	0.421394	10	1.10E-12	2.90E-12	0.83015	0.40876	landrace/maize
CG	3	50816607	50816911	3.10E-06	0.488778	6	1.00E-12	4.40E-12	0.69937	0.21059	landrace/maize
CG	3	57177757	57178046	2.90E-08	0.519963	6	4.40E-14	4.10E-14	0.61005	0.090088	landrace/maize
CG	3	71475141	71475871	1.00E-15	0.402064	20	4.00E-14	1.40E-21	0.72454	0.32247	landrace/maize
CG	3	74796329	74796529	2.00E-15	0.472141	14	4.20E-14	2.90E-21	0.65804	0.1859	landrace/maize
CG	3	76711011	76711270	8.70E-19	-0.493274	16	4.20E-14	1.20E-24	0.05111	0.54438	landrace/maize
CG	3	77713837	77713932	0.0049	0.443654	7	4.80E-14	6.90E-09	0.90239	0.45874	landrace/maize
CG	3	103149920	103150203	2.50E-14	0.515195	10	4.00E-14	3.60E-20	0.60297	0.087775	landrace/maize
CG	3	107079691	107079783	0.00026	0.411773	10	4.60E-14	3.70E-10	0.89221	0.48043	landrace/maize
CG	3	111640876	111640967	4.60E-09	0.6071	6	4.70E-14	6.50E-15	0.87257	0.26547	landrace/maize
CG	3	125451436	125452111	3.80E-44	0.445508	41	4.10E-14	5.40E-50	0.46789	0.022378	landrace/maize
CG	3	126130983	126131183	7.00E-07	-0.400885	12	5.00E-14	9.90E-13	0.045142	0.44603	landrace/maize
CG	3	189131053	189131316	7.60E-17	0.554246	13	3.70E-14	1.10E-22	0.88893	0.33469	landrace/maize
CG	3	206423282	206423446	5.10E-05	0.419103	10	4.30E-14	7.20E-11	0.88671	0.46761	landrace/maize
CG	3	215471486	215471615	2.80E-15	-0.423275	16	4.40E-14	4.00E-21	0.12822	0.5515	landrace/maize
CG	3	218374580	218374757	3.10E-47	0.834056	13	5.60E-14	4.40E-53	0.91383	0.079774	landrace/maize
CG	4	1397617	1397746	1.50E-06	0.522521	7	4.40E-14	2.20E-12	0.85724	0.33472	landrace/maize
CG	4	8382388	8382606	3.20E-18	0.437232	17	4.10E-14	4.50E-24	0.52273	0.085497	landrace/maize
CG	4	10208941	10209041	4.60E-06	-0.490885	6	2.20E-08	6.50E-12	0.34749	0.83837	landrace/maize
CG	4	15081584	15081762	9.20E-18	0.44437	10	3.90E-14	1.30E-23	0.50479	0.060419	landrace/maize
CG	4	40262759	40263137	6.70E-37	0.652308	17	4.70E-14	9.50E-43	0.65935	0.0070455	landrace/maize
CG	4	42909776	42909984	2.20E-23	0.740021	9	3.90E-14	3.10E-29	0.88463	0.14461	landrace/maize
CG	4	46422096	46422396	2.40E-14	-0.419638	13	4.20E-14	3.40E-20	0.32926	0.7489	landrace/maize
CG	4	46655684	46655815	3.40E-15	0.644549	6	4.10E-14	4.80E-21	0.76311	0.11856	landrace/maize
CG	4	52872588	52872786	0.00015	0.493597	7	4.50E-14	2.20E-10	0.66147	0.16788	landrace/maize
CG	4	109452241	109452346	1.30E-10	-0.505858	6	4.20E-14	1.80E-16	0.33639	0.84225	landrace/maize
CG	4	111365490	111365848	1.60E-38	0.572582	21	3.90E-14	2.20E-44	0.77151	0.19892	landrace/maize
CG	4	112110033	112110341	1.00E-32	-0.437885	29	4.80E-14	1.40E-38	0.21584	0.65372	landrace/maize
CG	4	113426410	113426561	4.80E-20	0.422171	9	4.50E-14	6.70E-26	0.79733	0.37516	landrace/maize
CG	4	114444230	114444484	5.30E-09	0.450379	11	4.40E-14	7.50E-15	0.72735	0.27697	landrace/maize
CG	4	115211393	115211659	2.80E-14	-0.570571	8	4.30E-14	4.00E-20	0.31888	0.88945	landrace/maize
CG	4	115249927	115250253	6.70E-14	-0.422139	13	4.10E-14	9.40E-20	0.30129	0.72343	landrace/maize
CG	4	115253144	115253682	7.60E-35	-0.511915	19	4.10E-14	1.10E-40	0.32895	0.84086	landrace/maize
CG	4	118888895	118889046	2.90E-06	0.462888	8	4.60E-14	4.00E-12	0.75418	0.29129	landrace/maize
CG	4	118997629	118997757	3.60E-51	0.762581	17	5.30E-14	5.10E-57	0.91892	0.15634	landrace/maize
CG	4	119744221	119744760	4.50E-45	0.522275	24	4.00E-14	6.30E-51	0.55821	0.035934	landrace/maize
CG	4	149924500	149924718	8.20E-14	0.495476	12	4.70E-14	1.10E-19	0.79578	0.3003	landrace/maize
CG	4	156140908	156141364	1.30E-86	0.569244	42	5.20E-14	1.80E-92	0.58331	0.014064	landrace/maize
CG	4	156989589	156989669	6.70E-14	-0.638667	6	4.40E-14	9.50E-20	0.25056	0.88923	landrace/maize
CG	4	166646237	166646462	7.30E-24	0.410302	18	4.50E-14	1.00E-29	0.88926	0.47896	landrace/maize
CG	4	168774738	168774849	5.20E-11	0.612383	6	4.60E-14	7.30E-17	0.76432	0.15193	landrace/maize
CG	4	177772690	177773071	1.30E-13	0.556706	11	4.10E-14	1.90E-19	0.72227	0.16557	landrace/maize
CG	4	179290798	179290923	3.60E-05	0.429447	8	4.60E-14	5.10E-11	0.75518	0.32573	landrace/maize
CG	4	184389433	184389624	1.30E-18	0.614629	8	4.20E-14	1.90E-24	0.6388	0.024171	landrace/maize
CG	4	209238773	209238918	1.60E-13	0.68714	6	4.40E-14	2.30E-19	0.86195	0.17481	landrace/maize
CG	4	209506998	209507207	1.90E-14	0.599221	10	4.40E-14	2.70E-20	0.73844	0.13921	landrace/maize
CG	4	217656752	217656889	4.10E-13	0.580607	9	4.70E-14	5.70E-19	0.85034	0.26974	landrace/maize
CG	4	225039414	225039600	6.90E-21	0.468652	12	4.50E-14	9.70E-27	0.66132	0.19267	landrace/maize
CG	4	226181699	226181959	1.80E-18	0.622305	11	4.70E-14	2.50E-24	0.78145	0.15914	landrace/maize
CG	4	229255441	229255509	6.10E-10	0.627371	6	4.30E-14	8.60E-16	0.85492	0.22755	landrace/maize
CG	5	12563	12746	6.40E-22	0.465258	22	3.90E-14	9.00E-28	0.81006	0.34481	landrace/maize
CG	5	1653063	1653161	1.20E-10	0.511065	8	4.30E-14	1.70E-16	0.724	0.21294	landrace/maize
CG	5	1653423	1653576	4.80E-15	0.499144	8	4.30E-14	6.70E-21	0.59759	0.098451	landrace/maize
CG	5	7727914	7727962	0.0032	0.49382	6	1.70E-10	4.40E-09	0.92937	0.43555	landrace/maize
CG	5	23539381	23539601	6.30E-09	0.401977	12	4.50E-14	8.80E-15	0.81623	0.41425	landrace/maize
CG	5	45878985	45879426	1.30E-11	0.434301	13	4.20E-14	1.90E-17	0.88549	0.45119	landrace/maize
CG	5	54241897	54241996	1.90E-07	0.449514	9	1.10E-11	2.60E-13	0.8703	0.42079	landrace/maize
CG	5	85650347	85650495	5.30E-10	0.434726	11	4.10E-14	7.40E-16	0.73838	0.30366	landrace/maize
CG	5	85650727	85650836	2.50E-07	0.431516	9	4.40E-14	3.50E-13	0.52963	0.098112	landrace/maize
CG	5	86309728	86309958	1.90E-06	0.435685	9	4.80E-14	2.60E-12	0.81285	0.37717	landrace/maize
CG	5	120621682	120621841	1.80E-10	0.419637	12	4.40E-14	2.50E-16	0.76614	0.34651	landrace/maize
CG	5	121338937	121339039	0.026	0.403406	9	2.20E-12	3.70E-08	0.88577	0.48236	landrace/maize
CG	5	127466162	127466356	2.30E-14	0.451941	13	4.20E-14	3.20E-20	0.56744	0.11549	landrace/maize
CG	5	128733898	128734031	5.90E-25	-0.598428	15	3.70E-14	8.30E-31	0.04517	0.6436	landrace/maize
CG	5	166583675	166584329	1.50E-40	0.575711	22	3.70E-14	2.10E-46	0.65349	0.077779	landrace/maize
CG	5	191474988	191475094	0.00029	0.474901	6	1.40E-10	4.00E-10	0.68514	0.21024	landrace/maize
CG	5	191540990	191541114	1.80E-14	0.483212	9	4.20E-14	2.50E-20	0.56569	0.082481	landrace/maize
CG	5	203834309	203834376	2.60E-14	0.722225	6	4.30E-14	3.70E-20	0.86769	0.14547	landrace/maize
CG	5	209492947	209493183	0.0011	0.403421	8	4.60E-14	1.60E-09	0.91389	0.51047	landrace/maize
CG	5	214792411	214792556	6.10E-10	-0.412833	9	8.60E-12	8.60E-16	0.33368	0.74652	landrace/maize
CG	5	216129430	216129579	5.60E-11	-0.52742	6	4.20E-14	7.90E-17	0.29973	0.82715	landrace/maize
CG	5	216135307	216135382	7.70E-17	-0.50295	7	4.10E-14	1.10E-22	0.22526	0.72821	landrace/maize
CG	6	6265712	6265936	7.40E-07	0.421976	8	5.90E-14	1.00E-12	0.6374	0.21543	landrace/maize
CG	6	27642342	27642626	7.40E-12	0.556362	10	4.20E-14	1.00E-17	0.86984	0.31348	landrace/maize
CG	6	31471315	31471446	0.0013	0.410079	7	6.90E-14	1.80E-09	0.84164	0.43156	landrace/maize
CG	6	38595247	38595674	1.40E-22	-0.626911	10	4.50E-14	1.90E-28	0.20709	0.834	landrace/maize
CG	6	50123068	50123257	1.10E-23	0.524958	12	4.20E-14	1.50E-29	0.52985	0.0048968	landrace/maize
CG	6	50974024	50974347	4.70E-14	0.425623	17	8.10E-13	6.60E-20	0.50318	0.07756	landrace/maize
CG	6	55607323	55607466	1.20E-17	0.498014	11	4.30E-14	1.60E-23	0.6104	0.11239	landrace/maize
CG	6	56764787	56764967	0.00018	0.405508	10	1.80E-12	2.60E-10	0.78389	0.37838	landrace/maize
CG	6	61207853	61208769	1.10E-82	0.45261	54	5.00E-14	1.60E-88	0.70916	0.25655	landrace/maize
CG	6	85045330	85045550	5.00E-24	0.481599	15	4.50E-14	7.00E-30	0.64126	0.15966	landrace/maize
CG	6	89251232	89251385	6.10E-15	0.639293	8	4.00E-14	8.50E-21	0.68279	0.043494	landrace/maize
CG	6	92255925	92256105	5.80E-32	0.783967	10	4.70E-14	8.20E-38	0.8826	0.098635	landrace/maize
CG	6	96572051	96572406	1.00E-65	0.656106	26	4.80E-14	1.40E-71	0.79162	0.13552	landrace/maize
CG	6	123788663	123788851	3.30E-14	0.637183	9	4.30E-14	4.60E-20	0.89801	0.26082	landrace/maize
CG	6	128376569	128376655	1.10E-05	0.451956	8	4.20E-14	1.50E-11	0.86843	0.41647	landrace/maize
CG	6	146683473	146683685	3.10E-34	0.496424	18	4.50E-14	4.30E-40	0.63144	0.13502	landrace/maize
CG	6	169165520	169165693	1.60E-10	0.572566	8	4.40E-14	2.20E-16	0.8203	0.24773	landrace/maize
CG	7	2075479	2075573	2.50E-08	0.587873	6	1.20E-13	3.50E-14	0.86849	0.28061	landrace/maize
CG	7	18719965	18720192	8.00E-35	0.481195	22	5.00E-14	1.10E-40	0.63494	0.15374	landrace/maize
CG	7	62761820	62762345	1.30E-08	-0.420414	10	5.70E-14	1.90E-14	0.33855	0.75896	landrace/maize
CG	7	64772248	64772715	3.30E-22	-0.469152	18	4.40E-14	4.70E-28	0.3182	0.78735	landrace/maize
CG	7	74296297	74296389	5.90E-18	0.718698	7	4.30E-14	8.30E-24	0.80112	0.082418	landrace/maize
CG	7	81250761	81250904	8.70E-07	0.40662	9	6.20E-14	1.20E-12	0.75104	0.34441	landrace/maize
CG	7	113839160	113839393	2.40E-24	0.52223	14	4.20E-14	3.40E-30	0.73842	0.21619	landrace/maize
CG	7	126962341	126962617	3.70E-13	0.435298	13	4.00E-14	5.20E-19	0.8304	0.3951	landrace/maize
CG	7	131541874	131542092	1.50E-28	0.527474	16	4.90E-14	2.10E-34	0.88682	0.35934	landrace/maize
CG	7	155447763	155447948	8.20E-20	-0.523076	15	4.80E-14	1.20E-25	0.19891	0.72199	landrace/maize
CG	7	179674589	179674653	0.47	0.414371	6	3.30E-09	6.60E-07	0.79407	0.3797	landrace/maize
CG	8	15270200	15270291	6.40E-22	0.672355	11	4.10E-14	9.00E-28	0.68074	0.0083854	landrace/maize
CG	8	21774263	21774348	0.27	0.404874	6	4.30E-09	3.80E-07	0.76543	0.36056	landrace/maize
CG	8	25523290	25523361	2.40E-17	0.74983	6	4.00E-14	3.40E-23	0.86476	0.11493	landrace/maize
CG	8	25663392	25663491	4.60E-11	0.612652	6	4.10E-14	6.50E-17	0.72947	0.11682	landrace/maize
CG	8	29783322	29783531	1.80E-08	0.598294	6	4.30E-14	2.60E-14	0.85545	0.25716	landrace/maize
CG	8	30510960	30511062	3.90E-17	0.641038	9	4.20E-14	5.50E-23	0.9096	0.26856	landrace/maize
CG	8	47411707	47411908	1.30E-21	-0.517679	17	4.20E-14	1.90E-27	0.12342	0.6411	landrace/maize
CG	8	71203680	71203815	0.0004	0.483474	6	7.60E-13	5.60E-10	0.80349	0.32001	landrace/maize
CG	8	73468304	73468796	4.60E-29	-0.460676	25	4.20E-14	6.50E-35	0.16005	0.62072	landrace/maize
CG	8	74549617	74549903	2.10E-28	0.487346	19	5.00E-14	3.00E-34	0.77358	0.28624	landrace/maize
CG	8	75153429	75153558	1.40E-13	0.568857	10	4.40E-14	2.00E-19	0.57753	0.0086737	landrace/maize
CG	8	99276375	99276517	9.90E-27	0.627488	11	4.10E-14	1.40E-32	0.8134	0.18591	landrace/maize
CG	8	99808092	99808270	3.00E-25	0.505089	17	4.10E-14	4.30E-31	0.7029	0.19781	landrace/maize
CG	8	101994724	101994946	9.50E-17	0.514139	12	4.60E-14	1.30E-22	0.65202	0.13789	landrace/maize
CG	8	154843895	154843986	3.60E-09	0.494731	7	4.30E-14	5.10E-15	0.63277	0.13804	landrace/maize
CG	8	158869261	158869425	9.60E-28	-0.481222	14	4.20E-14	1.30E-33	0.19872	0.67994	landrace/maize
CG	8	163757374	163757503	1.60E-05	0.43478	8	2.60E-12	2.30E-11	0.6922	0.25742	landrace/maize
CG	9	1462127	1462524	6.00E-22	0.454895	21	4.20E-14	8.50E-28	0.48879	0.033899	landrace/maize
CG	9	20087636	20087816	0.0025	0.401512	7	6.40E-14	3.50E-09	0.52658	0.12507	landrace/maize
CG	9	36416231	36416359	1.40E-13	0.527625	11	4.00E-14	1.90E-19	0.82419	0.29657	landrace/maize
CG	9	61838989	61839105	9.20E-15	0.475475	11	4.60E-14	1.30E-20	0.88453	0.40906	landrace/maize
CG	9	68066594	68067048	9.40E-21	-0.407534	20	4.60E-14	1.30E-26	0.34429	0.75183	landrace/maize
CG	9	77077500	77077735	1.10E-16	0.722074	7	4.70E-14	1.50E-22	0.86098	0.13891	landrace/maize
CG	9	88223752	88223846	7.30E-10	0.531471	8	4.40E-14	1.00E-15	0.7809	0.24943	landrace/maize
CG	9	89465935	89466145	8.10E-57	0.775429	15	4.50E-14	1.10E-62	0.78742	0.011987	landrace/maize
CG	9	109521423	109521629	1.90E-15	-0.419609	16	4.40E-14	2.70E-21	0.14134	0.56095	landrace/maize
CG	9	111695052	111695199	7.70E-11	0.591396	6	4.50E-14	1.10E-16	0.59392	0.0025216	landrace/maize
CG	9	119362624	119363049	3.50E-49	-0.642434	20	4.50E-14	5.00E-55	0.2363	0.87873	landrace/maize
CG	9	119577929	119578151	0.0016	0.455762	8	3.60E-11	2.20E-09	0.56313	0.10737	landrace/maize
CG	9	120589400	120589587	1.30E-12	-0.555591	9	4.70E-14	1.90E-18	0.0041728	0.55976	landrace/maize
CG	9	122465197	122465424	5.00E-14	0.423889	11	4.20E-14	7.00E-20	0.57118	0.14729	landrace/maize
CG	9	136877114	136877656	1.00E-46	0.432405	30	3.70E-14	1.40E-52	0.57857	0.14617	landrace/maize
CG	9	137824680	137825296	8.60E-45	0.447397	40	3.90E-14	1.20E-50	0.69072	0.24333	landrace/maize
CG	9	154449582	154449861	4.00E-15	0.41939	13	3.90E-14	5.70E-21	0.48207	0.062677	landrace/maize
CG	9	155229792	155229911	2.00E-39	0.840387	11	3.70E-14	2.80E-45	0.92497	0.084578	landrace/maize
CG	9	155596413	155596503	4.00E-07	0.458099	6	4.10E-14	5.60E-13	0.70492	0.24682	landrace/maize
CG	10	32816274	32816515	5.30E-28	-0.610838	14	4.30E-14	7.50E-34	0.20562	0.81646	landrace/maize
CG	10	34972078	34972139	1.60E-06	0.509525	7	4.70E-12	2.20E-12	0.90824	0.39872	landrace/maize
CG	10	44089426	44090131	1.80E-56	0.553751	34	5.70E-14	2.50E-62	0.8703	0.31655	landrace/maize
CG	10	44606303	44606578	1.20E-08	-0.500411	6	4.80E-14	1.70E-14	0.39424	0.89465	landrace/maize
CG	10	48844713	48844781	1.30E-10	0.459106	6	4.50E-14	1.90E-16	0.7179	0.2588	landrace/maize
CG	10	51537551	51538517	3.20E-43	-0.498094	34	4.60E-14	4.50E-49	0.13715	0.63524	landrace/maize
CG	10	51688946	51689110	7.20E-17	-0.689742	7	4.50E-14	1.00E-22	0.093522	0.78326	landrace/maize
CG	10	54996716	54996895	0.00019	0.416147	6	5.20E-07	2.70E-10	0.43789	0.021739	landrace/maize
CG	10	56649945	56650045	2.70E-09	0.401503	12	4.50E-14	3.80E-15	0.68961	0.28811	landrace/maize
CG	10	67238772	67238939	6.50E-27	0.724068	11	3.90E-14	9.10E-33	0.8623	0.13823	landrace/maize
CG	10	67245365	67245581	3.20E-67	0.75067	21	4.90E-14	4.50E-73	0.84124	0.090567	landrace/maize
CG	10	84502507	84502706	3.10E-57	0.786892	18	5.60E-14	4.30E-63	0.90064	0.11374	landrace/maize
CG	10	88853901	88854001	5.20E-08	0.470071	6	4.70E-14	7.40E-14	0.76944	0.29937	landrace/maize
CG	10	91847259	91847474	1.20E-27	-0.476379	18	4.60E-14	1.60E-33	0.23858	0.71496	landrace/maize
CG	10	105636445	105636698	5.50E-31	0.539755	20	4.40E-14	7.70E-37	0.88091	0.34115	landrace/maize
CG	10	105636899	105636987	1.80E-13	0.554907	10	4.60E-14	2.50E-19	0.90912	0.35421	landrace/maize
CG	10	106283381	106283491	2.10E-21	0.697816	7	4.60E-14	3.00E-27	0.90908	0.21126	landrace/maize
CG	10	110195408	110195624	4.90E-12	-0.42102	12	4.50E-14	6.90E-18	0.28525	0.70627	landrace/maize
CG	10	123091266	123091592	1.00E-45	0.496128	27	4.70E-14	1.40E-51	0.50598	0.009849	landrace/maize
CG	10	149388569	149388747	1.40E-07	0.448907	7	1.40E-13	2.00E-13	0.45569	0.0067794	landrace/maize
CG	10	149487789	149487910	8.80E-29	0.745328	10	4.10E-14	1.20E-34	0.81916	0.073832	landrace/maize
CG	10	149488205	149488364	1.30E-31	0.762183	11	4.10E-14	1.80E-37	0.8954	0.13322	landrace/maize
CG	10	150490223	150490509	1.90E-17	0.418844	16	4.70E-14	2.60E-23	0.7312	0.31235	landrace/maize
CG	10	150749964	150750133	4.40E-10	0.458194	12	4.60E-14	6.20E-16	0.8697	0.41151	landrace/maize
CHG	1	209391	209724	1.30E-19	0.4458	11	4.60E-14	1.10E-25	0.49559	0.049789	landrace/maize
CHG	1	17971787	17971940	1.70E-10	0.438439	9	4.30E-14	1.50E-16	0.62569	0.18725	landrace/maize
CHG	1	23271328	23271520	5.20E-08	0.610702	6	4.30E-14	4.50E-14	0.83549	0.22479	landrace/maize
CHG	1	23699357	23699584	1.20E-12	-0.465371	11	4.30E-14	1.10E-18	0.046463	0.51183	landrace/maize
CHG	1	23699852	23699992	6.20E-05	-0.424613	8	4.30E-14	5.40E-11	0.082465	0.50708	landrace/maize
CHG	1	34440810	34441037	8.60E-07	0.478624	8	4.00E-14	7.50E-13	0.7199	0.24128	landrace/maize
CHG	1	51120552	51120661	5.90E-06	0.439854	8	4.60E-14	5.10E-12	0.76193	0.32207	landrace/maize
CHG	1	71436607	71436757	5.50E-08	0.440377	8	4.50E-14	4.80E-14	0.78977	0.3494	landrace/maize
CHG	1	74751748	74751925	2.10E-09	0.543303	7	4.70E-14	1.80E-15	0.79173	0.24843	landrace/maize
CHG	1	106083227	106083461	1.50E-25	-0.549076	11	4.10E-14	1.30E-31	0.023281	0.57236	landrace/maize
CHG	1	111880247	111880812	2.50E-12	0.41055	16	4.30E-14	2.20E-18	0.59037	0.17982	landrace/maize
CHG	1	112682613	112682703	2.00E-22	0.631079	8	4.40E-14	1.70E-28	0.72228	0.091201	landrace/maize
CHG	1	123675452	123675815	3.40E-18	0.425473	14	4.70E-14	3.00E-24	0.65259	0.22712	landrace/maize
CHG	1	131452339	131452409	4.10E-06	-0.457025	6	6.90E-14	3.60E-12	0.19902	0.65605	landrace/maize
CHG	1	135668323	135669066	1.30E-81	0.480467	46	5.10E-14	1.10E-87	0.52657	0.046105	landrace/maize
CHG	1	158665040	158665450	1.90E-46	0.651659	18	5.20E-14	1.70E-52	0.76953	0.11787	landrace/maize
CHG	1	169226880	169226984	8.70E-07	0.488441	8	4.30E-14	7.60E-13	0.88159	0.39315	landrace/maize
CHG	1	180687663	180688061	4.00E-40	0.546625	19	3.70E-14	3.50E-46	0.67856	0.13193	landrace/maize
CHG	1	183531139	183531663	1.50E-41	0.425825	39	5.20E-14	1.30E-47	0.76575	0.33992	landrace/maize
CHG	1	199912380	199912518	3.40E-09	0.584742	6	4.20E-14	2.90E-15	0.86472	0.27998	landrace/maize
