DMR_Chr	DMR_Start	DMR_End	DMR_Comparison	DMR_Context	Gene_Chr	Gene_Start	Gene_End	Gene_Chain	Gene_ID	Gene_type	DMR_Gene_Overlap_size	Feature_Chr	Feature_Start	Feature_End	Feature	DMR_Feature_Overlap_size
2	53861787	53861979	Landrace/Maize	CG	2	53861070	53867710	-	Zm00001d003679	gene	192	2	53860075	53865074	Gene_up_5k	192
2	94636550	94636925	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	94631519	94637604	TE	375
2	94636550	94636925	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	94629839	94656462	TE	375
2	103115702	103115962	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	103114440	103139679	Intergenic	260
2	104049639	104049908	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	104047384	104052599	TE	269
2	104049639	104049908	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	104009342	104062040	TE	269
2	104049639	104049908	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	104006193	104074007	TE	269
2	107986028	107986169	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	107983332	107988331	Gene_up_5k	141
2	117110240	117110672	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	117107005	117112004	Gene_down_5k	432
2	135104845	135105241	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	135102481	135107480	Gene_up_5k	396
2	139515378	139515709	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	139515183	139520182	Gene_up_5k	331
2	139515378	139515709	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	139514011	139522603	TE	331
2	139515378	139515709	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	139463412	139523988	TE	331
2	143410010	143410223	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	143409300	143413178	Intergenic	213
2	144887054	144887587	Landrace/Maize	CG	2	144882980	144890090	-	Zm00001d004855	gene	533	NA	NA	NA	NA	NA
2	166116063	166116375	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	166105667	166117507	TE	312
2	173440759	173441215	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	173437164	173443637	Intergenic	456
2	203859434	203860003	Landrace/Maize	CG	2	203858974	203864535	+	Zm00001d006293	gene	569	2	203859208	203859494	Intron	60
2	203859434	203860003	Landrace/Maize	CG	2	203858974	203864535	+	Zm00001d006293	gene	569	2	203859208	203859494	Intron	60
2	203859434	203860003	Landrace/Maize	CG	2	203858974	203864535	+	Zm00001d006293	gene	569	2	203859495	203860267	Exon	508
2	203859434	203860003	Landrace/Maize	CG	2	203858974	203864535	+	Zm00001d006293	gene	569	2	203855906	203874141	TE	569
2	225124144	225124447	Landrace/Maize	CG	2	225121043	225124649	-	Zm00001d007223	gene	303	2	225122884	225124380	Intron	236
2	225124144	225124447	Landrace/Maize	CG	2	225121043	225124649	-	Zm00001d007223	gene	303	2	225119635	225124634	Gene_up_5k	303
2	225124144	225124447	Landrace/Maize	CG	2	225121043	225124649	-	Zm00001d007223	gene	303	2	225124381	225124649	Exon	66
2	225124144	225124447	Landrace/Maize	CG	2	225121043	225124649	-	Zm00001d007223	gene	303	2	225120126	225125125	Gene_down_5k	303
2	225124144	225124447	Landrace/Maize	CG	2	225121043	225124649	-	Zm00001d007223	gene	303	2	225123676	225128675	Gene_up_5k	303
2	225335682	225336188	Landrace/Maize	CG	2	225334575	225336580	+	Zm00001d007233	gene	506	2	225335317	225336228	Exon	506
2	225335682	225336188	Landrace/Maize	CG	2	225334575	225336580	+	Zm00001d007233	gene	506	2	225331968	225336967	Gene_down_5k	506
2	225335682	225336188	Landrace/Maize	CG	2	225334575	225336580	+	Zm00001d007233	gene	506	2	225333028	225338027	Gene_down_5k	506
2	225335682	225336188	Landrace/Maize	CG	2	225334575	225336580	+	Zm00001d007233	gene	506	2	225324041	225341976	TE	506
2	226994561	226994848	Landrace/Maize	CG	2	226993299	227000388	-	Zm00001d007295	gene	287	2	226993299	226995170	Exon	287
2	226994561	226994848	Landrace/Maize	CG	2	226993299	227000388	-	Zm00001d007295	gene	287	2	226991261	226996260	Gene_down_5k	287
2	229625794	229626238	Landrace/Maize	CG	2	229613617	229626731	+	Zm00001d007357	gene	444	2	229625686	229626731	Exon	444
2	243876208	243876515	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	243872652	243891483	TE	307
3	12025873	12026135	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	12012094	12028666	TE	262
3	12025873	12026135	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	12000018	12032523	TE	262
3	15662380	15662486	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	15659397	15664024	Intergenic	106
3	50814266	50815179	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	50812940	50864095	TE	913
3	71475141	71475871	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	71472235	71482176	Intergenic	730
3	74796329	74796529	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	74788540	74819381	TE	200
3	76711011	76711270	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	76708406	76730662	TE	259
3	76711011	76711270	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	76701660	76746824	TE	259
3	103149920	103150203	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	103138224	103151400	Intergenic	283
3	107079691	107079783	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	107042453	107086663	TE	92
3	125451436	125452111	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	125449486	125453018	Intergenic	675
3	126130983	126131183	Landrace/Maize	CG	3	126130758	126132890	-	Zm00001d041536	gene	200	3	126130758	126132890	Exon	200
3	189131053	189131316	Landrace/Maize	CG	3	189129421	189137112	+	Zm00001d043094	gene	263	3	189130901	189131184	Exon	131
3	189131053	189131316	Landrace/Maize	CG	3	189129421	189137112	+	Zm00001d043094	gene	263	3	189131185	189131253	Intron	68
3	189131053	189131316	Landrace/Maize	CG	3	189129421	189137112	+	Zm00001d043094	gene	263	3	189131254	189131580	Exon	62
3	206423282	206423446	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	206421900	206424513	Intergenic	164
3	215471486	215471615	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	215468635	215473634	Gene_down_5k	129
3	218374580	218374757	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	3	218365066	218381174	TE	177
4	8382388	8382606	Landrace/Maize	CG	4	8382207	8382416	-	Zm00001d026743	ncRNA_gene	28	4	8382207	8382416	Exon	28
4	8382388	8382606	Landrace/Maize	CG	4	8382207	8382416	-	Zm00001d026743	ncRNA_gene	28	4	8382417	8387416	Gene_up_5k	189
4	15081584	15081762	Landrace/Maize	CG	4	15079550	15081862	+	Zm00001d049079	gene	178	4	15080960	15081862	Exon	178
4	40262759	40263137	Landrace/Maize	CG	4	40262262	40265308	-	Zm00001d049687	gene	378	4	40262262	40263165	Exon	378
4	42909776	42909984	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	42902667	42927030	TE	208
4	46422096	46422396	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	46418846	46424524	TE	300
4	46422096	46422396	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	46390135	46429310	TE	300
4	106058919	106059417	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	106044374	106127390	TE	498
4	111365490	111365848	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	111292931	111366978	TE	358
4	112110033	112110341	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	112090115	112134823	Intergenic	308
4	113426410	113426561	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	113422891	113427890	Gene_down_5k	151
4	113426410	113426561	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	113425122	113430121	Gene_down_5k	151
4	113426410	113426561	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	113422070	113431591	TE	151
4	113426410	113426561	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	113419518	113438852	TE	151
4	114444230	114444484	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	114443191	114447814	Intergenic	254
4	115211393	115211659	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	115207598	115212597	Gene_down_5k	266
4	115249927	115250253	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	115247754	115254035	Intergenic	326
4	115252782	115253682	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	115247754	115254035	Intergenic	900
4	118888895	118889046	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	118844638	118901151	TE	151
4	118997629	118997757	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	118995102	118999277	Intergenic	128
4	119744221	119744760	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	119730554	119747997	TE	539
4	119744221	119744760	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	119720225	119752631	TE	539
4	149924500	149924718	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	149923665	149924932	Intergenic	218
4	156140908	156141364	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	156139338	156159432	Intergenic	456
4	166646237	166646462	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	166633896	166648110	TE	225
4	166646237	166646462	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	166628492	166648136	TE	225
4	166646237	166646462	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	166646222	166651221	Gene_down_5k	225
4	177772690	177773071	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	177767357	177782097	Intergenic	381
4	184389433	184389624	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	184387621	184391832	TE	191
4	209506998	209507207	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	209506967	209510032	Intergenic	209
4	217656752	217656889	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	217655884	217662056	TE	137
4	217656752	217656889	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	217649671	217690257	TE	137
4	225039414	225039600	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	225038513	225043512	Gene_up_5k	186
4	225039414	225039600	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	225032938	225043799	TE	186
4	226181699	226181959	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	226168538	226181935	Intergenic	236
4	226181699	226181959	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	4	226181936	226186935	Gene_down_5k	23
5	12226	12746	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	11228	27367	Intergenic	520
5	1653063	1653576	Landrace/Maize	CG	5	1642983	1653530	+	Zm00001d012892	gene	467	5	1653531	1658530	Gene_down_5k	45
5	23539381	23539601	Landrace/Maize	CG	5	23536538	23540265	+	Zm00001d013873	gene	220	5	23539219	23539832	Exon	220
5	23539381	23539601	Landrace/Maize	CG	5	23536538	23540265	+	Zm00001d013873	gene	220	5	23534888	23539887	Gene_down_5k	220
5	23539381	23539601	Landrace/Maize	CG	5	23536538	23540265	+	Zm00001d013873	gene	220	5	23536889	23541888	Gene_up_5k	220
5	45878985	45879426	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	45878399	45885597	Intergenic	441
5	54241897	54241996	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	54240714	54260798	TE	99
5	85650347	85650836	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	85614330	85660980	TE	489
5	86309728	86309958	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	86307926	86312925	Gene_down_5k	230
5	86309728	86309958	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	86309723	86314722	Gene_down_5k	230
5	120621682	120621841	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	120618880	120623705	Intergenic	159
5	121338937	121339039	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	121338700	121343699	Gene_down_5k	102
5	127466162	127466356	Landrace/Maize	CG	5	127466210	127466782	-	Zm00001d015872	gene	146	5	127461210	127466209	Gene_down_5k	47
5	127466162	127466356	Landrace/Maize	CG	5	127466210	127466782	-	Zm00001d015872	gene	146	5	127466210	127466462	Exon	146
5	127466162	127466356	Landrace/Maize	CG	5	127466210	127466782	-	Zm00001d015872	gene	146	5	127463462	127468461	Gene_up_5k	194
5	127466162	127466356	Landrace/Maize	CG	5	127466210	127466782	-	Zm00001d015872	gene	146	5	127465456	127470455	Gene_down_5k	194
5	128733898	128734031	Landrace/Maize	CG	5	128733433	128735702	-	Zm00001d015884	gene	133	5	128733433	128735702	Exon	133
5	128733898	128734031	Landrace/Maize	CG	5	128733433	128735702	-	Zm00001d015884	gene	133	5	128702892	128801159	TE	133
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166583556	166583712	Intron	37
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166583556	166583712	Intron	37
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166583713	166584211	Exon	498
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166579680	166584679	Gene_down_5k	654
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166584212	166589211	Gene_down_5k	117
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166582680	166589250	TE	654
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166580418	166601856	TE	654
5	166583675	166584329	Landrace/Maize	CG	5	166583492	166584211	+	Zm00001d016532	gene	536	5	166578189	166607382	TE	654
5	191540990	191541114	Landrace/Maize	CG	5	191539072	191541219	+	Zm00001d017279	gene	124	5	191539072	191541219	Exon	124
5	209492947	209493183	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	5	209491108	209496107	Gene_down_5k	236
6	6265712	6265936	Landrace/Maize	CG	6	6263975	6266626	+	Zm00001d035124	gene	224	6	6265702	6265953	Exon	224
6	6265712	6265936	Landrace/Maize	CG	6	6263975	6266626	+	Zm00001d035124	gene	224	6	6262418	6267417	Gene_down_5k	224
6	6265712	6265936	Landrace/Maize	CG	6	6263975	6266626	+	Zm00001d035124	gene	224	6	6262418	6267417	Gene_down_5k	224
6	6265712	6265936	Landrace/Maize	CG	6	6263975	6266626	+	Zm00001d035124	gene	224	6	6262547	6267546	Gene_down_5k	224
6	6265712	6265936	Landrace/Maize	CG	6	6263975	6266626	+	Zm00001d035124	gene	224	6	6253991	6272262	TE	224
6	27642342	27642626	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	27630932	27644130	TE	284
6	38595247	38595674	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	38595034	38606935	TE	427
6	38595247	38595674	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	38580031	38619090	TE	427
6	50123068	50123257	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	50112845	50125091	TE	189
6	50123068	50123257	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	50121440	50126439	Gene_down_5k	189
6	50974024	50974347	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	50965718	50983108	Intergenic	323
6	55607323	55607466	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	55605168	55607529	Intergenic	143
6	56764787	56764967	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	56754015	56773447	TE	180
6	56764787	56764967	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	56763407	56816491	TE	180
6	56764787	56764967	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	56755991	56820617	TE	180
6	61207853	61208769	Landrace/Maize	CG	6	61207143	61214618	-	Zm00001d035934	gene	916	6	61207698	61208621	Intron	768
6	61207853	61208769	Landrace/Maize	CG	6	61207143	61214618	-	Zm00001d035934	gene	916	6	61207698	61208621	Intron	768
6	61207853	61208769	Landrace/Maize	CG	6	61207143	61214618	-	Zm00001d035934	gene	916	6	61208622	61208753	Exon	131
6	85045330	85045550	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	85026244	85046100	TE	220
6	89251232	89251385	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	89238924	89257028	TE	153
6	92255925	92256105	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	92252942	92264446	TE	180
6	92255925	92256105	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	92236774	92271120	TE	180
6	92255925	92256105	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	92230578	92279042	TE	180
6	96572051	96572406	Landrace/Maize	CG	6	96564582	96572729	+	Zm00001d036655	gene	355	6	96568395	96573394	Gene_up_5k	355
6	123788663	123788851	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	123786605	123791604	Gene_down_5k	188
6	123788663	123788851	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	123787518	123792517	Gene_down_5k	188
6	128376569	128376655	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	6	128374622	128388950	TE	86
6	146683473	146683685	Landrace/Maize	CG	6	146680443	146684009	+	Zm00001d038063	gene	212	6	146678916	146683915	Gene_down_5k	212
6	146683473	146683685	Landrace/Maize	CG	6	146680443	146684009	+	Zm00001d038063	gene	212	6	146683411	146684009	Exon	212
6	169165520	169165693	Landrace/Maize	CG	6	169159820	169166340	+	Zm00001d039043	gene	173	6	169165457	169165544	Intron	24
6	169165520	169165693	Landrace/Maize	CG	6	169159820	169166340	+	Zm00001d039043	gene	173	6	169165545	169165804	Exon	148
6	169165520	169165693	Landrace/Maize	CG	6	169159820	169166340	+	Zm00001d039043	gene	173	6	169162038	169167037	Gene_up_5k	173
7	18719965	18720192	Landrace/Maize	CG	7	18719728	18721630	-	Zm00001d019138	gene	227	7	18719728	18721273	Exon	227
7	62761820	62762345	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	7	62761663	62771597	Intergenic	525
7	64772248	64772715	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	7	64762111	64778680	TE	467
7	81250761	81250904	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	7	81248640	81254190	TE	143
7	113839160	113839393	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	7	113837948	113842045	Intergenic	233
7	126962341	126962617	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	7	126957363	126964032	Intergenic	276
7	131541874	131542092	Landrace/Maize	CG	7	131540493	131548810	+	Zm00001d020760	gene	218	7	131541445	131546872	TE	218
7	131541874	131542092	Landrace/Maize	CG	7	131540493	131548810	+	Zm00001d020760	gene	218	7	131540773	131548280	Intron	218
7	131541874	131542092	Landrace/Maize	CG	7	131540493	131548810	+	Zm00001d020760	gene	218	7	131540773	131548280	Intron	218
7	131541874	131542092	Landrace/Maize	CG	7	131540493	131548810	+	Zm00001d020760	gene	218	7	131539859	131549338	TE	218
7	155447763	155447948	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	7	155447229	155452228	Gene_up_5k	185
7	155447763	155447948	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	7	155444467	155456360	TE	185
8	15270200	15270291	Landrace/Maize	CG	8	15268805	15270452	-	Zm00001d008630	gene	91	8	15270107	15270452	Exon	91
8	15270200	15270291	Landrace/Maize	CG	8	15268805	15270452	-	Zm00001d008630	gene	91	8	15267221	15272220	Gene_up_5k	91
8	30510960	30511062	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	30504146	30511737	TE	102
8	30510960	30511062	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	30466861	30523173	TE	102
8	30510960	30511062	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	30465375	30547136	TE	102
8	30510960	30511062	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	30463127	30552557	TE	102
8	47411707	47411908	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	47388186	47462411	TE	201
8	73468304	73468796	Landrace/Maize	CG	8	73467308	73468804	+	Zm00001d009618	gene	492	8	73467308	73468804	Exon	492
8	74549617	74549903	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	74536047	74551949	TE	286
8	75153429	75153558	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	75152433	75157432	Gene_up_5k	129
8	99276375	99276517	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	99273127	99278126	Gene_up_5k	142
8	99276375	99276517	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	99275678	99280677	Gene_up_5k	142
8	99276375	99276517	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	99274077	99298263	TE	142
8	99808092	99808270	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	99796855	99816006	TE	178
8	101994724	101994946	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	101994431	102031493	TE	222
8	101994724	101994946	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	101971378	102068226	TE	222
8	158869261	158869425	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	8	158860483	158869923	TE	164
