Chr_D	Start_D	End_D	Context	Comparison	Gene_D	Gene_D	Gene_D	Gene	Bin	Overlap_bp	POPA-POPB
1	34919558	34920043	CG	Teosinte/Maize	1	34919688	34919849	Zm00001d028433	bin20	161	0.467653
1	34921629	34922078	CG	Teosinte/Maize	1	34921402	34921901	Zm00001d028434	bin1	272	0.492931
1	34971533	34971743	CG	Teosinte/Maize	1	34971500	34972164	Zm00001d028438	bin12	210	-0.422175
1	36898441	36898592	CG	Teosinte/Maize	1	36898502	36898713	Zm00001d028493	bin14	90	-0.51825
1	48334050	48334332	CG	Teosinte/Maize	1	48333930	48334429	Zm00001d028841	bin3	282	0.400155
1	49361448	49361974	CG	Teosinte/Maize	1	49359523	49362907	Zm00001d028875	bin19	526	-0.422729
1	50506189	50506331	CG	Teosinte/Maize	1	50506252	50506328	Zm00001d028906	bin15	76	-0.494151
1	50506761	50506904	CG	Teosinte/Maize	1	50506711	50507210	Zm00001d028906	bin21	143	-0.472562
1	69844897	69845287	CG	Teosinte/Maize	1	69844489	69845587	Zm00001d029422	bin11	390	-0.410624
1	70217453	70217899	CG	Teosinte/Maize	1	70217162	70217862	Zm00001d029429	bin19	409	-0.579511
1	80851634	80852178	CG	Teosinte/Maize	1	80851875	80852374	Zm00001d029635	bin10	303	0.889715
1	87097379	87097543	CG	Teosinte/Maize	1	87097201	87097700	Zm00001d029792	bin21	164	0.535883
1	87469380	87469574	CG	Teosinte/Maize	1	87469429	87469928	Zm00001d029801	bin21	145	0.756029
1	95965622	95966550	CG	Teosinte/Maize	1	95965666	95965998	Zm00001d029946	bin18	332	-0.493939
1	98968472	98968824	CG	Teosinte/Maize	1	98968516	98968727	Zm00001d030010	bin19	211	-0.655557
1	104121606	104121821	CG	Teosinte/Maize	1	104121511	104122010	Zm00001d030079	bin6	215	0.487778
1	106122994	106123100	CG	Teosinte/Maize	1	106122675	106123174	Zm00001d030106	bin10	106	0.769337
1	108589990	108590312	CG	Teosinte/Maize	1	108590133	108590632	Zm00001d030143	bin7	179	0.70547
1	109471599	109471942	CG	Teosinte/Maize	1	109471643	109472142	Zm00001d030159	bin10	299	-0.417346
1	115465055	115465118	CG	Teosinte/Maize	1	115464769	115465268	Zm00001d030240	bin4	63	-0.667605
1	118122360	118122518	CG	Teosinte/Maize	1	118120963	118123239	Zm00001d030270	bin12	158	0.875744
1	118123239	118123758	CG	Teosinte/Maize	1	118123240	118125517	Zm00001d030270	bin11	518	0.525933
1	119488035	119488562	CG	Teosinte/Maize	1	119487300	119488556	Zm00001d030285	bin15	521	0.590114
1	140851632	140851811	CG	Teosinte/Maize	1	140851491	140851990	Zm00001d030517	bin22	179	0.56446
1	145680224	145680474	CG	Teosinte/Maize	1	145680251	145680281	Zm00001d030578	bin17	30	0.83744
1	154091849	154092124	CG	Teosinte/Maize	1	154091784	154091993	Zm00001d030697	bin13	144	0.69523
1	155197993	155198503	CG	Teosinte/Maize	1	155198077	155198536	Zm00001d030712	bin14	426	0.637977
1	159291821	159292274	CG	Teosinte/Maize	1	159291558	159292057	Zm00001d030777	bin9	236	0.567572
1	164365874	164366390	CG	Teosinte/Maize	1	164366073	164366572	Zm00001d030870	bin8	317	0.464101
1	166625235	166625937	CG	Teosinte/Maize	1	166625377	166625876	Zm00001d030901	bin27	499	-0.560595
1	175982994	175983352	CG	Teosinte/Maize	1	175983119	175983356	Zm00001d031073	bin11	233	-0.522409
1	176782820	176782972	CG	Teosinte/Maize	1	176782700	176783187	Zm00001d031091	bin20	152	-0.438136
1	177822149	177822367	CG	Teosinte/Maize	1	177822237	177822624	Zm00001d031115	bin19	130	0.437379
1	182828637	182828833	CG	Teosinte/Maize	1	182828388	182828887	Zm00001d031231	bin8	196	-0.478039
1	183244094	183244529	CG	Teosinte/Maize	1	183244041	183244540	Zm00001d031239	bin10	435	-0.531705
1	185476494	185477307	CG	Teosinte/Maize	1	185476806	185477305	Zm00001d031292	bin22	499	0.440177
1	185477986	185478310	CG	Teosinte/Maize	1	185477913	185478412	Zm00001d031291	bin26	324	0.464339
1	186736473	186737717	CG	Teosinte/Maize	1	186736745	186737244	Zm00001d031338	bin29	499	0.501581
1	190556939	190557386	CG	Teosinte/Maize	1	190556549	190557048	Zm00001d031453	bin21	109	-0.400876
1	192127373	192127535	CG	Teosinte/Maize	1	192127284	192127783	Zm00001d031502	bin9	162	0.482912
1	193316951	193317128	CG	Teosinte/Maize	1	193316957	193317151	Zm00001d031533	bin12	171	-0.413204
1	193699506	193699932	CG	Teosinte/Maize	1	193699435	193699934	Zm00001d031539	bin26	426	-0.562601
1	195673064	195673342	CG	Teosinte/Maize	1	195673192	195673742	Zm00001d031593	bin12	150	-0.482033
1	210710821	210711227	CG	Teosinte/Maize	1	210710895	210710990	Zm00001d032047	bin19	95	0.569302
1	214773234	214773351	CG	Teosinte/Maize	1	214772924	214773423	Zm00001d032159	bin8	117	0.776225
1	221570226	221570573	CG	Teosinte/Maize	1	221570223	221570519	Zm00001d032308	bin18	293	-0.473775
1	222266748	222267143	CG	Teosinte/Maize	1	222266803	222267115	Zm00001d032322	bin20	312	-0.536947
1	223973476	223973597	CG	Teosinte/Maize	1	223973089	223973588	Zm00001d032361	bin22	112	0.636969
1	224255690	224256001	CG	Teosinte/Maize	1	224255753	224256940	Zm00001d032373	bin11	248	-0.461956
1	227427478	227427611	CG	Teosinte/Maize	1	227427057	227427556	Zm00001d032459	bin23	78	0.471664
1	230246436	230247196	CG	Teosinte/Maize	1	230246808	230247307	Zm00001d032552	bin4	388	0.403857
1	233445672	233445944	CG	Teosinte/Maize	1	233445525	233446024	Zm00001d032662	bin4	272	0.4075
1	235475336	235475533	CG	Teosinte/Maize	1	235475178	235475677	Zm00001d032707	bin8	197	0.584966
1	238043915	238044317	CG	Teosinte/Maize	1	238044017	238044516	Zm00001d032784	bin23	300	0.483176
1	238131236	238131602	CG	Teosinte/Maize	1	238131262	238131761	Zm00001d032786	bin21	340	0.605182
1	238135354	238135612	CG	Teosinte/Maize	1	238134999	238135498	Zm00001d032786	bin6	144	0.673946
1	239713133	239713261	CG	Teosinte/Maize	1	239712773	239713272	Zm00001d032836	bin9	128	0.871742
1	245196471	245197502	CG	Teosinte/Maize	1	245196481	245196980	Zm00001d032976	bin9	499	0.657951
1	246988631	246989240	CG	Teosinte/Maize	1	246988831	246988964	Zm00001d033012	bin14	133	-0.436456
1	251438169	251438409	CG	Teosinte/Maize	1	251438006	251438505	Zm00001d033126	bin26	240	0.700038
1	259921997	259922381	CG	Teosinte/Maize	1	259922195	259922302	Zm00001d033351	bin19	107	0.413992
1	260859908	260860127	CG	Teosinte/Maize	1	260859859	260860358	Zm00001d033370	bin27	219	0.685317
1	262570959	262571091	CG	Teosinte/Maize	1	262570844	262571343	Zm00001d033419	bin30	132	-0.419574
1	267356793	267357099	CG	Teosinte/Maize	1	267356699	267357198	Zm00001d033572	bin28	306	0.412657
1	269309531	269309978	CG	Teosinte/Maize	1	269309355	269309854	Zm00001d033632	bin4	323	-0.732918
1	271709765	271710127	CG	Teosinte/Maize	1	271709453	271709952	Zm00001d033704	bin3	187	-0.496552
1	272130562	272131352	CG	Teosinte/Maize	1	272130493	272130992	Zm00001d033718	bin21	430	-0.748138
1	272678028	272678680	CG	Teosinte/Maize	1	272678240	272678525	Zm00001d033745	bin19	285	-0.42068
1	275588742	275589058	CG	Teosinte/Maize	1	275587985	275589342	Zm00001d033843	bin11	316	-0.409562
1	278895434	278898312	CG	Teosinte/Maize	1	278895679	278896178	Zm00001d033932	bin26	499	0.695664
1	284753189	284753269	CG	Teosinte/Maize	1	284752873	284753261	Zm00001d034133	bin12	72	-0.427669
1	287657346	287657607	CG	Teosinte/Maize	1	287657226	287657725	Zm00001d034240	bin21	261	-0.466789
1	291515812	291515961	CG	Teosinte/Maize	1	291515637	291516430	Zm00001d034385	bin14	149	-0.550605
1	291771993	291772088	CG	Teosinte/Maize	1	291771985	291772484	Zm00001d034390	bin7	95	0.416607
1	295311373	295311897	CG	Teosinte/Maize	1	295311324	295311823	Zm00001d034515	bin26	450	0.758173
1	296072436	296072728	CG	Teosinte/Maize	1	296072416	296072934	Zm00001d034553	bin20	292	0.635368
1	299653740	299653996	CG	Teosinte/Maize	1	299653465	299653964	Zm00001d034681	bin9	224	0.567162
1	300926179	300926355	CG	Teosinte/Maize	1	300926035	300926663	Zm00001d034730	bin11	176	-0.40003
1	300963805	300964140	CG	Teosinte/Maize	1	300963799	300964298	Zm00001d034733	bin4	335	0.437053
1	303001118	303001175	CG	Teosinte/Maize	1	303000842	303001341	Zm00001d034824	bin24	57	0.669795
1	306081823	306082162	CG	Teosinte/Maize	1	306081769	306082268	Zm00001d034932	bin6	339	-0.415509
2	99027	99137	CG	Teosinte/Maize	2	99011	99510	Zm00001d001765	bin22	110	0.90425
2	936506	936873	CG	Teosinte/Maize	2	936043	937253	Zm00001d001788	bin11	367	-0.545612
2	2265465	2265628	CG	Teosinte/Maize	2	2265117	2265616	Zm00001d001880	bin29	151	0.450901
2	2507203	2507586	CG	Teosinte/Maize	2	2507245	2507744	Zm00001d001896	bin25	341	0.678954
2	5035591	5035882	CG	Teosinte/Maize	2	5035384	5035883	Zm00001d002054	bin23	291	0.51456
2	7377698	7377986	CG	Teosinte/Maize	2	7377667	7378166	Zm00001d002179	bin22	288	0.407971
2	9304275	9304449	CG	Teosinte/Maize	2	9304280	9305460	Zm00001d002275	bin11	169	-0.425334
2	10768947	10769931	CG	Teosinte/Maize	2	10769431	10769930	Zm00001d002356	bin25	499	-0.464602
2	10963004	10963251	CG	Teosinte/Maize	2	10963063	10963419	Zm00001d002366	bin20	188	0.424014
2	13296409	13296605	CG	Teosinte/Maize	2	13296110	13296609	Zm00001d002462	bin6	196	0.663104
2	17681610	17681803	CG	Teosinte/Maize	2	17681600	17682099	Zm00001d002639	bin8	193	0.730908
2	17745007	17745397	CG	Teosinte/Maize	2	17745151	17745420	Zm00001d002641	bin19	246	-0.418616
2	18454106	18454749	CG	Teosinte/Maize	2	18454086	18454585	Zm00001d002656	bin28	479	0.447281
2	19423196	19423652	CG	Teosinte/Maize	2	19423376	19423875	Zm00001d002693	bin4	276	-0.561166
2	20252467	20252938	CG	Teosinte/Maize	2	20252684	20253183	Zm00001d002716	bin6	254	0.774396
2	25252573	25252738	CG	Teosinte/Maize	2	25252392	25252891	Zm00001d002874	bin29	165	-0.410086
2	28206412	28206992	CG	Teosinte/Maize	2	28205044	28207162	Zm00001d002962	bin20	580	0.464258
2	34446798	34447090	CG	Teosinte/Maize	2	34446810	34447309	Zm00001d003172	bin9	280	0.42397
2	36775667	36775995	CG	Teosinte/Maize	2	36775579	36776078	Zm00001d003226	bin29	328	-0.403646
2	45341864	45342033	CG	Teosinte/Maize	2	45341624	45342134	Zm00001d003473	bin13	169	0.6876
2	50415045	50415763	CG	Teosinte/Maize	2	50415296	50415637	Zm00001d003615	bin19	341	0.412547
2	53327961	53328200	CG	Teosinte/Maize	2	53327779	53328278	Zm00001d003670	bin8	239	-0.423931
2	53963567	53963751	CG	Teosinte/Maize	2	53963583	53964082	Zm00001d003680	bin22	168	-0.612449
2	56080148	56080316	CG	Teosinte/Maize	2	56079968	56080467	Zm00001d003713	bin6	168	0.504073
2	59685111	59685340	CG	Teosinte/Maize	2	59685018	59685517	Zm00001d003796	bin8	229	0.75773
2	59796618	59796772	CG	Teosinte/Maize	2	59796496	59796995	Zm00001d003799	bin10	154	-0.677651
2	65460476	65460559	CG	Teosinte/Maize	2	65460321	65460820	Zm00001d003890	bin22	83	-0.409326
2	71773754	71774517	CG	Teosinte/Maize	2	71773834	71774333	Zm00001d003950	bin27	499	0.53267
2	71777281	71777740	CG	Teosinte/Maize	2	71777335	71777685	Zm00001d003950	bin20	350	-0.697591
2	75237591	75237890	CG	Teosinte/Maize	2	75237664	75237883	Zm00001d004009	bin20	219	0.476408
2	79799228	79799380	CG	Teosinte/Maize	2	79798809	79799308	Zm00001d004055	bin7	80	0.53613
2	79993970	79994636	CG	Teosinte/Maize	2	79994191	79994690	Zm00001d004064	bin7	445	-0.447553
2	84507761	84508134	CG	Teosinte/Maize	2	84507388	84508588	Zm00001d004125	bin19	373	0.485096
2	86024700	86024918	CG	Teosinte/Maize	2	86024392	86024891	Zm00001d004140	bin25	191	0.675927
2	93283605	93283821	CG	Teosinte/Maize	2	93283224	93283723	Zm00001d004225	bin1	118	0.761037
2	95495020	95496816	CG	Teosinte/Maize	2	95495899	95496201	Zm00001d004243	bin18	302	-0.585809
2	105061787	105062003	CG	Teosinte/Maize	2	105061443	105061942	Zm00001d004342	bin9	155	0.773841
2	106081719	106082435	CG	Teosinte/Maize	2	106081902	106082518	Zm00001d004358	bin19	533	-0.420776
2	110108032	110108304	CG	Teosinte/Maize	2	110108114	110108613	Zm00001d004405	bin10	190	0.468474
2	116471662	116471941	CG	Teosinte/Maize	2	116471761	116472750	Zm00001d004521	bin19	180	0.449729
2	117110283	117110712	CG	Teosinte/Maize	2	117110413	117110912	Zm00001d004541	bin24	299	0.587671
2	126964951	126965535	CG	Teosinte/Maize	2	126965360	126965859	Zm00001d004659	bin30	175	0.764164
2	128183587	128183798	CG	Teosinte/Maize	2	128179228	128184387	Zm00001d004667	bin11	211	-0.470345
2	133576286	133576764	CG	Teosinte/Maize	2	133576147	133576646	Zm00001d004718	bin6	360	0.500598
2	135047703	135048109	CG	Teosinte/Maize	2	135047504	135048003	Zm00001d004738	bin27	300	-0.416995
2	139871211	139871314	CG	Teosinte/Maize	2	139871248	139871306	Zm00001d004796	bin19	58	0.6315
2	140018454	140018773	CG	Teosinte/Maize	2	140017641	140019536	Zm00001d004800	bin12	319	0.493494
2	140032838	140033082	CG	Teosinte/Maize	2	140032812	140034708	Zm00001d004800	bin20	244	0.701476
2	144886873	144887397	CG	Teosinte/Maize	2	144886844	144887343	Zm00001d004855	bin7	470	0.505418
2	157558904	157559189	CG	Teosinte/Maize	2	157558945	157559083	Zm00001d005076	bin18	138	0.601138
2	158135805	158135921	CG	Teosinte/Maize	2	158135686	158135953	Zm00001d005099	bin13	116	-0.442397
2	160581421	160581549	CG	Teosinte/Maize	2	160581082	160581581	Zm00001d005137	bin9	128	0.714295
2	161423387	161424311	CG	Teosinte/Maize	2	161423711	161424062	Zm00001d005154	bin12	351	0.656643
2	165940268	165940610	CG	Teosinte/Maize	2	165940308	165940348	Zm00001d005253	bin17	40	-0.555154
2	173710823	173711485	CG	Teosinte/Maize	2	173711126	173711625	Zm00001d005429	bin2	359	-0.450373
2	182856681	182857000	CG	Teosinte/Maize	2	182856758	182856958	Zm00001d005671	bin11	200	0.547789
2	196699372	196699640	CG	Teosinte/Maize	2	196699398	196699676	Zm00001d006057	bin14	242	-0.430706
2	198336826	198337149	CG	Teosinte/Maize	2	198336669	198337168	Zm00001d006108	bin4	323	0.718652
2	198704105	198704218	CG	Teosinte/Maize	2	198704147	198704592	Zm00001d006112	bin12	71	-0.409475
2	198820415	198820861	CG	Teosinte/Maize	2	198819652	198821993	Zm00001d006113	bin20	446	0.474687
2	200728499	200728988	CG	Teosinte/Maize	2	200728703	200729157	Zm00001d006176	bin16	285	-0.417134
2	201769421	201770158	CG	Teosinte/Maize	2	201769438	201769937	Zm00001d006205	bin3	499	-0.447462
2	203401462	203401966	CG	Teosinte/Maize	2	203401593	203402092	Zm00001d006279	bin4	373	-0.40496
2	204165142	204165652	CG	Teosinte/Maize	2	204164891	204166752	Zm00001d006307	bin13	510	-0.68941
2	204491596	204491678	CG	Teosinte/Maize	2	204491403	204491902	Zm00001d006320	bin9	82	-0.639111
2	205078489	205078793	CG	Teosinte/Maize	2	205078227	205078726	Zm00001d006342	bin24	237	0.587891
2	205244449	205245121	CG	Teosinte/Maize	2	205244545	205245044	Zm00001d006346	bin30	499	0.632012
2	214267717	214268581	CG	Teosinte/Maize	2	214267833	214267925	Zm00001d006685	bin19	92	0.527178
2	218048482	218048578	CG	Teosinte/Maize	2	218048340	218048839	Zm00001d006861	bin8	96	0.698489
2	218756093	218756804	CG	Teosinte/Maize	2	218756031	218756530	Zm00001d006895	bin21	437	-0.401104
2	220376107	220376576	CG	Teosinte/Maize	2	220375884	220376383	Zm00001d007027	bin26	276	0.889413
2	222400272	222400422	CG	Teosinte/Maize	2	222399954	222400453	Zm00001d007107	bin3	150	-0.575189
2	222482220	222482432	CG	Teosinte/Maize	2	222482024	222482420	Zm00001d007111	bin13	200	-0.401125
2	222722360	222722426	CG	Teosinte/Maize	2	222721964	222722463	Zm00001d007119	bin26	66	-0.49397
2	224484678	224485028	CG	Teosinte/Maize	2	224484620	224485119	Zm00001d007199	bin6	350	0.514097
2	224487078	224487531	CG	Teosinte/Maize	2	224487120	224487619	Zm00001d007199	bin1	411	-0.697986
2	225519568	225520299	CG	Teosinte/Maize	2	225519704	225520170	Zm00001d007240	bin11	466	-0.452774
2	226994652	226995149	CG	Teosinte/Maize	2	226994626	226995125	Zm00001d007294	bin28	473	0.422013
2	228284233	228285046	CG	Teosinte/Maize	2	228284448	228284947	Zm00001d007318	bin27	499	0.848317
2	234889393	234890335	CG	Teosinte/Maize	2	234889726	234890225	Zm00001d007560	bin7	499	0.764426
2	236611656	236612039	CG	Teosinte/Maize	2	236611625	236612124	Zm00001d007634	bin23	383	0.663542
2	236781113	236781210	CG	Teosinte/Maize	2	236781019	236781518	Zm00001d007640	bin24	97	-0.574034
2	236783462	236783871	CG	Teosinte/Maize	2	236783409	236783797	Zm00001d007640	bin19	335	-0.649898
2	237419667	237420062	CG	Teosinte/Maize	2	237419543	237420042	Zm00001d007687	bin7	375	0.609153
3	189666	190235	CG	Teosinte/Maize	3	189492	189991	Zm00001d039233	bin6	325	0.481007
3	704087	704251	CG	Teosinte/Maize	3	703975	704474	Zm00001d039258	bin27	164	-0.705691
3	1955685	1956197	CG	Teosinte/Maize	3	1955696	1956195	Zm00001d039326	bin4	499	-0.450096
3	7526026	7526416	CG	Teosinte/Maize	3	7526008	7526507	Zm00001d039538	bin25	390	0.417387
3	12828742	12829102	CG	Teosinte/Maize	3	12828615	12829114	Zm00001d039713	bin25	360	-0.510887
3	15921018	15921343	CG	Teosinte/Maize	3	15920915	15921240	Zm00001d039824	bin15	222	-0.405931
3	16536696	16537349	CG	Teosinte/Maize	3	16536726	16537225	Zm00001d039849	bin27	499	0.54443
3	18643271	18643716	CG	Teosinte/Maize	3	18643273	18643703	Zm00001d039900	bin19	430	-0.448279
3	26935651	26935891	CG	Teosinte/Maize	3	26935463	26935962	Zm00001d040084	bin22	240	-0.421832
3	46079565	46079773	CG	Teosinte/Maize	3	46079306	46079690	Zm00001d040479	bin19	125	0.638687
3	47353623	47354163	CG	Teosinte/Maize	3	47353718	47354217	Zm00001d040505	bin4	445	0.529124
3	53289773	53290210	CG	Teosinte/Maize	3	53289636	53290135	Zm00001d040608	bin30	362	-0.479932
3	55091186	55091507	CG	Teosinte/Maize	3	55091065	55091564	Zm00001d040629	bin4	321	0.816326
3	57112279	57112468	CG	Teosinte/Maize	3	57112370	57112869	Zm00001d040670	bin26	98	0.836661
3	58481523	58481805	CG	Teosinte/Maize	3	58481595	58481704	Zm00001d040691	bin14	109	-0.440295
3	60737265	60738183	CG	Teosinte/Maize	3	60737467	60737966	Zm00001d040734	bin30	499	0.459263
3	68851748	68851933	CG	Teosinte/Maize	3	68851720	68851897	Zm00001d040834	bin15	149	0.588596
3	71571292	71571618	CG	Teosinte/Maize	3	71571173	71571672	Zm00001d040850	bin9	326	0.813372
3	77271829	77271933	CG	Teosinte/Maize	3	77271770	77271881	Zm00001d040898	bin14	52	-0.533703
3	81213144	81213307	CG	Teosinte/Maize	3	81213179	81213215	Zm00001d040939	bin18	36	0.422716
3	83499044	83499186	CG	Teosinte/Maize	3	83498799	83499298	Zm00001d040960	bin9	142	-0.456477
3	87052424	87052647	CG	Teosinte/Maize	3	87052266	87052765	Zm00001d040974	bin8	223	0.538969
3	87055048	87056194	CG	Teosinte/Maize	3	87055266	87055765	Zm00001d040974	bin2	499	0.50975
3	88434376	88434612	CG	Teosinte/Maize	3	88434146	88434645	Zm00001d040988	bin10	236	0.507687
3	92478122	92478800	CG	Teosinte/Maize	3	92477949	92478448	Zm00001d041041	bin21	326	0.760693
3	93367827	93367954	CG	Teosinte/Maize	3	93367855	93368354	Zm00001d041054	bin6	99	0.600363
3	95275024	95275728	CG	Teosinte/Maize	3	95275200	95275699	Zm00001d041073	bin1	499	0.432551
3	96371242	96371398	CG	Teosinte/Maize	3	96371134	96371633	Zm00001d041086	bin5	156	0.7785
3	97015194	97016039	CG	Teosinte/Maize	3	97015547	97016046	Zm00001d041092	bin21	492	0.709642
3	102146927	102147771	CG	Teosinte/Maize	3	102147455	102147954	Zm00001d041174	bin21	316	0.44421
3	103862016	103862361	CG	Teosinte/Maize	3	103861997	103862341	Zm00001d041186	bin20	325	-0.426011
3	114819055	114819151	CG	Teosinte/Maize	3	114818743	114819242	Zm00001d041379	bin28	96	0.561498
3	117396180	117396512	CG	Teosinte/Maize	3	117396280	117396779	Zm00001d041407	bin24	232	0.545016
3	119391863	119391985	CG	Teosinte/Maize	3	119391580	119392079	Zm00001d041436	bin10	122	0.425153
3	122404101	122404358	CG	Teosinte/Maize	3	122403732	122404362	Zm00001d041475	bin11	257	-0.498027
3	124368087	124368736	CG	Teosinte/Maize	3	124368109	124368608	Zm00001d041498	bin21	499	0.422239
3	135679370	135679839	CG	Teosinte/Maize	3	135679158	135679657	Zm00001d041743	bin7	287	0.668775
3	137088900	137089146	CG	Teosinte/Maize	3	137088768	137089267	Zm00001d041775	bin6	246	0.58143
3	137472433	137472558	CG	Teosinte/Maize	3	137472050	137472549	Zm00001d041778	bin25	116	0.562102
3	138824673	138825183	CG	Teosinte/Maize	3	138824382	138825032	Zm00001d041803	bin11	359	-0.472186
3	140026851	140027002	CG	Teosinte/Maize	3	140026545	140027133	Zm00001d041839	bin16	151	-0.464646
3	141721982	141722094	CG	Teosinte/Maize	3	141721689	141722188	Zm00001d041872	bin28	112	-0.403758
3	142233220	142233439	CG	Teosinte/Maize	3	142233245	142233432	Zm00001d041882	bin20	187	-0.505626
3	147843714	147844116	CG	Teosinte/Maize	3	147843437	147843936	Zm00001d042029	bin10	222	0.477069
3	149531849	149532257	CG	Teosinte/Maize	3	149531261	149532324	Zm00001d042066	bin11	408	-0.43933
3	152448104	152448634	CG	Teosinte/Maize	3	152447585	152448444	Zm00001d042131	bin18	340	-0.4397
3	155995124	155996350	CG	Teosinte/Maize	3	155995312	155995811	Zm00001d042199	bin6	499	-0.493317
3	158448337	158448484	CG	Teosinte/Maize	3	158448397	158448896	Zm00001d042272	bin8	87	-0.641602
3	160586866	160587375	CG	Teosinte/Maize	3	160586988	160587487	Zm00001d042315	bin29	387	-0.422128
3	166930881	166931600	CG	Teosinte/Maize	3	166931005	166931504	Zm00001d042427	bin23	499	0.530606
3	171187483	171187655	CG	Teosinte/Maize	3	171187178	171187677	Zm00001d042537	bin26	172	0.746539
3	178075585	178075783	CG	Teosinte/Maize	3	178075635	178076134	Zm00001d042713	bin29	148	0.414505
3	180466744	180467788	CG	Teosinte/Maize	3	180467042	180467541	Zm00001d042804	bin30	499	0.497195
3	181432832	181433008	CG	Teosinte/Maize	3	181432534	181433033	Zm00001d042833	bin6	176	0.628612
3	183995218	183995583	CG	Teosinte/Maize	3	183995382	183995538	Zm00001d042921	bin15	156	-0.438847
3	184754527	184754666	CG	Teosinte/Maize	3	184754489	184754988	Zm00001d042954	bin1	139	0.91061
3	184757114	184757670	CG	Teosinte/Maize	3	184757101	184757412	Zm00001d042955	bin19	298	0.471133
3	188445361	188445861	CG	Teosinte/Maize	3	188445534	188445834	Zm00001d043076	bin19	300	-0.424255
3	189130917	189131275	CG	Teosinte/Maize	3	189131059	189131814	Zm00001d043094	bin13	216	0.555978
3	189776050	189776261	CG	Teosinte/Maize	3	189775945	189776444	Zm00001d043125	bin9	211	0.792281
3	189791448	189791654	CG	Teosinte/Maize	3	189791291	189791790	Zm00001d043126	bin9	206	-0.698768
3	190402104	190402756	CG	Teosinte/Maize	3	190402062	190402561	Zm00001d043164	bin24	457	0.505652
3	191270303	191270551	CG	Teosinte/Maize	3	191270386	191270475	Zm00001d043197	bin18	89	0.443229
3	196588037	196588166	CG	Teosinte/Maize	3	196587808	196588307	Zm00001d043327	bin24	129	0.537986
3	197034315	197034443	CG	Teosinte/Maize	3	197034133	197034632	Zm00001d043340	bin1	128	-0.580608
3	197489741	197490247	CG	Teosinte/Maize	3	197489920	197490419	Zm00001d043353	bin22	327	0.498035
