Context	Chr	Start	End	Comparison	Hyper/Hypo	JRIAL2A	JRIAL2B	JRIAL2C	JRIAL2D	JRIAL2E	JRIAL2F	JRIAL2G	JRIAL2H	JRIAL2I	JRIAL2J	JRIAL2K	JRIAL2L	JRIAL2M	JRIAL2N	JRIAL2O	JRIAL2P	JRIAL2Q	JRIAL2R	JRIAL2S	JRIAL2T	AMES-8235	PI-620767	PI-620773	PI-620774	PI-620784	PI-620785	PI-620797	PI-620819	PI-620821	PI-620834	PI-620842	PI-620846	PI-620856	PI-620859	PI-620860	PI-628503	PI-628514	A632	B37	B73	B97	CML322	HP301	IL14	LH123HT	LH82	Mo17	Oh43	P39	PHZ51	Tx303
CG	1	1920869	1922000	Teosinte/Maize	Hypo	0.933196784	0.936226632	0.929239766	0.935428325	0.918207283	0.921204453	0.892113095	0.937949039	0.919732143	0.94300935	0.928724054	0.922465986	0.901552318	0.946689498	0.897715662	0.895303127	0.928214286	0.840267335	0.925101311	0.866130952	0.907948718	0.913242009	0.150555556	0.011363636	0.865860215	0.910731053	0.944639517	0.283794163	0.838461538	0.912935323	0.720666667	0.878059396	0.94375	0.77708931	0.014527845	0	0.54268018	0.003244838	0.002146465	0.033262225	0.815583441	0.046677004	0.881837088	0.003546099	0.001942502	0.057900433	0.86933544	0.211580087	0.90960452	0.251576097	0.004677927
CG	1	2022624	2023008	Teosinte/Maize	Hypo	0.803789642	0.88023786	0.762874433	0.721006231	0.756040961	0.861124833	0.814642857	0.728228716	0.734285901	0.783210678	0.650492268	0.714812924	0.828737792	0.726983395	0.801100325	0.797177707	0.661567354	0.820026289	0.829393205	0	0.583333333	0.684202742	0.125	0.561111111	0.75	1	0.648148148	0	0.263809524	0.69047619	0.619047619	0.833333333	0.598095238	0.25	0	0.875	0.678571429	0	0.014285714	0.388888889	0.175126263	0.69185785	0	0.582732083	0.411003276	0.623489843	0.404352347	0	0.483783716	0	0.098901099
CG	1	2774255	2774852	Teosinte/Maize	Hypo	0.38104846	0.344133585	0.514694881	0.203003003	0.852572965	0.909708343	0.272513915	0.017599588	0.390937149	0.005512441	0.378292806	0.943095238	0.941666754	0.909352142	0.509348739	0.955	0.914063492	0.937186636	0.925205761	0.553558633	0.057692308	0.029385965	0	0	0.03125	0	NA	0.041666667	0.016129032	0.006578947	0	0.003546099	0.034722222	0.002941176	0.01	0	0.01010101	0.023897707	0.012437811	0.001886792	0	0.001322751	0.004058442	0	0.004060539	0.125	0.008098477	0.078125	0.001689189	0.002525253	0.003125
CG	1	3486420	3486817	Teosinte/Maize	Hyper	0.330081925	0.277495737	0.176191908	0.582238643	0.277645503	0.456605223	0.167306179	0.299494949	0.056553632	0.577718746	0.11	0.226190476	0.434013605	0.163151692	0.597849462	0.275	0.191498316	0.190706605	0.064444444	0.363636364	0.348484848	0.687815126	0.557659933	0.792857143	0.664393939	0.603993856	0.352564103	0.462643678	0.481269841	0.848666667	0.522619048	0.297619048	0.374829932	0.488176698	0.420454545	0.857142857	0.558571429	0.774450882	0.462619048	0.573198095	0.861111111	0.687465645	0.734455782	0.754756751	0.76414966	0.854166667	0.669345238	0.903826397	0.692219817	0.817712843	0.489518464
CG	1	4404097	4404253	Teosinte/Maize	Hyper	0.035714286	0	0.533882784	0.243107769	0	0.296666667	0.036363636	0.074074074	0.00952381	0.066666667	0	0.722222222	0.058823529	0	0.165100251	0.085714286	0.113305322	0.033333333	0.29484127	0	0.716666667	0.518518519	NA	NA	0.6	NA	0.025	0.866666667	0.316666667	NA	0.357142857	0.0625	0.825	0	NA	0.8	0.041666667	0.935087719	0.781071998	0.728395062	0.006578947	0.838418161	0.852798663	0.867794486	0.879323308	0.851754386	0.818441938	0.799561404	0.912218045	0.939153439	0.916653376
CG	1	4424644	4424880	Teosinte/Maize	Hyper	0.700438596	0.00625	0.0125	0	0.234873152	0.561152882	0.287081129	0.167083333	0	0.281944444	0.007575758	0.134548611	0.042674825	0.045833333	0.0125	0.3375	0.234803922	0	0.565608466	0	0.888888889	0.642156863	0.592592593	0.403508772	0.833333333	NA	NA	NA	0.805555556	0	0.907407407	NA	0.272727273	0.3125	0.5	NA	0.685185185	0.497857143	0.61127451	1	0.714145658	0.773809524	0.937407407	0.429306804	0.81827381	0.916666667	0.804502165	0.868095238	0.844642857	0.905677656	0.913353175
CG	1	4734958	4735605	Teosinte/Maize	Hyper	0.010703263	0.060518519	0.00390625	0	0.052052545	0.014767932	0.00210084	0	0.037031499	0.017628205	0	0.0015625	0	0.011148649	0.02899061	0	0.089831349	0.166310497	0	0.067924528	0.302325581	0.201428571	0.261111111	0.2109375	0.363675214	0.075	NA	0.354545455	0.190697674	0.158333333	0.541666667	0.485185185	0.329022989	0.274164134	0.361788618	0.666666667	0.063218391	0.036844136	0.765942029	0.556993315	0.67047619	0.292461496	0.890093883	0.027965304	0.056317001	0.782738095	0.563871636	0.013486513	0.742736077	0.782564484	0.71468254
CG	1	5703052	5703244	Teosinte/Maize	Hyper	0.503285714	0.899585921	0	0.460285714	0.474904762	0.416827	0	0	0.212531025	0.01030303	0	0.259656085	0.182470669	0.490857143	0.472663139	0.083333333	0.008333333	0.051666667	0.590333333	0.019047619	0.656666667	0.834126984	0.939473684	0.847222222	0.846153846	0.916	0.873076923	0.788888889	0.78030303	0.865740741	0.805555556	0.876190476	0.303333333	0.669269841	0.624561404	0.775757576	0.779333333	0.760365079	0.807333333	0.832	0.877777778	0.737867809	0.879142857	0.932904762	0.976238095	0.954545455	0.876851852	0.685416667	0.922	0.940238095	0.783972916
CG	1	5713627	5713733	Teosinte/Maize	Hyper	0	0	0	0	0	0	0	0	0.010416667	0	0	0	0.009259259	0	0	0	0	0	0	0	0.75	0.926666667	1	1	0.9	0.879166667	0.966666667	0.9375	0.958333333	1	1	0.878787879	0.905555556	0.913095238	0.958333333	0.916666667	0.87492785	0	0	0.94849537	0.882828283	0	1	0	0.96969697	0	0.988095238	0.931818182	0	0.033333333	0.872417629
CG	1	8057438	8057723	Teosinte/Maize	Hypo	0.29122575	0.938199666	0.905132149	0.713888889	0.969954649	0.945321637	0.743922306	0.945767196	0.958095238	0.951044277	0.25933584	0.841503268	0.945512821	0.901960784	0.940273177	0.448579545	0.586026108	0.963033896	0.677118496	0.975992063	0	0	0	0.073333333	0	0	0	0.1	0.025	NA	0	NA	0	0	NA	0	0	0	0	0	0.043859649	0.036666667	0.949030381	0.035714286	0.039215686	0	0.015191599	0	0	0	0.008333333
CG	1	8303347	8303453	Teosinte/Maize	Hyper	0.011764706	0.196666667	0.213020833	0.125	0	0.104486037	0.255602241	0.021568627	0.014705882	0	0	0.187053571	0.194677871	0.044444444	0.280252101	0.25	0.011764706	0	0.143333333	0.026666667	0.484848485	0.083333333	0.9375	NA	0.1875	0.5	0.681818182	NA	0.318181818	0.5	0.2	0.566666667	0.474358974	0.456862745	0.555555556	NA	0	0	0.490740741	0.707084582	0.305555556	0	0.821848739	0.609803922	0.58974359	0.941666667	0.416666667	0.621875	0.525490196	0.7125	0.584201389
CG	1	10492995	10493303	Teosinte/Maize	Hyper	0.090029762	0.364897487	0.288775968	0.267013889	0.278484848	0.468253968	0.529700855	0.161553724	0.163899411	0.416765873	0.5879884	0.158836996	0.022649573	0.383688534	0.052083333	0.129861111	0.242429792	0.206547619	0.124305556	0.202958153	0.388888889	0.512820513	0.486111111	0.5	NA	0.395833333	0.6	0.769444444	0.71	0.422222222	0.257575758	0.487179487	0.8	0.429166667	0.55	0.4	0.396825397	0.387847222	0.634161491	0.670893209	0.295833333	0.136363636	0.788872354	0.725165344	0.81029792	0.648809524	0.828269085	0.758145363	0.908002646	0.734210526	0.69943518
CG	1	12104450	12104738	Teosinte/Maize	Hyper	0	0.009803922	0.028917379	0.027027027	0.057142857	0.285208333	0.291025641	0.124245064	0.107526882	0.121544715	0	0.120101687	0	0.095527671	0.062280702	0	0.033854167	0.012276786	0.402173913	0.016239316	0.045833333	0.484259259	0.73525641	0.171428571	0.425	0.508690476	0.29	0.755747126	0.155555556	0	0.228070175	0.164642857	0.399627976	0.281168831	0.289755639	0.091666667	0.321190476	0.667559524	0.559166667	0.722772351	0.714880952	0.740314459	0.164072039	0.036585366	0.446215641	0.748958333	0.046568627	0.582428365	0.76797619	0.750854701	0.654916351
CG	1	14029416	14029910	Teosinte/Maize	Hyper	0.332032628	0.046792328	0.082323232	0.083333333	0.346543779	0.101587302	0.024074074	0.047888386	0.267919858	0.123799572	0.014957265	0.043926367	0.083492063	0.08	0.004166667	0.166666667	0.094285714	0.133333333	0.057471264	0.083928571	0.392361111	0.354166667	0.711206897	0.173333333	0.479166667	0.44047619	0.360289116	0.45	0.238412698	0.521354167	0.023809524	0.115	0.611111111	0.247979798	0.2	0.456521739	0.246666667	0.127415966	0.79092775	0.633809524	0.728395062	0.476645924	0.843386243	0.684489796	0.607987711	0.837477954	0.47311828	0.819372294	0.686329683	0.509356235	0.715568137
CG	1	14073638	14073730	Teosinte/Maize	Hyper	0.096491228	0	0	0	0	0.012781955	0.06773402	0	0	0.031442242	0.013815789	0	0.005847953	0.102633478	0	0.062030075	0.084210526	0.005263158	0	0	NA	NA	NA	NA	NA	0.7	NA	0.5	1	0.888888889	1	NA	NA	0.064814815	NA	0.740740741	0.222222222	0.92665733	0.011764706	0.862745098	0.862781955	0	0.134037746	0.028508772	0.846659876	0.968508616	0.896101774	1	0.817889421	0	0.206682207
CG	1	14206620	14207233	Teosinte/Maize	Hypo	0.866719577	0.917423092	0.866312057	0.93010101	0.916666667	0.877277433	0.906613757	0.912698413	0.903976352	0.952083333	0.947480237	0.921825397	0.355392157	0.924731183	0.899099099	0.855954212	0.93106685	0.970238095	0.937246032	0.908906526	0.943181818	0.738095238	0.5	0.928571429	0.958333333	0.947368421	0.866666667	0.95	0.962121212	0.976190476	0.72	0.9375	0.888020833	1	0.909090909	NA	0.954385965	0.643970315	0.185860058	0.9875	0.234693878	0.004651163	0.018908382	0.933461236	0.020647773	0.095333333	0.177813853	0.941576001	0.928741497	0.305034722	0.003144654
CG	1	14256032	14256580	Teosinte/Maize	Hypo	0	0.342507003	0.940392247	0.255952381	0.934	0.912043703	0.398804932	0.325866965	0.115952381	0.813322925	0.961490168	0.41615353	0.958583639	0.511811623	0.041666667	0.942848516	0.817388167	0.537857143	0.88022113	0.955308353	0.941176471	0.148373984	0.03820598	0.010869565	0	0.03125	NA	0	0	0	0	0	0.008547009	0	0.486486486	0	0	0.001261034	0.011016949	0.003472222	0.055753968	0.030555556	0.02253038	0	0.028052019	0.014957265	0	0	0.018804113	0	0.006565657
CG	1	14522183	14522872	Teosinte/Maize	Hypo	0.816483516	0.94014881	0.41702509	0.863520408	0.465780142	0.910736241	0.923266046	0.865025874	0.931861134	0.897142857	0.900743947	0.934183673	0.875357162	0.94594494	0.920978449	0.907898429	0.601312576	0.931464646	0.946494709	0.886500626	0.023809524	0.627777778	0.862301587	0.583333333	0.763157895	0.879100529	0.866666667	0.955426357	0.911788618	0.942028986	0.839285714	0.814814815	0.888888889	0.969387755	0.115384615	0.545833333	0.877314815	0.014646465	0.026643991	0.916679551	0.707257326	0.00132626	0.01351994	0.80178346	0.862511671	0.003378378	0.068356643	0.006746032	0.007092199	0.0125	0.783963772
CG	1	15501892	15502025	Teosinte/Maize	Hypo	0.820833333	0.85	0.913733609	0.825	0.855952732	0.961538462	0.814102564	0.91	0.834974084	0.916666667	0.875555556	0.880392157	0.946169772	0.842105263	0.870133668	0.975378788	0.937991718	0.955328798	0.92933009	0.75	0.976190476	0.983333333	0.901515152	0.888888889	0.97826087	0.83747412	0.964285714	0.641025641	0.861538462	0.6	0.872222222	0.712121212	0.833333333	0.458333333	0.802777778	1	0.958333333	0	0	0	0	0.755881946	0	0	0.033933923	0.011363636	0	0.041417471	0.007142857	0	0.947569585
CG	1	18466667	18467347	Teosinte/Maize	Hyper	0.05787037	0.003571429	0.378602757	0.003787879	0.023809524	0.010548523	0.299042443	0.629499596	0.469810059	0.448743386	0.542566991	0	0.384337349	0.00456621	0.088059701	0	0.857221242	0.009756098	0	0.451077098	0.954301075	0.929824561	0.557142857	0.948979592	0.467836257	0.951785714	0.952205882	0.266666667	0.961538462	0.61875	0.68627451	0.594594595	0.949382716	0.88647343	0.632575758	0.913934426	0.870887446	0.930041152	0.737786024	0.952403953	0.906666667	0.895243612	0.926477338	0.283333333	0.563968254	0.816035571	0.603589744	0.874346303	0.035864979	0.871394799	0.795943501
CG	1	20531385	20531849	Teosinte/Maize	Hypo	0.941438859	0.904502165	0.919684037	0.95270775	0.944444444	0.924675325	0.899166667	0.924382716	0.920664315	0.905673759	0.919545455	0.936168831	0.946613757	0.930115597	0.932232704	0.919761905	0.947753819	0.944638243	0.948373984	0.891353383	0.140196078	0.917816092	0.899166667	0.836666667	0.013157895	0.954545455	0.944444444	0.934173669	0.517687075	0.511594203	0.9453125	0.917283951	0.439316239	0.631972789	0.887121212	0.689189189	0.103773585	0.933653846	0.912526073	0.064516129	0.868069728	0.06391337	0.007445887	0.874872716	0.734710088	0.929265873	0.097857143	0.453441919	0.923404255	0.097575758	0.015409058
CG	1	21185990	21186169	Teosinte/Maize	Hypo	0.607843137	0.777192982	0.860215054	NA	0.986666667	0.865277778	0.83968254	0.82	0.877425044	0.267567568	0.931818182	0.720238095	0.96981982	0.887037037	NA	0.953431373	0.926319176	0.95	0.966666667	0.93957529	0.981481481	1	0.984482759	1	0.867346939	1	0.988095238	0.966666667	0.976190476	NA	0.903846154	0.938888889	0.96875	0.48045977	0.981481481	1	0.908045977	0	0.026041667	0	0.740384615	0.995967742	0	0.855555556	0	0.015151515	0.005714286	0.006349206	1	0.915373369	0.881868687
CG	1	22599097	22599212	Teosinte/Maize	Hypo	0.9	0.823529412	0.96875	0.96031746	0.965909091	0.904464286	0.933333333	0.875	1	0.863461538	0.877777778	0.784210526	0.982758621	0.974358974	0.911076605	1	0.897435897	0.944126984	0.985714286	0.975	0.96875	0.977777778	0.975806452	0.96875	0.894736842	1	0.767241379	0.983870968	1	0.981481481	1	1	0.859375	0.675595238	0.969230769	0.71875	0.967741935	0	0.956632653	0.942880742	NA	0.006896552	0.976785714	0	0.837634409	0.006944444	0.920361248	0.936579818	0	0.025862069	0.919157088
CG	1	23119342	23119514	Teosinte/Maize	Hypo	0	0.536309524	0.730392157	0.57028936	0	0.819196429	0.560994398	0.382606609	0.795112782	0.426292335	0.181803491	0.192397661	0.600980392	0.55225167	0.847368421	0.85	0.936507937	0.611111111	0.348245614	0.618417367	0	0.275	0	0	0	0.314814815	0.238888889	0.5	0.014705882	NA	0.407407407	0.307843137	0	0.080357143	0.133333333	0.430555556	0.035294118	0	0.013157895	0	0.078125	0.012303486	0.007352941	0.349094116	0	0.013157895	0	0	0	0	0.008928571
CG	1	23121918	23122033	Teosinte/Maize	Hyper	0.037176274	0	0	0	0	0	0	0.141666667	0.028070175	0	0	0.040359477	0.093253968	0	0.660544218	0	0	0.044117647	0	0	0.121212121	0.3	0.8	0.575757576	0.095238095	0.4	0.818181818	0.78030303	0.166666667	0	0.634920635	NA	0.484210526	0	0.5	0.35	0.327380952	0.827664399	0.576190476	NA	0.888888889	0.583278824	0.874933862	0.499498747	0.014739229	0.868480726	0.015625	0.043650794	0.774561404	0	0.880952381
CG	1	23270067	23270812	Teosinte/Maize	Hypo	0.92701759	0.903817135	0.943538281	0.850996152	0.921196319	0.903611927	0.927067494	0.929100067	0.94680799	0.918912909	0.938633287	0.918945339	0.944906619	0.888761693	0.919576871	0.935378965	0.936528824	0.944734543	0.926931105	0.898264682	0.684027778	0.714920635	0.918347339	0.479919679	0.004741727	0.635521886	0.833877551	0.557805907	0.057305657	0.569444444	0.148919753	0.953560893	0.231898239	0.758706468	0.55183727	0.710271318	0.964702381	0.027898424	0.013297872	0.001987278	0.006540448	0.66585693	0.467267468	0.007882883	0.003007663	0.002893519	0.692105263	0.00280112	0.005543884	0	0.55938992
CG	1	25775385	25775689	Teosinte/Maize	Hypo	0.93452381	0.912820513	0.345138889	0.491028912	0.875641026	0.895402299	0.921193416	0.888095238	0.434783799	0.381469979	0.03908046	0.902518315	0.865952381	0.586019536	0.847126437	0.905333333	0.912027915	0.352813853	0.22515528	0.914774115	0	0.022222222	0.768518519	0	NA	0.060606061	0	0.022727273	0	0.157894737	0	0.1	0.034722222	0.010204082	0	NA	0	0	0.023850575	NA	0.009090909	0.005208333	0.018652038	0	0.12021446	0.01984127	0	0.00792011	0	0.934275794	0.002777778
CG	1	27256889	27257110	Teosinte/Maize	Hyper	0.039947975	0.116666667	0.008695652	0.037878788	0.042621871	0.13801054	0.123529412	0	0	0.007936508	0.030039526	0.124099693	0.033937198	0	0.088095238	0	0.007936508	0	0	0	0.090909091	0.226465334	0.37037037	0	0.336111111	0.465740741	0	0.357936508	0.480769231	0.092592593	0	0.090277778	0	0.074242424	0.032051282	0.322727273	0.521088435	0.670364358	0.205026455	0.487812188	0.108695652	0.166666667	0.856454854	0.367926156	0.663095238	0.776731205	0.592222222	0.608831159	0.56087344	0.70300207	0.672536708
CG	1	30026379	30026698	Teosinte/Maize	Hyper	0	0.282440476	0	0.122395833	0.231829574	0.42074515	0	0	0.067857143	0.063571429	0	0	0	0.022222222	0	0.035087719	0.015625	0	0	0	0	0.125	0.666666667	0.222222222	0.055555556	0.142857143	0	0.307777778	0.25	0.0625	0.35	0.333333333	0.166666667	0.47	0.933333333	NA	0.088235294	0.057894737	0.930555556	0.411564626	0.007518797	0	0.915896359	0.07101086	0.86202381	0.049019608	0.759259259	0.944444444	0.833333333	0.975	0.458333333
CG	1	32617090	32617573	Teosinte/Maize	Hypo	0	0.962121212	0.151033592	0.968177656	0.968670151	0.012195122	0.194726801	0.5093056	0.373820393	0.924305556	0	0.898847926	0.416192412	0	0.961265432	0.915659341	0	0.905483405	0	0.373115299	0	0	0	0	0.019230769	0.554166667	0	0	0	0	0	0	0	0.004608295	0	0	0.029824561	0	0	0	0	0.005208333	0	0	0.003401361	0	0	0.005681818	0.004761905	0.008130081	0.003496503
CG	1	34919558	34920043	Teosinte/Maize	Hypo	0	0.281714286	0.941242474	0.011111111	0.30877193	0.014	0.897238095	0.457029478	0.343650794	0.003584229	0.92409688	0.327173913	0.966804029	0.223691946	0.96577381	0.597619048	0.852941176	0.665088384	0.914529915	0	0	0	0	0	0.035714286	0.016666667	0.071428571	0.285714286	0	0	0	0.823809524	0.825396825	0.479761905	0	0	0.009803922	0	0	0	0	0	0.022167488	0	0	0	0	0	0	0	0
CG	1	34921629	34922078	Teosinte/Maize	Hypo	0.006944444	0.743722944	0.939619048	0	0.558912037	0	0.937301587	0.907407407	0.443978606	0.007407407	0.898864258	0.802154195	0.922205225	0.293005952	0.959650072	0.781868132	0.95	0.265616791	0.435551282	0	0.366666667	0	0	0.013157895	0	0	0	0.506349206	NA	0	0	0.956944444	0.935606061	0.395238095	0	0	0	0	0	0	0.014367816	0	0.018315018	0	0.005291005	0.5	0.020833333	0.007246377	0.007407407	0	0
