Chr	Start	end	Freq	
Chr1	61000001	62000000	0	Chr
Chr1	62000001	63000000	2	Chr
Chr1	63000001	64000000	0	Chr
Chr1	64000001	65000000	0	Chr
Chr1	65000001	66000000	0	Chr
Chr1	66000001	67000000	1	Chr
Chr1	67000001	68000000	0	Chr
Chr1	68000001	69000000	0	Chr
Chr1	69000001	70000000	0	Chr
Chr1	70000001	71000000	0	Chr
Chr1	71000001	72000000	0	Chr
Chr1	72000001	73000000	2	Chr
Chr1	73000001	74000000	0	Chr
Chr1	74000001	75000000	0	Chr
Chr1	75000001	76000000	1	Chr
Chr1	76000001	77000000	0	Chr
Chr1	77000001	78000000	0	Chr
Chr1	78000001	79000000	2	Chr
Chr1	79000001	80000000	0	Chr
Chr1	80000001	81000000	2	Chr
Chr1	81000001	82000000	1	Chr
Chr1	82000001	83000000	0	Chr
Chr1	83000001	84000000	0	Chr
Chr1	84000001	85000000	0	Chr
Chr1	85000001	86000000	0	Chr
Chr1	86000001	87000000	0	Chr
Chr1	87000001	88000000	3	Chr
Chr1	88000001	89000000	0	Chr
Chr1	89000001	90000000	1	Chr
Chr1	90000001	91000000	0	Chr
Chr1	91000001	92000000	4	Chr
Chr1	92000001	93000000	0	Chr
Chr1	93000001	94000000	0	Chr
Chr1	94000001	95000000	0	Chr
Chr1	95000001	96000000	0	Chr
Chr1	96000001	97000000	0	Chr
Chr1	97000001	98000000	0	Chr
Chr1	98000001	99000000	0	Chr
Chr1	99000001	100000000	0	Chr
Chr1	100000001	101000000	2	Chr
Chr1	101000001	102000000	0	Chr
Chr1	102000001	103000000	0	Chr
Chr1	103000001	104000000	1	Chr
Chr1	104000001	105000000	0	Chr
Chr1	105000001	106000000	0	Chr
Chr1	106000001	107000000	2	Chr
Chr1	107000001	108000000	0	Chr
Chr1	108000001	109000000	1	Chr
Chr1	109000001	110000000	0	Chr
Chr1	110000001	111000000	0	Chr
Chr1	111000001	112000000	1	Chr
Chr1	112000001	113000000	1	Chr
Chr1	113000001	114000000	0	Chr
Chr1	114000001	115000000	1	Chr
Chr1	115000001	116000000	3	Chr
Chr1	116000001	117000000	0	Chr
Chr1	117000001	118000000	2	Chr
Chr1	118000001	119000000	3	Chr
Chr1	119000001	120000000	4	Chr
Chr1	120000001	121000000	4	Chr
Chr1	121000001	122000000	0	Chr
Chr1	122000001	123000000	0	Chr
Chr1	123000001	124000000	2	Chr
Chr1	124000001	125000000	0	Chr
Chr1	125000001	126000000	1	Chr
Chr1	126000001	127000000	5	Chr
Chr1	127000001	128000000	5	Chr
Chr1	128000001	129000000	3	Chr
Chr1	129000001	130000000	6	Chr
Chr1	130000001	131000000	4	Chr
Chr1	131000001	132000000	2	Chr
Chr1	132000001	133000000	1	Chr
Chr1	133000001	134000000	0	Chr
Chr1	134000001	135000000	2	Chr
Chr1	135000001	136000000	1	Chr
Chr1	136000001	137000000	1	Chr
Chr1	137000001	138000000	4	Chr
Chr1	138000001	139000000	0	Chr
Chr1	139000001	140000000	2	Chr
Chr1	140000001	141000000	2	Chr
Chr1	141000001	142000000	0	Chr
Chr1	142000001	143000000	0	Chr
Chr1	143000001	144000000	1	Chr
Chr1	144000001	145000000	3	Chr
Chr1	145000001	146000000	2	Chr
Chr1	146000001	147000000	0	Chr
Chr1	147000001	148000000	2	Chr
Chr1	148000001	149000000	3	Chr
Chr1	149000001	150000000	2	Chr
Chr1	150000001	151000000	0	Chr
Chr1	151000001	152000000	0	Chr
Chr1	152000001	153000000	4	Chr
Chr1	153000001	154000000	0	Chr
Chr1	154000001	155000000	2	Chr
Chr1	155000001	156000000	1	Chr
Chr1	156000001	157000000	1	Chr
Chr1	157000001	158000000	1	Chr
Chr1	158000001	159000000	1	Chr
Chr1	159000001	160000000	1	Chr
Chr1	160000001	161000000	1	Chr
Chr1	161000001	162000000	0	Chr
Chr1	162000001	163000000	0	Chr
Chr1	163000001	164000000	0	Chr
Chr1	164000001	165000000	4	Chr
Chr1	165000001	166000000	0	Chr
Chr1	166000001	167000000	0	Chr
Chr1	167000001	168000000	0	Chr
Chr1	168000001	169000000	0	Chr
Chr1	169000001	170000000	2	Chr
Chr1	170000001	171000000	1	Chr
Chr1	171000001	172000000	0	Chr
Chr1	172000001	173000000	0	Chr
Chr1	173000001	174000000	2	Chr
Chr1	174000001	175000000	0	Chr
Chr1	175000001	176000000	0	Chr
Chr1	176000001	177000000	1	Chr
Chr1	177000001	178000000	2	Chr
Chr1	178000001	179000000	0	Chr
Chr1	179000001	180000000	0	Chr
Chr1	180000001	181000000	1	Chr
Chr1	181000001	182000000	0	Chr
Chr1	182000001	183000000	1	Chr
Chr1	183000001	184000000	6	Chr
Chr1	184000001	185000000	0	Chr
Chr1	185000001	186000000	4	Chr
Chr1	186000001	187000000	0	Chr
Chr1	187000001	188000000	0	Chr
Chr1	188000001	189000000	0	Chr
Chr1	189000001	190000000	0	Chr
Chr1	190000001	191000000	1	Chr
Chr1	191000001	192000000	0	Chr
Chr1	192000001	193000000	0	Chr
Chr1	193000001	194000000	0	Chr
Chr1	194000001	195000000	0	Chr
Chr1	195000001	196000000	0	Chr
Chr1	196000001	197000000	0	Chr
Chr1	197000001	198000000	0	Chr
Chr1	198000001	199000000	1	Chr
Chr1	199000001	200000000	0	Chr
Chr1	200000001	201000000	0	Chr
Chr1	201000001	202000000	1	Chr
Chr1	202000001	203000000	0	Chr
Chr1	203000001	204000000	0	Chr
Chr1	204000001	205000000	0	Chr
Chr1	205000001	206000000	0	Chr
Chr1	206000001	207000000	2	Chr
Chr1	207000001	208000000	0	Chr
Chr1	208000001	209000000	0	Chr
Chr1	209000001	210000000	0	Chr
Chr1	210000001	211000000	1	Chr
Chr1	211000001	212000000	2	Chr
Chr1	212000001	213000000	1	Chr
Chr1	213000001	214000000	0	Chr
Chr1	214000001	215000000	1	Chr
Chr1	215000001	216000000	7	Chr
Chr1	216000001	217000000	0	Chr
Chr1	217000001	218000000	0	Chr
Chr1	218000001	219000000	0	Chr
Chr1	219000001	220000000	1	Chr
Chr1	220000001	221000000	0	Chr
Chr1	221000001	222000000	1	Chr
Chr1	222000001	223000000	2	Chr
Chr1	223000001	224000000	2	Chr
Chr1	224000001	225000000	1	Chr
Chr1	225000001	226000000	2	Chr
Chr1	226000001	227000000	1	Chr
Chr1	227000001	228000000	1	Chr
Chr1	228000001	229000000	0	Chr
Chr1	229000001	230000000	0	Chr
Chr1	230000001	231000000	0	Chr
Chr1	231000001	232000000	2	Chr
Chr1	232000001	233000000	0	Chr
Chr1	233000001	234000000	2	Chr
Chr1	234000001	235000000	1	Chr
Chr1	235000001	236000000	3	Chr
Chr1	236000001	237000000	1	Chr
Chr1	237000001	238000000	1	Chr
Chr1	238000001	239000000	7	Chr
Chr1	239000001	240000000	0	Chr
Chr1	240000001	241000000	4	Chr
Chr1	241000001	242000000	0	Chr
Chr1	242000001	243000000	0	Chr
Chr1	243000001	244000000	4	Chr
Chr1	244000001	245000000	2	Chr
Chr1	245000001	246000000	2	Chr
Chr1	246000001	247000000	0	Chr
Chr1	247000001	248000000	4	Chr
Chr1	248000001	249000000	0	Chr
Chr1	249000001	250000000	0	Chr
Chr1	250000001	251000000	1	Chr
Chr1	251000001	252000000	1	Chr
Chr1	252000001	253000000	0	Chr
Chr1	253000001	254000000	1	Chr
Chr1	254000001	255000000	2	Chr
Chr1	255000001	256000000	0	Chr
Chr1	256000001	257000000	0	Chr
Chr1	257000001	258000000	0	Chr
Chr1	258000001	259000000	3	Chr
Chr1	259000001	260000000	3	Chr
Chr1	260000001	261000000	1	Chr
Chr1	261000001	262000000	2	Chr
Chr1	262000001	263000000	1	Chr
Chr1	263000001	264000000	0	Chr
Chr1	264000001	265000000	0	Chr
Chr1	265000001	266000000	0	Chr
Chr1	266000001	267000000	2	Chr
Chr1	267000001	268000000	1	Chr
Chr1	268000001	269000000	2	Chr
Chr1	269000001	270000000	0	Chr
Chr1	270000001	271000000	5	Chr
Chr1	271000001	272000000	0	Chr
Chr1	272000001	273000000	5	Chr
Chr1	273000001	274000000	0	Chr
Chr1	274000001	275000000	1	Chr
Chr1	275000001	276000000	0	Chr
Chr1	276000001	277000000	1	Chr
Chr1	277000001	278000000	1	Chr
Chr1	278000001	279000000	2	Chr
Chr1	279000001	280000000	0	Chr
Chr1	280000001	281000000	1	Chr
Chr1	281000001	282000000	1	Chr
Chr1	282000001	283000000	1	Chr
Chr1	283000001	284000000	0	Chr
Chr1	284000001	285000000	1	Chr
Chr1	285000001	286000000	1	Chr
Chr1	286000001	287000000	0	Chr
Chr1	287000001	288000000	0	Chr
Chr1	288000001	289000000	1	Chr
Chr1	289000001	290000000	3	Chr
Chr1	290000001	291000000	0	Chr
Chr1	291000001	292000000	1	Chr
Chr1	292000001	293000000	0	Chr
Chr1	293000001	294000000	1	Chr
Chr1	294000001	295000000	0	Chr
Chr1	295000001	296000000	1	Chr
Chr1	296000001	297000000	0	Chr
Chr1	297000001	298000000	0	Chr
Chr1	298000001	299000000	2	Chr
Chr1	299000001	300000000	0	Chr
Chr1	300000001	301000000	1	Chr
Chr1	301000001	302000000	1	Chr
Chr1	302000001	303000000	5	Chr
Chr1	303000001	304000000	1	Chr
Chr1	304000001	305000000	0	Chr
Chr1	305000001	306000000	1	Chr
Chr1	306000001	307000000	5	Chr
Chr2	1	1000000	3	Chr
Chr2	1000001	2000000	0	Chr
Chr2	2000001	3000000	4	Chr
Chr2	3000001	4000000	0	Chr
Chr2	4000001	5000000	0	Chr
Chr2	5000001	6000000	1	Chr
Chr2	6000001	7000000	0	Chr
Chr2	7000001	8000000	5	Chr
Chr2	8000001	9000000	3	Chr
Chr2	9000001	10000000	0	Chr
Chr2	10000001	11000000	0	Chr
Chr2	11000001	12000000	1	Chr
Chr2	12000001	13000000	1	Chr
Chr2	13000001	14000000	1	Chr
Chr2	14000001	15000000	2	Chr
Chr2	15000001	16000000	0	Chr
Chr2	16000001	17000000	0	Chr
Chr2	17000001	18000000	1	Chr
Chr2	18000001	19000000	0	Chr
Chr2	19000001	20000000	0	Chr
Chr2	20000001	21000000	2	Chr
Chr2	21000001	22000000	1	Chr
Chr2	22000001	23000000	0	Chr
Chr2	23000001	24000000	0	Chr
Chr2	24000001	25000000	0	Chr
Chr2	25000001	26000000	2	Chr
Chr2	26000001	27000000	6	Chr
Chr2	27000001	28000000	0	Chr
Chr2	28000001	29000000	1	Chr
Chr2	29000001	30000000	1	Chr
Chr2	30000001	31000000	0	Chr
Chr2	31000001	32000000	1	Chr
Chr2	32000001	33000000	0	Chr
Chr2	33000001	34000000	0	Chr
Chr2	34000001	35000000	5	Chr
Chr2	35000001	36000000	2	Chr
Chr2	36000001	37000000	0	Chr
Chr2	37000001	38000000	8	Chr
Chr2	38000001	39000000	0	Chr
Chr2	39000001	40000000	0	Chr
Chr2	40000001	41000000	0	Chr
Chr2	41000001	42000000	0	Chr
Chr2	42000001	43000000	0	Chr
Chr2	43000001	44000000	0	Chr
Chr2	44000001	45000000	0	Chr
Chr2	45000001	46000000	4	Chr
Chr2	46000001	47000000	0	Chr
Chr2	47000001	48000000	0	Chr
Chr2	48000001	49000000	2	Chr
Chr2	49000001	50000000	1	Chr
Chr2	50000001	51000000	0	Chr
Chr2	51000001	52000000	0	Chr
Chr2	52000001	53000000	1	Chr
Chr2	53000001	54000000	0	Chr
Chr2	54000001	55000000	0	Chr
Chr2	55000001	56000000	1	Chr
Chr2	56000001	57000000	1	Chr
Chr2	57000001	58000000	0	Chr
Chr2	58000001	59000000	0	Chr
Chr2	59000001	60000000	4	Chr
Chr2	60000001	61000000	0	Chr
Chr2	61000001	62000000	1	Chr
Chr2	62000001	63000000	0	Chr
Chr2	63000001	64000000	0	Chr
Chr2	64000001	65000000	0	Chr
Chr2	65000001	66000000	0	Chr
Chr2	66000001	67000000	1	Chr
Chr2	67000001	68000000	1	Chr
Chr2	68000001	69000000	0	Chr
Chr2	69000001	70000000	2	Chr
Chr2	70000001	71000000	1	Chr
Chr2	71000001	72000000	3	Chr
Chr2	72000001	73000000	2	Chr
Chr2	73000001	74000000	2	Chr
Chr2	74000001	75000000	0	Chr
Chr2	75000001	76000000	0	Chr
Chr2	76000001	77000000	9	Chr
Chr2	77000001	78000000	0	Chr
Chr2	78000001	79000000	1	Chr
Chr2	79000001	80000000	2	Chr
Chr2	80000001	81000000	2	Chr
Chr2	81000001	82000000	2	Chr
Chr2	82000001	83000000	0	Chr
Chr2	83000001	84000000	0	Chr
Chr2	84000001	85000000	2	Chr
Chr2	85000001	86000000	1	Chr
Chr2	86000001	87000000	3	Chr
Chr2	87000001	88000000	1	Chr
Chr2	88000001	89000000	0	Chr
Chr2	89000001	90000000	2	Chr
Chr2	90000001	91000000	1	Chr
Chr2	91000001	92000000	1	Chr
Chr2	92000001	93000000	3	Chr
Chr2	93000001	94000000	5	Chr
Chr2	94000001	95000000	0	Chr
Chr2	95000001	96000000	0	Chr
Chr2	96000001	97000000	2	Chr
Chr2	97000001	98000000	1	Chr
Chr2	98000001	99000000	2	Chr
Chr2	99000001	100000000	2	Chr
Chr2	100000001	101000000	1	Chr
Chr2	101000001	102000000	4	Chr
Chr2	102000001	103000000	0	Chr
Chr2	103000001	104000000	2	Chr
Chr2	104000001	105000000	2	Chr
Chr2	105000001	106000000	0	Chr
Chr2	106000001	107000000	2	Chr
Chr2	107000001	108000000	1	Chr
Chr2	108000001	109000000	0	Chr
Chr2	109000001	110000000	2	Chr
Chr2	110000001	111000000	7	Chr
Chr2	111000001	112000000	1	Chr
Chr2	112000001	113000000	1	Chr
Chr2	113000001	114000000	2	Chr
Chr2	114000001	115000000	0	Chr
Chr2	115000001	116000000	1	Chr
Chr2	116000001	117000000	0	Chr
Chr2	117000001	118000000	1	Chr
Chr2	118000001	119000000	1	Chr
Chr2	119000001	120000000	1	Chr
Chr2	120000001	121000000	2	Chr
Chr2	121000001	122000000	1	Chr
Chr2	122000001	123000000	1	Chr
Chr2	123000001	124000000	1	Chr
Chr2	124000001	125000000	1	Chr
Chr2	125000001	126000000	1	Chr
Chr2	126000001	127000000	3	Chr
Chr2	127000001	128000000	2	Chr
Chr2	128000001	129000000	1	Chr
Chr2	129000001	130000000	3	Chr
Chr2	130000001	131000000	0	Chr
Chr2	131000001	132000000	0	Chr
Chr2	132000001	133000000	8	Chr
Chr2	133000001	134000000	2	Chr
Chr2	134000001	135000000	0	Chr
Chr2	135000001	136000000	4	Chr
Chr2	136000001	137000000	0	Chr
Chr2	137000001	138000000	0	Chr
Chr2	138000001	139000000	1	Chr
Chr2	139000001	140000000	1	Chr
Chr2	140000001	141000000	2	Chr
Chr2	141000001	142000000	3	Chr
Chr2	142000001	143000000	0	Chr
Chr2	143000001	144000000	1	Chr
Chr2	144000001	145000000	2	Chr
Chr2	145000001	146000000	3	Chr
Chr2	146000001	147000000	1	Chr
Chr2	147000001	148000000	0	Chr
Chr2	148000001	149000000	1	Chr
Chr2	149000001	150000000	1	Chr
Chr2	150000001	151000000	0	Chr
Chr2	151000001	152000000	0	Chr
Chr2	152000001	153000000	1	Chr
Chr2	153000001	154000000	0	Chr
Chr2	154000001	155000000	0	Chr
Chr2	155000001	156000000	0	Chr
Chr2	156000001	157000000	0	Chr
Chr2	157000001	158000000	1	Chr
Chr2	158000001	159000000	0	Chr
Chr2	159000001	160000000	1	Chr
Chr2	160000001	161000000	1	Chr
Chr2	161000001	162000000	2	Chr
Chr2	162000001	163000000	0	Chr
Chr2	163000001	164000000	0	Chr
Chr2	164000001	165000000	0	Chr
Chr2	165000001	166000000	0	Chr
Chr2	166000001	167000000	2	Chr
Chr2	167000001	168000000	0	Chr
Chr2	168000001	169000000	1	Chr
Chr2	169000001	170000000	0	Chr
Chr2	170000001	171000000	1	Chr
Chr2	171000001	172000000	0	Chr
Chr2	172000001	173000000	0	Chr
Chr2	173000001	174000000	0	Chr
Chr2	174000001	175000000	1	Chr
Chr2	175000001	176000000	0	Chr
Chr2	176000001	177000000	1	Chr
Chr2	177000001	178000000	0	Chr
Chr2	178000001	179000000	0	Chr
Chr2	179000001	180000000	0	Chr
Chr2	180000001	181000000	0	Chr
Chr2	181000001	182000000	0	Chr
Chr2	182000001	183000000	1	Chr
Chr2	183000001	184000000	0	Chr
Chr2	184000001	185000000	3	Chr
Chr2	185000001	186000000	1	Chr
Chr2	186000001	187000000	0	Chr
Chr2	187000001	188000000	0	Chr
Chr2	188000001	189000000	1	Chr
Chr2	189000001	190000000	0	Chr
Chr2	190000001	191000000	2	Chr
Chr2	191000001	192000000	0	Chr
Chr2	192000001	193000000	0	Chr
Chr2	193000001	194000000	0	Chr
Chr2	194000001	195000000	1	Chr
Chr2	195000001	196000000	1	Chr
Chr2	196000001	197000000	1	Chr
Chr2	197000001	198000000	0	Chr
Chr2	198000001	199000000	1	Chr
Chr2	199000001	200000000	0	Chr
Chr2	200000001	201000000	4	Chr
Chr2	201000001	202000000	1	Chr
Chr2	202000001	203000000	1	Chr
Chr2	203000001	204000000	0	Chr
Chr2	204000001	205000000	1	Chr
Chr2	205000001	206000000	2	Chr
Chr2	206000001	207000000	0	Chr
Chr2	207000001	208000000	3	Chr
Chr2	208000001	209000000	0	Chr
Chr2	209000001	210000000	0	Chr
Chr2	210000001	211000000	0	Chr
Chr2	211000001	212000000	1	Chr
Chr2	212000001	213000000	1	Chr
Chr2	213000001	214000000	2	Chr
Chr2	214000001	215000000	1	Chr
Chr2	215000001	216000000	2	Chr
Chr2	216000001	217000000	2	Chr
Chr2	217000001	218000000	5	Chr
Chr2	218000001	219000000	4	Chr
Chr2	219000001	220000000	0	Chr
Chr2	220000001	221000000	2	Chr
Chr2	221000001	222000000	0	Chr
Chr2	222000001	223000000	1	Chr
Chr2	223000001	224000000	0	Chr
Chr2	224000001	225000000	3	Chr
Chr2	225000001	226000000	1	Chr
Chr2	226000001	227000000	1	Chr
Chr2	227000001	228000000	1	Chr
Chr2	228000001	229000000	1	Chr
Chr2	229000001	230000000	1	Chr
Chr2	230000001	231000000	0	Chr
Chr2	231000001	232000000	1	Chr
Chr2	232000001	233000000	0	Chr
Chr2	233000001	234000000	0	Chr
Chr2	234000001	235000000	3	Chr
Chr2	235000001	236000000	1	Chr
Chr2	236000001	237000000	2	Chr
Chr2	237000001	238000000	2	Chr
Chr2	238000001	239000000	0	Chr
Chr2	239000001	240000000	0	Chr
Chr2	240000001	241000000	0	Chr
Chr2	241000001	242000000	0	Chr
Chr2	242000001	243000000	0	Chr
Chr2	243000001	244000000	1	Chr
Chr3	1	1000000	4	Chr
Chr3	1000001	2000000	0	Chr
Chr3	2000001	3000000	0	Chr
Chr3	3000001	4000000	0	Chr
Chr3	4000001	5000000	1	Chr
Chr3	5000001	6000000	0	Chr
Chr3	6000001	7000000	1	Chr
Chr3	7000001	8000000	2	Chr
Chr3	8000001	9000000	0	Chr
Chr3	9000001	10000000	2	Chr
Chr3	10000001	11000000	0	Chr
Chr3	11000001	12000000	1	Chr
Chr3	12000001	13000000	1	Chr
Chr3	13000001	14000000	1	Chr
Chr3	14000001	15000000	0	Chr
Chr3	15000001	16000000	0	Chr
Chr3	16000001	17000000	0	Chr
Chr3	17000001	18000000	3	Chr
Chr3	18000001	19000000	0	Chr
Chr3	19000001	20000000	0	Chr
Chr3	20000001	21000000	1	Chr
Chr3	21000001	22000000	1	Chr
Chr3	22000001	23000000	0	Chr
Chr3	23000001	24000000	0	Chr
Chr3	24000001	25000000	0	Chr
Chr3	25000001	26000000	0	Chr
Chr3	26000001	27000000	0	Chr
Chr3	27000001	28000000	0	Chr
Chr3	28000001	29000000	0	Chr
Chr3	29000001	30000000	1	Chr
Chr3	30000001	31000000	3	Chr
Chr3	31000001	32000000	0	Chr
Chr3	32000001	33000000	0	Chr
Chr3	33000001	34000000	0	Chr
Chr3	34000001	35000000	1	Chr
Chr3	35000001	36000000	1	Chr
Chr3	36000001	37000000	0	Chr
Chr3	37000001	38000000	0	Chr
Chr3	38000001	39000000	0	Chr
Chr3	39000001	40000000	0	Chr
Chr3	40000001	41000000	1	Chr
Chr3	41000001	42000000	1	Chr
Chr3	42000001	43000000	0	Chr
Chr3	43000001	44000000	0	Chr
Chr3	44000001	45000000	0	Chr
Chr3	45000001	46000000	0	Chr
Chr3	46000001	47000000	1	Chr
Chr3	47000001	48000000	1	Chr
Chr3	48000001	49000000	0	Chr
Chr3	49000001	50000000	0	Chr
Chr3	50000001	51000000	2	Chr
Chr3	51000001	52000000	0	Chr
Chr3	52000001	53000000	3	Chr
Chr3	53000001	54000000	1	Chr
Chr3	54000001	55000000	0	Chr
Chr3	55000001	56000000	2	Chr
Chr3	56000001	57000000	0	Chr
Chr3	57000001	58000000	6	Chr
Chr3	58000001	59000000	2	Chr
Chr3	59000001	60000000	0	Chr
Chr3	60000001	61000000	1	Chr
Chr3	61000001	62000000	0	Chr
Chr3	62000001	63000000	0	Chr
Chr3	63000001	64000000	0	Chr
Chr3	64000001	65000000	0	Chr
Chr3	65000001	66000000	1	Chr
Chr3	66000001	67000000	2	Chr
Chr3	67000001	68000000	1	Chr
Chr3	68000001	69000000	2	Chr
Chr3	69000001	70000000	3	Chr
Chr3	70000001	71000000	0	Chr
Chr3	71000001	72000000	6	Chr
Chr3	72000001	73000000	1	Chr
Chr3	73000001	74000000	3	Chr
Chr3	74000001	75000000	0	Chr
Chr3	75000001	76000000	7	Chr
Chr3	76000001	77000000	3	Chr
Chr3	77000001	78000000	1	Chr
Chr3	78000001	79000000	3	Chr
Chr3	79000001	80000000	4	Chr
Chr3	80000001	81000000	2	Chr
Chr3	81000001	82000000	3	Chr
Chr3	82000001	83000000	3	Chr
Chr3	83000001	84000000	1	Chr
Chr3	84000001	85000000	0	Chr
Chr3	85000001	86000000	2	Chr
Chr3	86000001	87000000	0	Chr
Chr3	87000001	88000000	4	Chr
Chr3	88000001	89000000	1	Chr
Chr3	89000001	90000000	2	Chr
Chr3	90000001	91000000	0	Chr
Chr3	91000001	92000000	1	Chr
Chr3	92000001	93000000	4	Chr
Chr3	93000001	94000000	2	Chr
Chr3	94000001	95000000	1	Chr
Chr3	95000001	96000000	1	Chr
Chr3	96000001	97000000	2	Chr
Chr3	97000001	98000000	1	Chr
Chr3	98000001	99000000	0	Chr
Chr3	99000001	100000000	1	Chr
Chr3	100000001	101000000	0	Chr
Chr3	101000001	102000000	1	Chr
Chr3	102000001	103000000	1	Chr
Chr3	103000001	104000000	2	Chr
Chr3	104000001	105000000	4	Chr
Chr3	105000001	106000000	0	Chr
Chr3	106000001	107000000	0	Chr
Chr3	107000001	108000000	0	Chr
Chr3	108000001	109000000	0	Chr
Chr3	109000001	110000000	1	Chr
Chr3	110000001	111000000	1	Chr
Chr3	111000001	112000000	2	Chr
Chr3	112000001	113000000	1	Chr
Chr3	113000001	114000000	0	Chr
Chr3	114000001	115000000	1	Chr
Chr3	115000001	116000000	0	Chr
Chr3	116000001	117000000	0	Chr
Chr3	117000001	118000000	0	Chr
Chr3	118000001	119000000	0	Chr
Chr3	119000001	120000000	0	Chr
Chr3	120000001	121000000	1	Chr
Chr3	121000001	122000000	0	Chr
Chr3	122000001	123000000	0	Chr
Chr3	123000001	124000000	1	Chr
Chr3	124000001	125000000	1	Chr
Chr3	125000001	126000000	2	Chr
Chr3	126000001	127000000	0	Chr
Chr3	127000001	128000000	0	Chr
Chr3	128000001	129000000	1	Chr
Chr3	129000001	130000000	0	Chr
Chr3	130000001	131000000	0	Chr
Chr3	131000001	132000000	0	Chr
Chr3	132000001	133000000	1	Chr
Chr3	133000001	134000000	2	Chr
Chr3	134000001	135000000	1	Chr
Chr3	135000001	136000000	4	Chr
Chr3	136000001	137000000	0	Chr
Chr3	137000001	138000000	2	Chr
Chr3	138000001	139000000	0	Chr
Chr3	139000001	140000000	0	Chr
Chr3	140000001	141000000	0	Chr
Chr3	141000001	142000000	3	Chr
Chr3	142000001	143000000	3	Chr
Chr3	143000001	144000000	0	Chr
Chr3	144000001	145000000	2	Chr
Chr3	145000001	146000000	1	Chr
Chr3	146000001	147000000	0	Chr
Chr3	147000001	148000000	3	Chr
Chr3	148000001	149000000	0	Chr
Chr3	149000001	150000000	0	Chr
Chr3	150000001	151000000	0	Chr
Chr3	151000001	152000000	1	Chr
Chr3	152000001	153000000	2	Chr
Chr3	153000001	154000000	0	Chr
Chr3	154000001	155000000	3	Chr
Chr3	155000001	156000000	2	Chr
Chr3	156000001	157000000	2	Chr
Chr3	157000001	158000000	0	Chr
Chr3	158000001	159000000	1	Chr
Chr3	159000001	160000000	2	Chr
Chr3	160000001	161000000	0	Chr
Chr3	161000001	162000000	1	Chr
Chr3	162000001	163000000	2	Chr
Chr3	163000001	164000000	0	Chr
Chr3	164000001	165000000	0	Chr
Chr3	165000001	166000000	0	Chr
Chr3	166000001	167000000	1	Chr
Chr3	167000001	168000000	0	Chr
Chr3	168000001	169000000	1	Chr
Chr3	169000001	170000000	0	Chr
Chr3	170000001	171000000	0	Chr
Chr3	171000001	172000000	0	Chr
Chr3	172000001	173000000	2	Chr
Chr3	173000001	174000000	0	Chr
Chr3	174000001	175000000	0	Chr
Chr3	175000001	176000000	0	Chr
Chr3	176000001	177000000	0	Chr
Chr3	177000001	178000000	1	Chr
Chr3	178000001	179000000	2	Chr
Chr3	179000001	180000000	2	Chr
Chr3	180000001	181000000	3	Chr
Chr3	181000001	182000000	2	Chr
Chr3	182000001	183000000	1	Chr
Chr3	183000001	184000000	1	Chr
